annata,provincia,titolo
90/91,Chieti,Anni 90. Il salto dell'Ifdam
90/91,Chieti,Identikit di una provincia
90/91,Chieti,Il Castello di Biancaneve nelle viscere della Maiella
90/91,Chieti,Anno 1900. Il deputato più giovane
90/91,Chieti,Quel misterioro Guerriero di Capestrano
90/91,Chieti,Il segreto degli spaghetti? Semplice come l'acqua di Fara
90/91,Chieti,La ricetta della nonna
90/91,L'Aquila,Anni 90. Dallo spazio in diretta
90/91,L'Aquila,I maestri della mischia
90/91,L'Aquila,Anno 1900. I convitti e le educande
90/91,L'Aquila,Il grande orto del Fucino
90/91,L'Aquila,Identikit di una provincia
90/91,L'Aquila,A caccia di neutrini nelle viscere del Gran Sasso
90/91,L'Aquila,Date storiche
90/91,L'Aquila,"Il lupo? Prudente, riservato, ottimo papà"
90/91,L'Aquila,Civitella. Qui il futuro è verde
90/91,L'Aquila,Quel cuoco galeotto...
90/91,L'Aquila,La ricetta della nonna
90/91,Pescara,Anni 90. Finalmente un porto
90/91,Pescara,Identikit di una provincia
90/91,Pescara,Liberi di decollare
90/91,Pescara,Vieni a cercare la città dannunziana
90/91,Pescara,La ricetta della nonna
90/91,Teramo,Anni 90. Imprese di frontiera
90/91,Teramo,Identikit di una provincia
90/91,Teramo,Anno 1900. Arriva la ferrovia
90/91,Teramo,"Val Vibrata. Il miracolo ""fatto in casa"""
90/91,Teramo,La ricetta della nonna
91/92,Chieti,Cerso il '92. Una provincia in salute aspetta l'Europa
91/92,Chieti,Reteotto: obiettivo sui fatti
91/92,Chieti,"Il convento degli artisti dove nacque ""il piacere"""
91/92,Chieti,"Chieti, città della cultura"
91/92,Chieti,Itinerari per il week-end. Nella valle del fiume Alento tra calanchi e chiese romaniche
91/92,Chieti,Vini e gastronomia. Un paese di cuochi ha conquistato il mondo
91/92,L'Aquila,Verso il '92. Fuori dall'isolamento
91/92,L'Aquila,La stampa locale. Ju Zirè: il valore delle radici
91/92,L'Aquila,"Dai fossili all'arte sacra, i tesori del museo"
91/92,L'Aquila,Vini e gastronomia. Le ricette dei pastori
91/92,L'Aquila,Le dolci anime di Sulmona
91/92,Pescara,Verso il '92. Pescara l'americana
91/92,Pescara,"Un quotidiano, tante tv"
91/92,Pescara,L'amico pittore di Gabriele D'Annunzio
91/92,Pescara,Itinerari per il week-end. Antichi borghi sulle colline
91/92,Pescara,Vini e gastronomia. Il brodo di Natale
91/92,Pescara,La vite di Ovidio
91/92,Teramo,"Verso il '92. Abiti ""made in Teramo"""
91/92,Teramo,"Nel silenzio della cattedrale, le storie bibliche del paliotto"
91/92,Teramo,Vini e gastronomia. Le crespelle di Teramo e i pesci di Roseto
91/92,Teramo,In vacanza a Giulianova
92/93,Chieti,Il futuro possibile. Chieti verso il Duemila con la ricerca biomedica
92/93,Chieti,"La scienza calcistica dello ""stregone"" Vecchiet"
