annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta
81/82,Chieti - L'Aquila - Pescara - Teramo,Chieti - L'Aquila - Pescara - Teramo 81,81,Copertina 81 verde,246 x 280 mm,grossa,TuttoCittà '80 con foto,64,maggio 1981,Nota dell'editore,CHAQPETE81.jpg,True
82/83,Chieti - L'Aquila - Pescara - Teramo,Chieti - L'Aquila - Pescara - Teramo 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,64,giugno 1982,,CHAQPETE82.jpg,True
83/84,Chieti - L'Aquila - Pescara - Teramo,Chieti - L'Aquila - Pescara - Teramo 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,64,giugno 1983,,CHAQPETE83.jpg,True
84/85,Chieti - L'Aquila - Pescara - Teramo,Chieti - L'Aquila - Pescara - Teramo 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,72,giugno 1984,Inserto Costituzione,CHAQPETE84.jpg,True
85/86,Chieti - L'Aquila - Pescara - Teramo,Chieti - L'Aquila - Pescara - Teramo 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,64,giugno 1985,,CHAQPETE85.jpg,True
86/87,Chieti - L'Aquila - Pescara - Teramo,Chieti - L'Aquila - Pescara - Teramo 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,64,maggio 1986,,CHAQPETE86.jpg,True
87/88,Chieti - L'Aquila - Pescara - Teramo,Chieti - L'Aquila - Pescara - Teramo 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,64,maggio 1987,,CHAQPETE87.jpg,True
88/89,Chieti - Pescara,Chieti - Pescara 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,32,giugno 1988,,CHPE88.jpg,True
88/89,L'Aquila - Teramo,L'Aquila - Teramo 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False
89/90,Chieti - Pescara,Chieti - Pescara 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,32,giugno 1989,,CHPE89.jpg,True
89/90,L'Aquila - Teramo,L'Aquila - Teramo 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,32,giugno 1989,,AQTE89.jpg,True
90/91,Chieti - Pescara,Chieti - Pescara 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,giugno 1990,nota dell'editore,CHPE9091.jpg,True
90/91,L'Aquila - Teramo,L'Aquila - Teramo 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,giugno 1990,nota dell'editore,AQTE9091.jpg,True
91/92,Chieti - Pescara,Chieti - Pescara 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,maggio 1991,,CHPE91.jpg,True
91/92,L'Aquila - Teramo,L'Aquila - Teramo 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,maggio 1991,,AQTE91.jpg,True
92/93,Chieti - Pescara,Chieti - Pescara 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,40,giugno 1992,,CHPE92.jpg,True
92/93,L'Aquila - Teramo,L'Aquila - Teramo 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,40,giugno 1992,,AQTE92.jpg,True
93/94,Chieti - Pescara,Chieti - Pescara 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,giugno 1993,,CHPE93.jpg,True
93/94,L'Aquila - Teramo,L'Aquila - Teramo 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,giugno 1993,,AQTE93.jpg,True
94/95,Chieti - Pescara,Chieti - Pescara 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,giugno 1994,,CHPE94.jpg,True
94/95,L'Aquila - Teramo,L'Aquila - Teramo 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,giugno 1994,,AQTE94.jpg,True
95/96,Chieti - Pescara,Chieti - Pescara 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,giugno 1995,,CHPE95.jpg,True
95/96,L'Aquila - Teramo,L'Aquila - Teramo 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False
96/97,Chieti - Pescara,Chieti - Pescara 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,giugno 1996,,CHPE96.jpg,True
96/97,L'Aquila - Teramo,L'Aquila - Teramo 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False
97/98,Chieti - Pescara,Chieti - Pescara 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,38,giugno 1997,Cambio formato,CHPE97.jpg,True
97/98,L'Aquila - Teramo,L'Aquila - Teramo 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,30,giugno 1997,Cambio formato,AQTE97.jpg,True
