annata,decennio,fascicoli_elencati,fascicoli_con_dati,primo_aggiornamento,ultimo_aggiornamento,durata_ciclo_mesi,pagine_min,pagine_mediana,pagine_max,pagine_totali
81/82,anni ottanta,64,64,03/1981,01/1982,11,24,40,232,1888
82/83,anni ottanta,64,64,01/1982,01/1983,13,24,48,240,2000
83/84,anni ottanta,64,64,12/1982,12/1983,13,24,40,240,2048
84/85,anni ottanta,76,76,12/1983,12/1984,13,16,32,240,2256
85/86,anni ottanta,77,77,12/1984,12/1985,13,16,32,224,2088
86/87,anni ottanta,77,77,01/1986,12/1986,12,16,32,216,2960
87/88,anni ottanta,78,78,01/1987,12/1987,12,16,32,216,2136
88/89,anni ottanta,83,83,01/1988,12/1988,12,16,24,216,2792
89/90,anni ottanta,87,87,01/1989,01/1990,13,16,24,216,3024
90/91,anni novanta,87,87,01/1990,12/1990,12,16,32,216,3144
91/92,anni novanta,87,87,01/1991,01/1992,13,16,32,208,3288
92/93,anni novanta,87,87,01/1992,01/1993,13,16,32,208,3664
93/94,anni novanta,87,87,01/1993,01/1994,13,16,38,198,3618
94/95,anni novanta,87,87,01/1994,01/1995,13,22,38,198,2930
95/96,anni novanta,87,87,01/1995,01/1996,13,22,38,198,3250
96/97,anni novanta,87,87,01/1996,01/1997,13,14,38,198,2703
97/98,anni novanta,87,87,02/1997,01/1998,12,22,38,190,2850
98/99,anni novanta,56,44,02/1998,01/1999,12,30,54,190,1750
99/00,anni novanta,50,41,02/1999,11/1999,10,22,54,182,1254
00/01,anni duemila,51,35,02/2000,10/2000,9,30,62,182,996
01/02,anni duemila,35,35,02/2001,07/2001,6,22,62,174,922
02/03,anni duemila,35,35,03/2002,02/2003,12,22,62,182,1104
03/04,anni duemila,35,35,04/2003,02/2004,11,22,54,174,962
04/05,anni duemila,35,35,03/2004,03/2005,13,22,54,174,892
05/06,anni duemila,35,35,03/2005,03/2006,13,22,66,182,1006
06/07,anni duemila,35,35,04/2006,03/2007,12,24,76,184,1080
07/08,anni duemila,35,35,04/2007,02/2008,11,24,64,176,1192
08/09,anni duemila,35,35,04/2008,03/2009,12,22,52,176,1150
09/10,anni duemila,36,36,04/2009,03/2010,12,32,72,248,1104
10/11,anni duemiladieci,39,39,04/2010,03/2011,12,24,68,216,848
11/12,anni duemiladieci,39,39,04/2011,02/2012,11,32,64,208,928
12/13,anni duemiladieci,39,39,05/2012,03/2013,11,24,64,208,752
13/14,anni duemiladieci,39,39,03/2013,02/2014,12,24,64,185,713
14/15,anni duemiladieci,34,34,02/2014,11/2014,10,24,56,192,736
