annata,fascicolo,provincia,citta,indicizzata
84/85,Matera - Potenza,Matera,Matera,sì
84/85,Matera - Potenza,Potenza,Potenza,sì
86/87,Matera - Potenza,Matera,Matera,sì
86/87,Matera - Potenza,Potenza,Potenza,sì
87/88,Matera - Potenza,Matera,Matera,sì
87/88,Matera - Potenza,Potenza,Potenza,sì
88/89,Matera - Potenza,Matera,Matera,sì
88/89,Matera - Potenza,Potenza,Potenza,sì
88/89,Matera - Potenza,Matera,Policoro,no
89/90,Matera - Potenza,Matera,Matera,sì
89/90,Matera - Potenza,Potenza,Potenza,sì
89/90,Matera - Potenza,Matera,Policoro,no
90/91,Matera - Potenza,Matera,Matera,sì
90/91,Matera - Potenza,Matera,Policoro,sì
90/91,Matera - Potenza,Potenza,Potenza,sì
91/92,Matera - Potenza,Matera,Matera,sì
91/92,Matera - Potenza,Matera,Policoro,sì
91/92,Matera - Potenza,Potenza,Potenza,sì
92/93,Matera - Potenza,Matera,Matera,sì
92/93,Matera - Potenza,Matera,Policoro,sì
92/93,Matera - Potenza,Potenza,Potenza,sì
93/94,Matera - Potenza,Matera,Matera,sì
93/94,Matera - Potenza,Matera,Policoro,sì
93/94,Matera - Potenza,Potenza,Potenza,sì
95/96,Matera - Potenza,Matera,Matera,sì
95/96,Matera - Potenza,Matera,Policoro,sì
95/96,Matera - Potenza,Potenza,Potenza,sì
97/98,Matera - Potenza,Matera,Matera,sì
97/98,Matera - Potenza,Matera,Policoro,sì
97/98,Matera - Potenza,Potenza,Potenza,sì
