annata,fascicolo,provincia,citta,indicizzata
81/82,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Catanzaro,sì
81/82,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Crotone,sì
81/82,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Lamezia Terme-Nicastro,sì
81/82,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Vibo Valentia,sì
81/82,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Cosenza,sì
81/82,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Castrovillari,sì
81/82,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Rossano,sì
81/82,Catanzaro - Cosenza - Reggio Calabria,Reggio Calabria,Reggio Calabria,sì
82/83,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Catanzaro,sì
82/83,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Crotone,sì
82/83,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Lamezia Terme-Nicastro,sì
82/83,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Vibo Valentia,sì
82/83,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Cosenza,sì
82/83,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Castrovillari,sì
82/83,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Rossano,sì
82/83,Catanzaro - Cosenza - Reggio Calabria,Reggio Calabria,Reggio Calabria,sì
83/84,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Catanzaro,sì
83/84,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Crotone,sì
83/84,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Lamezia Terme-Nicastro,sì
83/84,Catanzaro - Cosenza - Reggio Calabria,Catanzaro,Vibo Valentia,sì
83/84,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Cosenza,sì
83/84,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Castrovillari,sì
83/84,Catanzaro - Cosenza - Reggio Calabria,Cosenza,Rossano,sì
83/84,Catanzaro - Cosenza - Reggio Calabria,Reggio Calabria,Reggio Calabria,sì
84/85,Catanzaro,Catanzaro,Catanzaro,sì
84/85,Catanzaro,Catanzaro,Crotone,sì
84/85,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
84/85,Catanzaro,Catanzaro,Vibo Valentia,sì
86/87,Catanzaro,Catanzaro,Catanzaro,sì
86/87,Catanzaro,Catanzaro,Crotone,sì
86/87,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
86/87,Catanzaro,Catanzaro,Vibo Valentia,sì
86/87,Cosenza,Cosenza,Cosenza,sì
86/87,Cosenza,Cosenza,Castrovillari,sì
86/87,Cosenza,Cosenza,Rende,sì
86/87,Cosenza,Cosenza,Rossano,sì
86/87,Cosenza,Cosenza,Scalea,no
86/87,Reggio Calabria,Reggio Calabria,Reggio Calabria,sì
87/88,Catanzaro,Catanzaro,Catanzaro,sì
87/88,Catanzaro,Catanzaro,Crotone,sì
87/88,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
87/88,Catanzaro,Catanzaro,Vibo Valentia,sì
87/88,Cosenza,Cosenza,Cosenza,sì
87/88,Cosenza,Cosenza,Castrovillari,sì
87/88,Cosenza,Cosenza,Rende,sì
87/88,Cosenza,Cosenza,Rossano,sì
87/88,Cosenza,Cosenza,Scalea,sì
88/89,Catanzaro,Catanzaro,Catanzaro,sì
88/89,Catanzaro,Catanzaro,Crotone,sì
88/89,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
88/89,Catanzaro,Catanzaro,Vibo Valentia,sì
88/89,Catanzaro,Catanzaro,Soverato,no
88/89,Cosenza,Cosenza,Cosenza,sì
88/89,Cosenza,Cosenza,Castrovillari,sì
88/89,Cosenza,Cosenza,Rende,sì
88/89,Cosenza,Cosenza,Rossano,sì
88/89,Cosenza,Cosenza,Scalea,sì
88/89,Reggio Calabria,Reggio Calabria,Reggio Calabria,sì
89/90,Catanzaro,Catanzaro,Catanzaro,sì
89/90,Catanzaro,Catanzaro,Crotone,sì
89/90,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
89/90,Catanzaro,Catanzaro,Soverato,sì
89/90,Catanzaro,Catanzaro,Vibo Valentia,sì
89/90,Cosenza,Cosenza,Cosenza,sì
89/90,Cosenza,Cosenza,Castrovillari,sì
89/90,Cosenza,Cosenza,Rossano,sì
89/90,Cosenza,Cosenza,Rende,sì
89/90,Cosenza,Cosenza,Scalea,sì
89/90,Reggio Calabria,Reggio Calabria,Reggio Calabria,sì
89/90,Reggio Calabria,Reggio Calabria,Palmi,sì
89/90,Reggio Calabria,Reggio Calabria,Siderno,sì
89/90,Reggio Calabria,Reggio Calabria,Polistena,sì
90/91,Catanzaro,Catanzaro,Catanzaro,sì
90/91,Catanzaro,Catanzaro,Crotone,sì
90/91,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
90/91,Catanzaro,Catanzaro,Soverato,sì
90/91,Catanzaro,Catanzaro,Vibo Valentia,sì
90/91,Cosenza,Cosenza,Cosenza,sì
90/91,Cosenza,Cosenza,Castrovillari,sì
90/91,Cosenza,Cosenza,Rende,sì
90/91,Cosenza,Cosenza,Rossano,sì
90/91,Cosenza,Cosenza,Scalea,sì
91/92,Catanzaro,Catanzaro,Catanzaro,sì
91/92,Catanzaro,Catanzaro,Crotone,sì
91/92,Catanzaro,Catanzaro,Lamezia Terme-Nicastro,sì
91/92,Catanzaro,Catanzaro,Soverato,sì
91/92,Catanzaro,Catanzaro,Vibo Valentia,sì
91/92,Cosenza,Cosenza,Cosenza,sì
91/92,Cosenza,Cosenza,Amantea,sì
91/92,Cosenza,Cosenza,Castrovillari,sì
91/92,Cosenza,Cosenza,Rende,sì
