annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Catanzaro - Cosenza - Reggio Calabria,Catanzaro - Cosenza - Reggio Calabria 82,82,Copertina 82 verde,246 x 280 mm,grossa,TuttoCittà '80 con foto,56,gennaio 1982,Nota dell'editore,CZCSRC82.jpg,True,accertata
82/83,Catanzaro - Cosenza - Reggio Calabria,Catanzaro - Cosenza - Reggio Calabria 83,83,Copertina 83 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,56,dicembre 1982,,CZCSRC83.jpg,True,accertata
83/84,Catanzaro - Cosenza - Reggio Calabria,Catanzaro - Cosenza - Reggio Calabria 84,84,Copertina 84 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,56,dicembre 1983,,CZCSRC84.jpg,True,accertata
84/85,Catanzaro,Catanzaro 85,85,Copertina 85 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,dicembre 1984,Inserto Costituzione,CZ85.jpg,True,accertata
84/85,Cosenza,Cosenza 85,85,Copertina 85 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,Inserto Costituzione,Ricercato1.jpg,False,accertata
84/85,Reggio Calabria,Reggio Calabria 85,85,Copertina 85 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,Inserto Costituzione,Ricercato1.jpg,False,accertata
85/86,Catanzaro,Catanzaro 86,86,Copertina 86 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
85/86,Cosenza,Cosenza 86,86,Copertina 86 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
85/86,Reggio Calabria,Reggio Calabria 86,86,Copertina 86 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
86/87,Catanzaro,Catanzaro 87,87,Copertina 87 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,novembre 1986,,CZ87.jpg,True,accertata
86/87,Cosenza,Cosenza 87,87,Copertina 87 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,novembre 1986,,CS87.jpg,True,accertata
86/87,Reggio Calabria,Reggio Calabria 87,87,Copertina 87 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,novembre 1986,,RC87.jpg,True,accertata
87/88,Catanzaro,Catanzaro 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,novembre 1987,,CZ88.jpg,True,accertata
87/88,Cosenza,Cosenza 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,novembre 1987,,CS88.jpg,True,accertata
87/88,Reggio Calabria,Reggio Calabria 88,88,Copertina 88 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
88/89,Catanzaro,Catanzaro 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,24,novembre 1988,,CZ89.jpg,True,accertata
88/89,Cosenza,Cosenza 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,novembre 1988,,CS89.jpg,True,accertata
88/89,Reggio Calabria,Reggio Calabria 89,89,Copertina 89 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,novembre 1988,,RC89.jpg,True,accertata
89/90,Catanzaro,Catanzaro 90,90,Copertina 1990 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,dicembre 1989,nota dell'editore,CZ90.jpg,True,accertata
89/90,Cosenza,Cosenza 90,90,Copertina 1990 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,dicembre 1989,nota dell'editore,CS90.jpg,True,accertata
89/90,Reggio Calabria,Reggio Calabria 90,90,Copertina 1990 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,dicembre 1989,nota dell'editore,RC90.jpg,True,accertata
90/91,Catanzaro,Catanzaro 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,dicembre 1990,,CZ91.jpg,True,accertata
90/91,Cosenza,Cosenza 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,dicembre 1990,,CS91.jpg,True,accertata
90/91,Reggio Calabria,Reggio Calabria 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,,,,Ricercato1.jpg,False,accertata
91/92,Catanzaro,Catanzaro 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,dicembre 1991,,CZ92.jpg,True,accertata
91/92,Cosenza,Cosenza 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,dicembre 1991,,CS92.jpg,True,accertata
91/92,Reggio Calabria,Reggio Calabria 92,92,Copertina 92 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,dicembre 1991,,RC92.jpg,True,accertata
92/93,Catanzaro,Catanzaro 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,32,dicembre 1992,,CZ93.jpg,True,accertata
92/93,Cosenza,Cosenza 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,dicembre 1992,,CS93.jpg,True,accertata
92/93,Reggio Calabria,Reggio Calabria 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,dicembre 1992,,RC93.jpg,True,accertata
93/94,Catanzaro,Catanzaro 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,dicembre 1993,,CZ94.jpg,True,accertata
93/94,Cosenza,Cosenza 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,dicembre 1993,,CS94.jpg,True,accertata
93/94,Reggio Calabria,Reggio Calabria 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,dicembre 1993,,RC94.jpg,True,accertata
