annata,fascicolo,provincia,citta,indicizzata
81/82,Napoli e comuni limitrofi,Napoli,Napoli,sì
81/82,Napoli e comuni limitrofi,Napoli,Arzano,sì
81/82,Napoli e comuni limitrofi,Napoli,Portici,sì
81/82,Napoli e comuni limitrofi,Napoli,San Giorgio a Cremano,sì
81/82,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
81/82,Provincia di Napoli,Napoli,Isola di Capri,sì
81/82,Provincia di Napoli,Napoli,Isola d'Ischia,sì
81/82,Provincia di Napoli,Napoli,Nola,sì
81/82,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
81/82,Provincia di Napoli,Napoli,Pozzuoli,sì
81/82,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
81/82,Provincia di Napoli,Napoli,Torre Annunziata,sì
81/82,Provincia di Napoli,Napoli,Torre del Greco,sì
81/82,Provincia di Napoli,Napoli,Penisola Sorrentina,no
81/82,Provincia di Napoli,Napoli,Sorrento,no
82/83,Napoli e comuni limitrofi,Napoli,Napoli,sì
82/83,Napoli e comuni limitrofi,Napoli,Arzano,sì
82/83,Napoli e comuni limitrofi,Napoli,Portici,sì
82/83,Napoli e comuni limitrofi,Napoli,San Giorgio a Cremano,sì
83/84,Avellino - Salerno,Avellino,Avellino,sì
83/84,Avellino - Salerno,Salerno,Salerno,sì
83/84,Avellino - Salerno,Salerno,Battipaglia,sì
83/84,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
83/84,Avellino - Salerno,Salerno,Nocera Inferiore,sì
83/84,Avellino - Salerno,Salerno,Pagani,sì
83/84,Avellino - Salerno,Salerno,Costiera amalfitana,no
83/84,Avellino - Salerno,Salerno,Amalfi,no
83/84,Napoli e comuni limitrofi,Napoli,Napoli,sì
83/84,Napoli e comuni limitrofi,Napoli,Arzano,sì
83/84,Napoli e comuni limitrofi,Napoli,Portici,sì
83/84,Napoli e comuni limitrofi,Napoli,San Giorgio a Cremano,sì
84/85,Avellino - Salerno,Avellino,Avellino,sì
84/85,Avellino - Salerno,Salerno,Salerno,sì
84/85,Avellino - Salerno,Salerno,Battipaglia,sì
84/85,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
84/85,Avellino - Salerno,Salerno,Nocera Inferiore,sì
84/85,Avellino - Salerno,Salerno,Pagani,sì
84/85,Avellino - Salerno,Salerno,Costiera amalfitana,no
84/85,Avellino - Salerno,Salerno,Amalfi,no
84/85,Benevento - Caserta,Benevento,Benevento,sì
84/85,Benevento - Caserta,Caserta,Caserta,sì
84/85,Benevento - Caserta,Caserta,Aversa,sì
84/85,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
84/85,Provincia di Napoli,Napoli,Isola di Capri,sì
84/85,Provincia di Napoli,Napoli,Isola d'Ischia,sì
84/85,Provincia di Napoli,Napoli,Nola,sì
84/85,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
84/85,Provincia di Napoli,Napoli,Pozzuoli,sì
84/85,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
84/85,Provincia di Napoli,Napoli,Torre Annunziata,sì
84/85,Provincia di Napoli,Napoli,Torre del Greco,sì
84/85,Provincia di Napoli,Napoli,Penisola Sorrentina,no
84/85,Provincia di Napoli,Napoli,Sorrento,no
85/86,Avellino - Salerno,Avellino,Avellino,sì
85/86,Avellino - Salerno,Salerno,Salerno,sì
85/86,Avellino - Salerno,Salerno,Battipaglia,sì
85/86,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
85/86,Avellino - Salerno,Salerno,Nocera Inferiore,sì
85/86,Avellino - Salerno,Salerno,Pagani,sì
85/86,Avellino - Salerno,Salerno,Costiera amalfitana,no
85/86,Avellino - Salerno,Salerno,Amalfi,no
86/87,Avellino - Salerno,Avellino,Avellino,sì
86/87,Avellino - Salerno,Salerno,Salerno,sì
86/87,Avellino - Salerno,Salerno,Battipaglia,sì
86/87,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
86/87,Avellino - Salerno,Salerno,Nocera Inferiore,sì
86/87,Avellino - Salerno,Salerno,Pagani,sì
86/87,Avellino - Salerno,Salerno,Costiera amalfitana,no
86/87,Avellino - Salerno,Salerno,Amalfi,no
86/87,Benevento - Caserta,Benevento,Benevento,sì
86/87,Benevento - Caserta,Caserta,Caserta,sì
86/87,Benevento - Caserta,Caserta,Aversa,sì
86/87,Napoli,Napoli,Napoli,sì
86/87,Napoli,Napoli,Arzano,sì
86/87,Napoli,Napoli,Portici,sì
86/87,Napoli,Napoli,San Giorgio a Cremano,sì
86/87,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
86/87,Provincia di Napoli,Napoli,Isola di Capri,sì
86/87,Provincia di Napoli,Napoli,Isola d'Ischia,sì
86/87,Provincia di Napoli,Napoli,Nola,sì
86/87,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
86/87,Provincia di Napoli,Napoli,Pozzuoli,sì
86/87,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
86/87,Provincia di Napoli,Napoli,Torre Annunziata,sì
86/87,Provincia di Napoli,Napoli,Torre del Greco,sì
86/87,Provincia di Napoli,Napoli,Penisola Sorrentina,no
86/87,Provincia di Napoli,Napoli,Sorrento,no
87/88,Avellino - Salerno,Avellino,Avellino,sì
87/88,Avellino - Salerno,Salerno,Salerno,sì
87/88,Avellino - Salerno,Salerno,Battipaglia,sì
87/88,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
87/88,Avellino - Salerno,Salerno,Nocera Inferiore,sì
87/88,Avellino - Salerno,Salerno,Pagani,sì
87/88,Avellino - Salerno,Salerno,Costiera amalfitana,no
87/88,Avellino - Salerno,Salerno,Amalfi,no
88/89,Avellino - Salerno,Avellino,Avellino,sì
88/89,Avellino - Salerno,Salerno,Salerno,sì
88/89,Avellino - Salerno,Salerno,Battipaglia,sì
88/89,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
88/89,Avellino - Salerno,Salerno,Nocera Inferiore,sì
88/89,Avellino - Salerno,Salerno,Pagani,sì
88/89,Avellino - Salerno,Salerno,Costiera amalfitana,no
88/89,Avellino - Salerno,Salerno,Amalfi,no
88/89,Benevento - Caserta,Benevento,Benevento,sì
88/89,Benevento - Caserta,Caserta,Caserta,sì
88/89,Benevento - Caserta,Caserta,Aversa,sì
88/89,Napoli,Napoli,Napoli,sì
88/89,Napoli,Napoli,Arzano,sì
88/89,Napoli,Napoli,Portici,sì
88/89,Napoli,Napoli,San Giorgio a Cremano,sì
88/89,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
88/89,Provincia di Napoli,Napoli,Isola di Capri,sì
88/89,Provincia di Napoli,Napoli,Isola d'Ischia,sì
88/89,Provincia di Napoli,Napoli,Nola,sì
88/89,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
88/89,Provincia di Napoli,Napoli,Pozzuoli,sì
88/89,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
88/89,Provincia di Napoli,Napoli,Torre Annunziata,sì
88/89,Provincia di Napoli,Napoli,Torre del Greco,sì
88/89,Provincia di Napoli,Napoli,Penisola Sorrentina,no
88/89,Provincia di Napoli,Napoli,Sorrento,no
89/90,Avellino - Salerno,Avellino,Avellino,sì
89/90,Avellino - Salerno,Salerno,Salerno,sì
89/90,Avellino - Salerno,Salerno,Battipaglia,sì
89/90,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
89/90,Avellino - Salerno,Salerno,Nocera Inferiore,sì
89/90,Avellino - Salerno,Salerno,Pagani,sì
89/90,Avellino - Salerno,Salerno,Costiera amalfitana,no
89/90,Avellino - Salerno,Salerno,Amalfi,no
89/90,Benevento - Caserta,Benevento,Benevento,sì
89/90,Benevento - Caserta,Caserta,Caserta,sì
89/90,Benevento - Caserta,Caserta,Aversa,sì
89/90,Napoli,Napoli,Napoli,sì
89/90,Napoli,Napoli,Arzano,sì
89/90,Napoli,Napoli,Portici,sì
89/90,Napoli,Napoli,San Giorgio a Cremano,sì
89/90,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
89/90,Provincia di Napoli,Napoli,Isola di Capri,sì
89/90,Provincia di Napoli,Napoli,Isola d'Ischia,sì
89/90,Provincia di Napoli,Napoli,Nola,sì
89/90,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
89/90,Provincia di Napoli,Napoli,Pozzuoli,sì
89/90,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
89/90,Provincia di Napoli,Napoli,Torre Annunziata,sì
89/90,Provincia di Napoli,Napoli,Torre del Greco,sì
89/90,Provincia di Napoli,Napoli,Ottaviano,no
89/90,Provincia di Napoli,Napoli,Penisola Sorrentina,no
89/90,Provincia di Napoli,Napoli,Sorrento,no
90/91,Napoli e dintorni,Napoli,Napoli,sì
90/91,Napoli e dintorni,Napoli,Arzano,sì
90/91,Napoli e dintorni,Napoli,Portici,sì
90/91,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
90/91,Avellino - Salerno,Avellino,Avellino,sì
90/91,Avellino - Salerno,Avellino,Ariano Irpino,sì
90/91,Avellino - Salerno,Salerno,Salerno,sì
90/91,Avellino - Salerno,Salerno,Agropoli,sì
90/91,Avellino - Salerno,Salerno,Battipaglia,sì
90/91,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
90/91,Avellino - Salerno,Salerno,Mercato San Severino,sì
90/91,Avellino - Salerno,Salerno,Nocera Inferiore,sì
90/91,Avellino - Salerno,Salerno,Pagani,sì
90/91,Avellino - Salerno,Salerno,Pontecagnano,sì
90/91,Benevento - Caserta,Benevento,Benevento,sì
90/91,Benevento - Caserta,Caserta,Caserta,sì
90/91,Benevento - Caserta,Caserta,Aversa,sì
90/91,Benevento - Caserta,Caserta,Maddaloni,sì
90/91,Benevento - Caserta,Caserta,Santa Maria Capua Vetere,sì
91/92,Napoli e dintorni,Napoli,Napoli,sì
91/92,Napoli e dintorni,Napoli,Arzano,sì
91/92,Napoli e dintorni,Napoli,Ercolano,sì
91/92,Napoli e dintorni,Napoli,Portici,sì
91/92,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
91/92,Provincia di Napoli,Napoli,Afragola,sì
91/92,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
91/92,Provincia di Napoli,Napoli,Isola di Capri,sì
91/92,Provincia di Napoli,Napoli,Isola d'Ischia,sì
91/92,Provincia di Napoli,Napoli,Nola,sì
91/92,Provincia di Napoli,Napoli,Ottaviano,sì
91/92,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
91/92,Provincia di Napoli,Napoli,Pompei,sì
91/92,Provincia di Napoli,Napoli,Pozzuoli,sì
91/92,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
91/92,Provincia di Napoli,Napoli,Torre Annunziata,sì
91/92,Provincia di Napoli,Napoli,Torre del Greco,sì
91/92,Avellino - Salerno,Avellino,Avellino,sì
91/92,Avellino - Salerno,Avellino,Ariano Irpino,sì
91/92,Avellino - Salerno,Salerno,Salerno,sì
91/92,Avellino - Salerno,Salerno,Agropoli,sì
91/92,Avellino - Salerno,Salerno,Battipaglia,sì
91/92,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
91/92,Avellino - Salerno,Salerno,Eboli,sì
91/92,Avellino - Salerno,Salerno,Mercato San Severino,sì
91/92,Avellino - Salerno,Salerno,Nocera Inferiore,sì
91/92,Avellino - Salerno,Salerno,Pagani,sì
91/92,Avellino - Salerno,Salerno,Vallo della Lucania,sì
91/92,Benevento - Caserta,Benevento,Benevento,sì
91/92,Benevento - Caserta,Caserta,Caserta,sì
91/92,Benevento - Caserta,Caserta,Aversa,sì
91/92,Benevento - Caserta,Caserta,Maddaloni,sì
91/92,Benevento - Caserta,Caserta,Santa Maria Capua Vetere,sì
92/93,Napoli e dintorni,Napoli,Napoli,sì
92/93,Napoli e dintorni,Napoli,Arzano,sì
92/93,Napoli e dintorni,Napoli,Ercolano,sì
92/93,Napoli e dintorni,Napoli,Portici,sì
92/93,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
92/93,Provincia di Napoli,Napoli,Afragola,sì
92/93,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
92/93,Provincia di Napoli,Napoli,Isola di Capri,sì
92/93,Provincia di Napoli,Napoli,Isola d'Ischia,sì
92/93,Provincia di Napoli,Napoli,Nola,sì
92/93,Provincia di Napoli,Napoli,Ottaviano,sì
92/93,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
92/93,Provincia di Napoli,Napoli,Pompei,sì
92/93,Provincia di Napoli,Napoli,Pozzuoli,sì
92/93,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
92/93,Provincia di Napoli,Napoli,Torre Annunziata,sì
92/93,Provincia di Napoli,Napoli,Torre del Greco,sì
92/93,Avellino - Salerno,Avellino,Avellino,sì
92/93,Avellino - Salerno,Avellino,Ariano Irpino,sì
92/93,Avellino - Salerno,Salerno,Salerno,sì
92/93,Avellino - Salerno,Salerno,Agropoli,sì
92/93,Avellino - Salerno,Salerno,Battipaglia,sì
92/93,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
92/93,Avellino - Salerno,Salerno,Eboli,sì
92/93,Avellino - Salerno,Salerno,Mercato San Severino,sì
92/93,Avellino - Salerno,Salerno,Nocera Inferiore,sì
92/93,Avellino - Salerno,Salerno,Pagani,sì
92/93,Avellino - Salerno,Salerno,Pontecagnano,sì
92/93,Benevento - Caserta,Benevento,Benevento,sì
92/93,Benevento - Caserta,Caserta,Caserta,sì
92/93,Benevento - Caserta,Caserta,Aversa,sì
92/93,Benevento - Caserta,Caserta,Maddaloni,sì
92/93,Benevento - Caserta,Caserta,Santa Maria Capua Vetere,sì
93/94,Napoli e dintorni,Napoli,Napoli,sì
93/94,Napoli e dintorni,Napoli,Arzano,sì
93/94,Napoli e dintorni,Napoli,Ercolano,sì
93/94,Napoli e dintorni,Napoli,Portici,sì
93/94,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
93/94,Provincia di Napoli,Napoli,Afragola,sì
93/94,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
93/94,Provincia di Napoli,Napoli,Isola di Capri,sì
93/94,Provincia di Napoli,Napoli,Isola d'Ischia,sì
93/94,Provincia di Napoli,Napoli,Nola,sì
93/94,Provincia di Napoli,Napoli,Ottaviano,sì
93/94,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
93/94,Provincia di Napoli,Napoli,Pompei,sì
93/94,Provincia di Napoli,Napoli,Pozzuoli,sì
93/94,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
93/94,Provincia di Napoli,Napoli,Torre Annunziata,sì
93/94,Provincia di Napoli,Napoli,Torre del Greco,sì
93/94,Benevento - Caserta,Benevento,Benevento,sì
93/94,Benevento - Caserta,Caserta,Caserta,sì
93/94,Benevento - Caserta,Caserta,Aversa,sì
93/94,Benevento - Caserta,Caserta,Maddaloni,sì
93/94,Benevento - Caserta,Caserta,Santa Maria Capua Vetere,sì
93/94,Avellino - Salerno,Avellino,Avellino,sì
93/94,Avellino - Salerno,Avellino,Ariano Irpino,sì
93/94,Avellino - Salerno,Salerno,Salerno,sì
93/94,Avellino - Salerno,Salerno,Agropoli,sì
93/94,Avellino - Salerno,Salerno,Battipaglia,sì
93/94,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
93/94,Avellino - Salerno,Salerno,Eboli,sì
93/94,Avellino - Salerno,Salerno,Mercato San Severino,sì
93/94,Avellino - Salerno,Salerno,Nocera Inferiore,sì
93/94,Avellino - Salerno,Salerno,Pagani,sì
93/94,Avellino - Salerno,Salerno,Pontecagnano,sì
93/94,Avellino - Salerno,Salerno,Vallo della Lucania,sì
94/95,Napoli e dintorni,Napoli,Napoli,sì
94/95,Napoli e dintorni,Napoli,Arzano,sì
94/95,Napoli e dintorni,Napoli,Casoria,sì
94/95,Napoli e dintorni,Napoli,Ercolano,sì
94/95,Napoli e dintorni,Napoli,Portici,sì
94/95,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
94/95,Provincia di Napoli,Napoli,Afragola,sì
94/95,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
94/95,Provincia di Napoli,Napoli,Frattamaggiore,sì
94/95,Provincia di Napoli,Napoli,Isola di Capri,sì
94/95,Provincia di Napoli,Napoli,Isola d'Ischia,sì
94/95,Provincia di Napoli,Napoli,Nola,sì
94/95,Provincia di Napoli,Napoli,Ottaviano,sì
94/95,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
94/95,Provincia di Napoli,Napoli,Pompei,sì
94/95,Provincia di Napoli,Napoli,Pozzuoli,sì
94/95,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
94/95,Provincia di Napoli,Napoli,Torre Annunziata,sì
94/95,Provincia di Napoli,Napoli,Torre del Greco,sì
94/95,Avellino - Salerno,Avellino,Avellino,sì
94/95,Avellino - Salerno,Avellino,Ariano Irpino,sì
94/95,Avellino - Salerno,Salerno,Salerno,sì
94/95,Avellino - Salerno,Salerno,Agropoli,sì
94/95,Avellino - Salerno,Salerno,Battipaglia,sì
94/95,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
94/95,Avellino - Salerno,Salerno,Eboli,sì
94/95,Avellino - Salerno,Salerno,Mercato San Severino,sì
94/95,Avellino - Salerno,Salerno,Nocera Inferiore,sì
94/95,Avellino - Salerno,Salerno,Pagani,sì
94/95,Avellino - Salerno,Salerno,Pontecagnano,sì
94/95,Avellino - Salerno,Salerno,Vallo della Lucania,sì
94/95,Benevento - Caserta,Benevento,Benevento,sì
94/95,Benevento - Caserta,Caserta,Caserta,sì
94/95,Benevento - Caserta,Caserta,Aversa,sì
94/95,Benevento - Caserta,Caserta,Maddaloni,sì
94/95,Benevento - Caserta,Caserta,Santa Maria Capua Vetere,sì
95/96,Napoli e dintorni,Napoli,Napoli,sì
95/96,Napoli e dintorni,Napoli,Arzano,sì
95/96,Napoli e dintorni,Napoli,Casoria,sì
95/96,Napoli e dintorni,Napoli,Ercolano,sì
95/96,Napoli e dintorni,Napoli,Portici,sì
95/96,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
95/96,Provincia di Napoli,Napoli,Afragola,sì
95/96,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
95/96,Provincia di Napoli,Napoli,Frattamaggiore,sì
95/96,Provincia di Napoli,Napoli,Isola di Capri,sì
95/96,Provincia di Napoli,Napoli,Isola d'Ischia,sì
95/96,Provincia di Napoli,Napoli,Nola,sì
95/96,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
95/96,Provincia di Napoli,Napoli,Pompei,sì
95/96,Provincia di Napoli,Napoli,Pozzuoli,sì
95/96,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
95/96,Provincia di Napoli,Napoli,Torre Annunziata,sì
95/96,Provincia di Napoli,Napoli,Torre del Greco,sì
95/96,Avellino - Salerno,Avellino,Avellino,sì
95/96,Avellino - Salerno,Avellino,Ariano Irpino,sì
95/96,Avellino - Salerno,Salerno,Salerno,sì
95/96,Avellino - Salerno,Salerno,Agropoli,sì
95/96,Avellino - Salerno,Salerno,Battipaglia,sì
95/96,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
95/96,Avellino - Salerno,Salerno,Eboli,sì
95/96,Avellino - Salerno,Salerno,Mercato San Severino,sì
95/96,Avellino - Salerno,Salerno,Nocera Inferiore,sì
95/96,Avellino - Salerno,Salerno,Pagani,sì
95/96,Avellino - Salerno,Salerno,Pontecagnano,sì
95/96,Avellino - Salerno,Salerno,Vallo della Lucania,sì
95/96,Benevento - Caserta,Benevento,Benevento,sì
95/96,Benevento - Caserta,Caserta,Caserta,sì
95/96,Benevento - Caserta,Caserta,Aversa,sì
95/96,Benevento - Caserta,Caserta,Maddaloni,sì
95/96,Benevento - Caserta,Caserta,Santa Maria Capua Vetere,sì
96/97,Napoli e dintorni,Napoli,Napoli,sì
96/97,Napoli e dintorni,Napoli,Arzano,sì
96/97,Napoli e dintorni,Napoli,Casoria,sì
96/97,Napoli e dintorni,Napoli,Ercolano,sì
96/97,Napoli e dintorni,Napoli,Portici,sì
96/97,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
96/97,Provincia di Napoli,Napoli,Afragola,sì
96/97,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
96/97,Provincia di Napoli,Napoli,Frattamaggiore,sì
96/97,Provincia di Napoli,Napoli,Isola di Capri,sì
96/97,Provincia di Napoli,Napoli,Isola d'Ischia,sì
96/97,Provincia di Napoli,Napoli,Nola,sì
96/97,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
96/97,Provincia di Napoli,Napoli,Pompei,sì
96/97,Provincia di Napoli,Napoli,Pozzuoli,sì
96/97,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
96/97,Provincia di Napoli,Napoli,Torre Annunziata,sì
96/97,Provincia di Napoli,Napoli,Torre del Greco,sì
96/97,Avellino - Salerno,Avellino,Avellino,sì
96/97,Avellino - Salerno,Avellino,Ariano Irpino,sì
96/97,Avellino - Salerno,Salerno,Salerno,sì
96/97,Avellino - Salerno,Salerno,Agropoli,sì
96/97,Avellino - Salerno,Salerno,Battipaglia,sì
96/97,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
96/97,Avellino - Salerno,Salerno,Eboli,sì
96/97,Avellino - Salerno,Salerno,Mercato San Severino,sì
96/97,Avellino - Salerno,Salerno,Nocera Inferiore,sì
96/97,Avellino - Salerno,Salerno,Pagani,sì
96/97,Avellino - Salerno,Salerno,Pontecagnano,sì
96/97,Avellino - Salerno,Salerno,Vallo della Lucania,sì
97/98,Napoli e dintorni,Napoli,Napoli,sì
97/98,Napoli e dintorni,Napoli,Arzano,sì
97/98,Napoli e dintorni,Napoli,Casoria,sì
97/98,Napoli e dintorni,Napoli,Ercolano,sì
97/98,Napoli e dintorni,Napoli,Portici,sì
97/98,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
97/98,Provincia di Napoli,Napoli,Afragola,sì
97/98,Provincia di Napoli,Napoli,Castellammare di Stabia,sì
97/98,Provincia di Napoli,Napoli,Frattamaggiore,sì
97/98,Provincia di Napoli,Napoli,Isola di Capri,sì
97/98,Provincia di Napoli,Napoli,Isola d'Ischia,sì
97/98,Provincia di Napoli,Napoli,Nola,sì
97/98,Provincia di Napoli,Napoli,Pomigliano d'Arco,sì
97/98,Provincia di Napoli,Napoli,Pompei,sì
97/98,Provincia di Napoli,Napoli,Pozzuoli,sì
97/98,Provincia di Napoli,Napoli,San Giuseppe Vesuviano,sì
97/98,Provincia di Napoli,Napoli,Torre Annunziata,sì
97/98,Provincia di Napoli,Napoli,Torre del Greco,sì
97/98,Avellino - Salerno,Avellino,Avellino,sì
97/98,Avellino - Salerno,Avellino,Ariano Irpino,sì
97/98,Avellino - Salerno,Salerno,Salerno,sì
97/98,Avellino - Salerno,Salerno,Agropoli,sì
97/98,Avellino - Salerno,Salerno,Battipaglia,sì
97/98,Avellino - Salerno,Salerno,Cava de' Tirreni,sì
97/98,Avellino - Salerno,Salerno,Eboli,sì
97/98,Avellino - Salerno,Salerno,Mercato San Severino,sì
97/98,Avellino - Salerno,Salerno,Nocera Inferiore,sì
97/98,Avellino - Salerno,Salerno,Pagani,sì
97/98,Avellino - Salerno,Salerno,Pontecagnano,sì
97/98,Avellino - Salerno,Salerno,Vallo della Lucania,sì
97/98,Benevento - Caserta,Benevento,Benevento,sì
97/98,Benevento - Caserta,Caserta,Caserta,sì
97/98,Benevento - Caserta,Caserta,Aversa,sì
97/98,Benevento - Caserta,Caserta,Maddaloni,sì
97/98,Benevento - Caserta,Caserta,Santa Maria Capua Vetere,sì
98/99,Napoli e dintorni,Napoli,Napoli,sì
98/99,Napoli e dintorni,Napoli,Arzano,sì
98/99,Napoli e dintorni,Napoli,Casoria,sì
98/99,Napoli e dintorni,Napoli,Ercolano,sì
98/99,Napoli e dintorni,Napoli,Marano di Napoli,sì
98/99,Napoli e dintorni,Napoli,Portici,sì
98/99,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
98/99,Napoli e dintorni,Napoli,Pozzuoli,no
00/01,Napoli e dintorni,Napoli,Napoli,sì
00/01,Napoli e dintorni,Napoli,Arzano,sì
00/01,Napoli e dintorni,Napoli,Casoria,sì
00/01,Napoli e dintorni,Napoli,Ercolano,sì
00/01,Napoli e dintorni,Napoli,Marano di Napoli,sì
00/01,Napoli e dintorni,Napoli,Portici,sì
00/01,Napoli e dintorni,Napoli,San Giorgio a Cremano,sì
00/01,Napoli e dintorni,Napoli,Pozzuoli,no
01/02,Napoli e dintorni,Napoli,Napoli,sì
01/02,Napoli e dintorni,Napoli,Arzano,sì
01/02,Napoli e dintorni,Napoli,Casoria,sì
01/02,Napoli e dintorni,Napoli,Ercolano,sì
