annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Napoli e comuni limitrofi,Napoli e comuni limitrofi 81,81,Copertina 81 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,128,luglio 1981,Nota dell'editore,NA81.jpg,True,accertata
81/82,Provincia di Napoli,Provincia di Napoli 81,81,Copertina 81 verde,246 x 280 mm,grossa,TuttoCittà '80 con foto,32,luglio 1981,Nota dell'editore,PROVNA81.jpg,True,accertata
81/82,Avellino - Salerno,Avellino - Salerno 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,Nota dell'editore,Ricercato1.jpg,False,accertata
81/82,Benevento - Caserta,Benevento - Caserta 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,Nota dell'editore,Ricercato1.jpg,False,accertata
82/83,Napoli e comuni limitrofi,Napoli e comuni limitrofi 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,128,giugno 1982,,NA82.jpg,True,accertata
82/83,Provincia di Napoli,Provincia di Napoli 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False,accertata
82/83,Avellino - Salerno,Avellino - Salerno 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False,accertata
82/83,Benevento - Caserta,Benevento - Caserta 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False,accertata
83/84,Napoli e comuni limitrofi,Napoli e comuni limitrofi 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,128,giugno 1983,,NA83.jpg,True,accertata
83/84,Provincia di Napoli,Provincia di Napoli 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False,accertata
83/84,Avellino - Salerno,Avellino - Salerno 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,40,luglio 1983,,AVSA83.jpg,True,accertata
83/84,Benevento - Caserta,Benevento - Caserta 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False,accertata
84/85,Napoli e comuni limitrofi,Napoli e comuni limitrofi 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,Inserto Costituzione,Ricercato1.jpg,False,accertata
84/85,Provincia di Napoli,Provincia di Napoli 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,32,giugno 1984,Inserto Costituzione,PROVNA84.jpg,True,accertata
84/85,Avellino - Salerno,Avellino - Salerno 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,40,giugno 1984,Inserto Costituzione,AVSA84.jpg,True,accertata
84/85,Benevento - Caserta,Benevento - Caserta 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,giugno 1984,Inserto Costituzione,BNCE84.jpg,True,accertata
85/86,Napoli,Napoli 86,86,Copertina 86 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,64,novembre 1985,,Ricercato1.jpg,False,accertata
85/86,Provincia di Napoli,Provincia di Napoli 86,86,Copertina 86 rossa,246 x 280 mm,grossa,TuttoCittà '80 edifici,,,,Ricercato1.jpg,False,accertata
85/86,Avellino - Salerno,Avellino - Salerno 86,86,Copertina 86 rossa,246 x 280 mm,grossa,TuttoCittà '80 edifici,40,settembre 1985,,AVSA86.jpg,True,accertata
85/86,Benevento - Caserta,Benevento - Caserta 86,86,Copertina 86 rossa,246 x 280 mm,grossa,TuttoCittà '80 edifici,,,,Ricercato1.jpg,False,accertata
86/87,Napoli,Napoli 87,87,Copertina 87 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,112,luglio 1986,,NA87.jpg,True,accertata
86/87,Provincia di Napoli,Provincia di Napoli 87,87,Copertina 87 azzurra,246 x 280 mm,grossa,TuttoCittà '80 edifici,32,luglio 1986,,PROVNA87.jpg,True,accertata
86/87,Avellino - Salerno,Avellino - Salerno 87,87,Copertina 87 azzurra,246 x 280 mm,grossa,TuttoCittà '80 edifici,32,luglio 1986,,AVSA87.jpg,True,accertata
