annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta
81/82,Trieste,Trieste 81,81,Copertina 81 verde,246 x 280 mm,grossa,Stradario SEAT,32,aprile 1981,Nota dell'editore,TS81.jpg,True
81/82,Gorizia - Pordenone - Udine,Gorizia - Pordenone - Udine 81,81,Copertina 81 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,48,aprile 1981,Nota dell'editore,GOPNUD81.jpg,True
82/83,Trieste,Trieste 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,32,aprile 1982,,TS82.jpg,True
82/83,Gorizia - Pordenone - Udine,Gorizia - Pordenone - Udine 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,48,aprile 1982,,GOPNUD82.jpg,True
83/84,Trieste,Trieste 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False
83/84,Gorizia - Pordenone - Udine,Gorizia - Pordenone - Udine 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,48,aprile 1983,,GOPNUD83.jpg,True
84/85,Gorizia - Trieste,Gorizia - Trieste 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,40,marzo 1984,Inserto Costituzione,GOTS84.jpg,True
84/85,Pordenone - Udine,Pordenone - Udine 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,marzo 1984,Inserto Costituzione,PNUD84.jpg,True
85/86,Gorizia - Trieste,Gorizia - Trieste 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,40,marzo 1985,,GOTS85.jpg,True
85/86,Pordenone - Udine,Pordenone - Udine 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,24,marzo 1985,,PNUD85.jpg,True
86/87,Gorizia - Trieste,Gorizia - Trieste 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,40,marzo 1986,,GOTS86.jpg,True
86/87,Pordenone - Udine,Pordenone - Udine 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,marzo 1986,,PNUD86.jpg,True
87/88,Gorizia - Trieste,Gorizia - Trieste 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,40,marzo 1987,,GOTS87.jpg,True
87/88,Pordenone - Udine,Pordenone - Udine 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,marzo 1987,,PNUD87.jpg,True
88/89,Gorizia - Trieste,Gorizia - Trieste 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,40,marzo 1988,,GOTS88.jpg,True
88/89,Udine,Udine 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,marzo 1988,,UD88.jpg,True
88/89,Pordenone,Pordenone 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,marzo 1988,,PN88.jpg,True
89/90,Gorizia - Trieste,Gorizia - Trieste 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,40,aprile 1989,,GOTS89.jpg,True
89/90,Udine,Udine 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,aprile 1989,,UD89.jpg,True
89/90,Pordenone,Pordenone 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,aprile 1989,,PN89.jpg,True
90/91,Gorizia - Trieste,Gorizia - Trieste 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,aprile 1990,nota dell'editore,GOTS9091.jpg,True
90/91,Udine,Udine 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,aprile 1990,nota dell'editore,UD9091.jpg,True
90/91,Pordenone,Pordenone 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,16,aprile 1990,nota dell'editore,PN9091.jpg,True
91/92,Gorizia - Trieste,Gorizia - Trieste 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,aprile 1991,,GOTS91.jpg,True
91/92,Udine,Udine 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,aprile 1991,,UD91.jpg,True
91/92,Pordenone,Pordenone 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,16,aprile 1991,,PN91.jpg,True
92/93,Gorizia - Trieste,Gorizia - Trieste 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,48,aprile 1992,,GOTS92.jpg,True
92/93,Udine,Udine 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,32,aprile 1992,,UD92.jpg,True
92/93,Pordenone,Pordenone 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,,,,Ricercato1.jpg,False
93/94,Gorizia - Trieste,Gorizia - Trieste 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,40,aprile 1993,,GOTS93.jpg,True
93/94,Udine,Udine 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,24,aprile 1993,,UD93.jpg,True
93/94,Pordenone,Pordenone 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,16,aprile 1993,,PN93.jpg,True
94/95,Gorizia - Trieste,Gorizia - Trieste 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,aprile 1994,,GOTS94.jpg,True
94/95,Udine,Udine 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,aprile 1994,,UD94.jpg,True
94/95,Pordenone,Pordenone 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False
95/96,Gorizia - Trieste,Gorizia - Trieste 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,38,aprile 1995,,GOTS95.jpg,True
95/96,Udine,Udine 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,aprile 1995,,UD95.jpg,True
95/96,Pordenone,Pordenone 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,aprile 1995,,PN95.jpg,True
96/97,Gorizia - Trieste,Gorizia - Trieste 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,aprile 1996,Grande aumento topografia Trieste,GOTS96.jpg,True
96/97,Udine,Udine 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False
