annata,provincia,titolo
90/91,Roma,Percorsi. Le ragioni di un fascino - Quondamdomenico e Amen
90/91,Roma,Colosseo: i gladiatori le belve il circo la morte. Il film di un monumento
90/91,Roma,I capolavori nascosti nei piccoli musei
90/91,Roma,I tempi d'oro di via Veneto
90/91,Roma,Li chiamavano paparazzi
90/91,Roma,Il ritorno di Marco Aurelio
90/91,Roma,L'enigma di quell'obelisco
90/91,Roma,Ostia. La rocca del papa
90/91,Roma,Ma Pasquino non ha detto l'ultima parola
90/91,Roma,Il cancello la fontana la chiesa. Accesso insolito alla Città del Vaticano
90/91,Roma,La straordinaria avventura del Giudizio Universale
90/91,Roma,I giardini segreti di Villa Borghese
90/91,Roma,Romanzi e complotti al Caffè Greco
90/91,Roma,Fra le quinte del Vittoriano
90/91,Roma,"Da Piacentini a Nervi, il disegno dell'Eur"
90/91,Roma,Nelle aule del Liceo Mamiani
90/91,Roma,Lo stile Alinari sulle rive del Tevere
90/91,Roma,25 agosto 1960. Si accende la fiaccola delle Olimpiadi
90/91,Roma,Scintillanti sfide sulla terra rossa
90/91,Roma,... E la domenica abbacchio
90/91,Roma,"Fatebenefratelli, un ospedale modello nel Cinquecento"
90/91,Provincia di Roma,"Itinerari. Lo vedi, ecco Marino…"
90/91,Provincia di Roma,Date storiche
90/91,Provincia di Roma,Alle origini di Albano
90/91,Provincia di Roma,Civitavecchia. La fortezza sul porto
90/91,Provincia di Roma,Le dimore degli Orsini sul lago di Bracciano
90/91,Provincia di Roma,Pomezia e dintorni: dalla palude al boom
90/91,Provincia di Roma,Cerveteri. Il riposo degli etruschi
90/91,Provincia di Roma,Due passi all'ombra della Rocca
90/91,Provincia di Roma,Lo spettacolo dell'arcobaleno nelle fontane di Tivoli
90/91,Provincia di Roma,Villa Adriana. I sogni dell'imperatore
90/91,Provincia di Roma,"Anzio. Le leggende, le spiagge, le feste"
90/91,Provincia di Roma,Le delizie doc di Catone il Censore
90/91,Provincia di Roma,La ricetta della nonna
90/91,Provincia di Roma,Le fortune di Palestrina
90/91,Provincia di Roma,Subiaco. La villa di Nerone e la grotta del Santo
90/91,Frosinone,"Anni 90. Interporto, strade e depuratori nel futuro del Frusinate"
90/91,Frosinone,Identikit di una provincia
90/91,Frosinone,Il sacro e il profano nella città dei Volsci
90/91,Frosinone,Date storiche
90/91,Frosinone,Terme e salute da Michelangelo a Gorbaciov
90/91,Frosinone,L'eredità di un'abbazia risorta dalle ceneri
90/91,Frosinone,"Sora, il benessere viene dal fiume"
90/91,Frosinone,Le pitture del Cavalier d'Arpino
90/91,Frosinone,Isola del Liri e lago Fibreno dall'industria al turismo
90/91,Frosinone,Le mura ciclopiche di Alatri
90/91,Frosinone,Una Madonna da Costantinopoli
90/91,Frosinone,"Anagni, città dei papi"
90/91,Frosinone,La cattedrale di Santa Maria
90/91,Frosinone,Verulano e il timballo di Bonifacio
90/91,Frosinone,Antichi marmi nel Duomo di Ferentino
90/91,Frosinone,"Collepardo, i liquori della Certosa"
90/91,Frosinone,"Casamari, le erbe dei Trappisto"
90/91,Frosinone,Le industrie di Ceccano
90/91,Latina,Anni 90. Bulbi e fiori conquistano l'Europa
90/91,Latina,Identikit di una provincia
90/91,Latina,"Così nacque la ""città ideale"""
90/91,Latina,L'Agro pontino. Storia di una bonifica
90/91,Latina,"Terracina, il Duomo sul tempio di Augusto"
90/91,Latina,Agavi tra le bianche case di Sperlonga
90/91,Latina,L'oasi verde di Ninfa nata dalla città sommersa
90/91,Latina,Quel lembo di foresta della Maga Circe
90/91,Latina,Le ricette della nonna
90/91,Rieti,Anni 90. Primo: rompere l'isolamento
90/91,Rieti,Identikit di una provincia
90/91,Rieti,Fotografia di un capolavoro
90/91,Rieti,La valle dei conventi
90/91,Rieti,Date storiche
90/91,Rieti,Le nevi del Terminillo
90/91,Rieti,La ricetta della nonna
90/91,Viterbo,Anni 90. Nuove strade per il rilancio
90/91,Viterbo,Identikit di una provincia
90/91,Viterbo,I Cavalieri di Santa Rosa
90/91,Viterbo,Date storiche
90/91,Viterbo,Bolsena. Turismo sul lago degli etruschi
90/91,Viterbo,Anno 1900. Un giudizio sbagliato
90/91,Viterbo,Una civiltà scivolata nell'oblio
90/91,Viterbo,Nel cratere di Montefiascone
90/91,Viterbo,La ricetta della nonna
91/92,Roma,Verso il '92. Il nuovo volto di Roma capitale
91/92,Roma,Due automobili ogni tre abitanti
91/92,Roma,"Come eravamo. Coccapieller, la voce del ""popolaccio"""
91/92,Roma,Traffico sconfitto dal metrò?
91/92,Roma,"Gli stornelli di Trastevere, storie di vita"
91/92,Roma,Passeggiate per Roma di notte
91/92,Roma,La città di Piranesi tra sogno e realtà
91/92,Roma,Amore e sorpresa negli occhi dei turisti
91/92,Roma,Quando nacque Cinecittà
91/92,Roma,"Piazza di Siena, trionfi a cavallo"
91/92,Roma,Novembre 1921: arriva la salma del Milite Ignoto
91/92,Roma,Alle terme con Nerone
91/92,Roma,"Luiss, l'università dei manager"
91/92,Roma,1900: a congresso per Giordano Bruno
91/92,Roma,L'antico Egitto nei Musei Vaticani
91/92,Roma,Il volto di Gesù sul fazzoletto di Veronica
91/92,Roma,"Il museo del folklore, un tuffo nella ""Roma sparita"""
91/92,Roma,Quei tifosi ruggenti del Foro Italico
91/92,Roma,Il calcio nell'era di Viola
91/92,Roma,Vini e gastronomia. La tradizione dei grandi primi
91/92,Roma,"L'abbacchio, che poesia!"
91/92,Roma,I volontari della Caritas contro l'emarginazione
91/92,Roma,Policlinico Gemelli: da trent'anni a servizio della scienza medica
91/92,Provincia di Roma,Verso l'Europa. Il futuro è un'area metropolitana
91/92,Provincia di Roma,La provincia in cifre
91/92,Provincia di Roma,Come eravamo. Viaggiatori eccellenti nella campagna romana
91/92,Provincia di Roma,La campagna cambia volto
91/92,Provincia di Roma,Nomi e cognomi. A Civitavecchia il mistero dei Biferali
91/92,Provincia di Roma,Fra gli etruschi di Tarquinia
91/92,Provincia di Roma,La vita nei borghi contro lo stress della città
91/92,Provincia di Roma,"Monterano, una città fantasma tra i boschi"
91/92,Provincia di Roma,Nella grotta di Subiaco dove si rifugiò san Benedetto
91/92,Provincia di Roma,Ombrelli di Carpineto per chi pesca le anguille
91/92,Provincia di Roma,"Anticoli Corrado, ""isola"" degli artisti"
91/92,Provincia di Roma,1944: il baseball sbarca a Nettuno
91/92,Provincia di Roma,"Vini e gastronomia. Dai Castelli al mare, ricette semplici"
91/92,Provincia di Roma,"In tavola, un'idea di vino"
91/92,Frosinone,Verso l'Europa. La piccola impresa guarda al futuro
91/92,Frosinone,La provincia in cifre
91/92,Frosinone,"Pontecorvo, culla di patrioti"
91/92,Frosinone,"Fiuggi, trampolino per la Libia"
91/92,Frosinone,"Nomi e Cognomi. Spaziani a Frosinone, Valente a Cassino"
91/92,Frosinone,La Ciociaria nel mondo ha il volto della Loren
91/92,Frosinone,"Casamari, l'abbazia del cioccolato"
91/92,Frosinone,"Università di Cassino, piccolo è bello"
91/92,Frosinone,I piaceri delle terme
91/92,Frosinone,"Veroli, i ricami delle suore tessitrici"
91/92,Frosinone,Le pareti musicali delle grotte di Pastena
91/92,Frosinone,"Franco Fava, cuore matto"
91/92,Frosinone,Vini e gastronomia. Gusti forti e ricette corpose
91/92,Frosinone,"Itinerari per il week-end. Oltre il querceto, la certosa di Trisulti"
91/92,Frosinone,Un rosso di sangue blu
91/92,Latina,Verso l'Europa. Cultura e turismo nel futuro di Latina
91/92,Latina,Una provincia agricola
91/92,Latina,Nomi e cognomi. Erasmo abita a Gaeta
91/92,Latina,Come eravamo. Una via per i pionieri della bonifica
91/92,Latina,"Veneti, friulani e siciliani concittadini da sessant'anni"
91/92,Latina,"Anziani e immigrati, la città si mobilita"
91/92,Latina,Un quotidiano nato per dar voce alla gente
91/92,Latina,"La fortezza di Gaeta, ultimo bunker dei Borboni"
91/92,Latina,"Fondi, la bella Giulia sfuggita al pirata"
91/92,Latina,Sermoneta amata da Virgilio
91/92,Latina,Tra il gotico di Fossanova dove morì san Tommaso
91/92,Latina,La città dei Savoia fatta in 253 giorni
91/92,Latina,"Formia, il villaggio degli atleti"
91/92,Latina,"Il Circeo di Damato, tante idee per la tv"
91/92,Latina,Vini e gastronomia. Abbacchio e formaggio fritto
91/92,Latina,"Merlot, Sangiovese e Trebbiano"
91/92,Latina,Itinerari per il week-end. Da Latina a Gaeta tra spiagge e scogliere
91/92,Latina,"Itri, l'infiorata del Corpus Domini"
91/92,Rieti,Verso l'Europa. Un cammino difficile
91/92,Rieti,I numeri della provincia
91/92,Rieti,"Nomi e cognomi. I Faraglia di Rieti, i Cattani di Antrodoco"
91/92,Rieti,"L'abbazia di Farfa, culla della cultura medioevale"
91/92,Rieti,"Aria buona, anzi ""giusta"" per far volare gli alianti"
91/92,Rieti,"Calcagnadoro, un maestro tra Ottocento e liberty"
91/92,Rieti,In villeggiatura a Poggio Mirteto
91/92,Rieti,Itinerari per il week-end. Un giro intorno al Terminillo
91/92,Rieti,Vini e gastronomia. I bucatini di Amatrice
91/92,Rieti,"L'ultimo dei ""circhiari"", maestro di un'arte antica"
91/92,Viterbo,"Verso l'Europa. Viterbo, città della cultura"
91/92,Viterbo,Agricoltura e allevamento
91/92,Viterbo,Conclave sotto le stelle
91/92,Viterbo,Nella patria di san Bonaventura
91/92,Viterbo,Nomi e cognomi. Fra Orte e Baschi è nato Quandam
91/92,Viterbo,"Soriano, città d'arte ma ricca di industrie"
91/92,Viterbo,"Tufo peperino, la pietra di Viterbo"
91/92,Viterbo,Civita di Bagnoregio rinasce grazie a un miracolo di tecnologia
91/92,Viterbo,I palazzi Orsini e FGarnese alle falde dei Cimini
91/92,Viterbo,"Vini e gastronomia. Un trionfo di verdure, pasta e ricotta"
91/92,Viterbo,I vini del lago con la pizza dolce
92/93,Roma,Il futuro possibile. Le ricette dei cittadini per la grande metropoli
92/93,Roma,Dal mondo della cultura dicono di Roma… Enzo Siciliano: «La politica ci ha distrutti» Rita Levi Montalcini: «Un popolo cordiale e molto saggio»
92/93,Roma,Zeichen: «Solo gli osti ci possono salvare» bellezza: «Ridatemi fiere e feste»
92/93,Roma,"Ernesto Nathan, il sindaco delle riforme"
92/93,Roma,Goethe nei giardini di Villa Pamphilj
92/93,Roma,Dialetto e nomi. Il randello di Turturro
92/93,Roma,Venti giovani talenti per l'Accademia di Francia
92/93,Roma,Goethe Institut: un'immersione nel mondo germanico
92/93,Roma,"British Council, un pezzo di Inghilterra nel cuore di Roma"
92/93,Roma,La storia si specchia nella Fontana di Trevi
92/93,Roma,Tutte le orchidee dell'Orto botanico
92/93,Roma,"I Camporese, tre generazioni di architetti"
92/93,Roma,Le favole di Coppedé per la città dei ricchi
92/93,Roma,"Theoria, l'avventura dei libri"
92/93,Roma,Cucina e divertimenti in quattro secoli di osterie
92/93,Roma,I tesori di palazzo Rospigliosi
92/93,Roma,Dall'arpicembalo al carillon nel regno delle sette note
92/93,Roma,Il museo del cinema cerca una sede
92/93,Roma,Tre grandi banche in una e il Colosseo ringrazia
92/93,Roma,La nuova Lazio di Cragnotti
92/93,Roma,Itinerari per il week-end. Alla scoperta dei Castelli tra boschi e ricordi romani
92/93,Roma,"Vini e gastronomia. Aglio, pasta e fantasia"
92/93,Roma,Viaggiatori antichi. Nel salotto dei Borghese tra dame e cicisbei
92/93,Provincia di Roma,Il futuro possibile. Qui si raccoglie l'elisir di buona vita
92/93,Provincia di Roma,"La lirica a Civitavecchia, una passione estiva"
92/93,Provincia di Roma,"""Aritornelli"" e canzonacce del cardinale dal Congresso di Vienna a Porta Pia"
92/93,Provincia di Roma,A Tolfa è festa grande anche per gli animali
92/93,Provincia di Roma,"Pomezia, il terziario apre le porte ai giovani"
92/93,Provincia di Roma,Così il lago di Nemi restituì la flotta romana
92/93,Provincia di Roma,Tutti alla gara del salterello. A Valletri è carnevale
92/93,Provincia di Roma,"Moggi, Richelieu del calcio"
92/93,Provincia di Roma,"Itinerari per il week-end. Di lago in lago, il giro dei Castelli"
92/93,Provincia di Roma,Vini e gastronomia. la cultura della porchetta
92/93,Frosinone,Il futuro possibile. Dalle campagne alla grande industria senza rinunciare alla tradizione
92/93,Frosinone,"Acquafondata, uno ""scontro"" a suon di zampogne"
92/93,Frosinone,Viaggiatori antichi. Al mercato di Alatri
92/93,Frosinone,La Passione in musica
92/93,Frosinone,Donne di Ciociaria modelle ideali
92/93,Frosinone,"Tartufi bianchi e neri, tesoro in val Comino"
92/93,Frosinone,"Fiuggi, lo scintillio della Belle Epoque"
92/93,Frosinone,Il flauto di Gazzelloni e lo stupore diventa suono
92/93,Frosinone,"Vini e gastronomia. Le origini ciociare degli ""atleti del cibo"""
92/93,Frosinone,Itinerari per il week-end. Il giro delle abbazie fra i ricordi dei romanzi
92/93,Frosinone,"Tra le mura di Ferentino, che piacevano a Orazio"
92/93,Latina,Il futuro possibile. Buoni affari a Latina
92/93,Latina,Sogni di libertà nel campo profughi
92/93,Latina,"Fra' Diavolo, un brigante al servizio di Sua Maestà"
92/93,Latina,"I Caetani, principi umanisti"
92/93,Latina,Nei canti la memoria
92/93,Latina,La tomba di Cicerone nella torre sulla via Appia
92/93,Latina,La ninfa Feronia e la promessa di Anxur
92/93,Latina,"Le isole di tufo, paradiso per i sub"
92/93,Latina,"Tra le dune di Sabaudia, a caccia di vip"
92/93,Latina,Mitica Italia degli anni Sessanta sotto gli ombrelloni del Circeo
92/93,Latina,Vini e gastronomia. Piatti con sapori del Nord sulle tavole della provincia
92/93,Latina,Nel castello di Fondi le novità del teatro italiano
92/93,Rieti,"Il futuro possibile. Rieti, la nuova ferrovia per rilanciare il turismo"
92/93,Rieti,"Cittaducale, un regalo per il figlio del re"
92/93,Rieti,"Bassa Sabina, la gente torna nei borghi antichi"
92/93,Rieti,Le nenie delle mamme e gli stornelli dei pastori
92/93,Rieti,"Battisti e Montesano due ""glorie nazionali"""
92/93,Rieti,"Antrodoco, la porta sulle gole del Velino"
92/93,Rieti,Vini e gastronomia. Vipera cieca e aglione per la pasta
92/93,Rieti,"I dolci, pochi ma buoni"
92/93,Viterbo,Il futuro possibile. Via le auto dal centro il sogno di Viterbo
92/93,Viterbo,I grandi festival culturali in collaborazione con l'Europa
92/93,Viterbo,Le facoltà a misura d'uomo
92/93,Viterbo,"Settecento, il secolo delle confraternite"
92/93,Viterbo,Così la Viterbo dei Papi scelse i laici per il Parlamento
92/93,Viterbo,Le tristi ottave dei contadini senza terra
92/93,Viterbo,Santa Maria della Quercia la chiesa dei miracoli
92/93,Viterbo,Itinerari per il week-end. Dal castello di Bagnaia al duomo di Bagnoregio
92/93,Viterbo,Vini e gastronomia. Le ricette del lago e un bichiere di Est! Est! Est!
93/94,Roma,Italia domani. Il sogno di una capitale accogliente e pulita
93/94,Roma,"L'ingegner Vaccari, pianista di notte"
93/94,Roma,La Terza Università a misura di studente
93/94,Roma,Tra le palme e i castagni torna a risplendere villa Torlonia
93/94,Roma,Gli indimenticabili Cetra: storia a quattro voci
93/94,Roma,Avanguardia sul fronte del rock
93/94,Roma,Dive e pugnali nella culla del cinema
93/94,Roma,Quei coloni romagnoli che bonificarono l'Agro
93/94,Roma,La rivoluzione del sindaco Pianciani
93/94,Roma,"Poligrafico, editore d'arte che viene dallo Stato"
93/94,Roma,Fra monete e medaglie i segreti della Zecca
93/94,Roma,La grande avventura di un prete-chirurgo
93/94,Roma,Le regioni dipinte nei Musei Vaticani
93/94,Roma,"Gli scienziati dello sport che ""restaurano"" i campioni"
93/94,Roma,Arte in tavola. La poesia della pasta e fagioli
93/94,Roma,"Qui fu sepolto Pietro, l'apostolo delle genti"
93/94,Provincia di Roma,Il rifugio di Mastroianni nella quiete di Marino
93/94,Provincia di Roma,"Albano, le favole di Trilussa"
93/94,Provincia di Roma,"Ninfa, un gioiello sul lago"
93/94,Provincia di Roma,"Veio, la città dei raffinati distrutta dalla furia di Roma"
93/94,Provincia di Roma,La villa di Licenza dono di Mecenate a Orazio
93/94,Provincia di Roma,Successi e belle favole con i ritmi del pop-rock
93/94,Provincia di Roma,"Civitavecchia, i fasti della pallanuoto"
93/94,Provincia di Roma,Arte in tavola. Nel mosaico la storia del banchetto
93/94,Provincia di Roma,"L'incanto di Roccapriora, vestita di narcisi"
93/94,Frosinone,Italia domani. Cultura e produzione Frosinone cerca armonia
93/94,Frosinone,"Cassino, alla ricerca della città romana"
93/94,Frosinone,"Mastroianni, scultore a ogni costo"
93/94,Frosinone,"Franco Vona, scalate sui pedali"
93/94,Frosinone,"Dal jazz alla blob music, mille note d'avanguardia"
93/94,Frosinone,Arte in tavola. In farmacia i mangiatori di minestra
93/94,Latina,"Italia domani. Università e turismo per la ""giovane"" Latina"
93/94,Latina,"Esperienza e coraggio, il segreto delle piccole imprese"
93/94,Latina,"Rock duro ma con ironia la musica delle ""cantine"""
93/94,Latina,Arte in tavola. Le ricette di Cibele
93/94,Latina,"Sermoneta, viaggio nel tempo con il duca Colonna"
93/94,Rieti,"Otalia domani. Rieti, è tempo di rilancio e si punta sul turismo"
93/94,Rieti,"Le canzoni di Battisti, sempre nuove emozioni"
93/94,Rieti,"Arte in tavola. Gli affreschi di Jacopo e il ""miracolo dell'acqua"""
93/94,Viterbo,Italia domani. I due volti di Viterbo fra tradizione e cultura
93/94,Viterbo,"""Antiquaria"", i maestri del restauro"
93/94,Viterbo,Acquarossa e i misteri degli etruschi
93/94,Viterbo,"Rosa, la santa fanciulla nemica dell'imperatore"
93/94,Viterbo,Le case di tufo di Calcata e i fiori nel parco del Treja
93/94,Viterbo,"Tarquinia, tutti al bivacco dei butteri"
93/94,Viterbo,I cristiani del IV secolo a Nepi
93/94,Viterbo,I trionfi delle regine del basket
93/94,Viterbo,"Liva Cavalieri, la ""donna più bella del mondo"""
93/94,Viterbo,"Arte in tavola. Gnocchi, vino dei fauni e mostri a Bomarzo"
94/95,Roma,Il nuovo che emerge. Una grande metropoli tra scienza e volontariato
94/95,Roma,1901: una fontana inaugurata a furor di popolo
94/95,Roma,"I nomi di pietra. Ettore Ferrari, scultore della nuova Italia"
94/95,Roma,"Dai cibi alla musica. Stranieri, che passione!"
94/95,Roma,"Il ""mosquito"" di Costanzo e i maritozzi della Dandini"
94/95,Roma,"Baglioni, trent'anni di successi"
94/95,Roma,La provincia verde. Il museo botanico del monte Gennaro
94/95,Roma,"Narcisi, simbolo di vanità"
94/95,Roma,Antiche ricette. Rustica trippa ma per nobili palati
94/95,Provincia di Roma,"Il nuovo che emerge. Cultura, pneumatici e gassosa"
94/95,Provincia di Roma,Il monumento da salvare. L'utopia garibaldina nel sacrario di Mentana
94/95,Provincia di Roma,La provincia verde. Sul lungolago fra i ricordi di Caligola
94/95,Provincia di Roma,"Palestrina, musica viva dopo quattro secoli"
94/95,Provincia di Roma,Le note del Banco all'ombra dei Castelli
94/95,Provincia di Roma,Antiche ricette. Le tagliatelle erotiche
95/96,Roma,"Progetti giovani. Roma, la parola d'ordine è studiare bene"
95/96,Roma,Dai Mirabilia ai sonetti del Belli l'eterna lotta fra male e bene
95/96,Roma,La sfida del sindaco per l'Urbe del Duemila
95/96,Roma,Il giubileo secondo Ruini: speranza di unità
95/96,Roma,L'antico ghetto torna a risplendere
95/96,Roma,"Elio Toaff, cinquant'anni di guida spirituale"
95/96,Roma,"1895-1995. Cinema! ""Celluloide"", e Roma torna città aperta"
95/96,Roma,La rivincita degli artisti derisi
95/96,Roma,La provincia verde. Fare jogging nella villa del cardinale
95/96,Roma,Dagli altipiani etiopi il caffè di Balzac
95/96,Roma,Giorgia e Daniele Silvestri i signori dell'hit-parade
95/96,Roma,Scene di vita quotidiana ai tempi dell'Impero
95/96,Roma,"Il ""Vittorioso"", una chicca per antiquari"
95/96,Roma,Antiche ricette. In tavola sapori d'Oriente
95/96,Provincia di Roma,Progetti giovani. Teatro e tessuti il lavoro è divertimento
95/96,Provincia di Roma,"Ardea, rifugio di Manzù lo scultore ""operaio"""
95/96,Provincia di Roma,La villa del cardinale a Frascati tra boschi e giochi d'acqua
95/96,Provincia di Roma,"Albano, la città dei latini"
95/96,Provincia di Roma,Ginnastica a Velletri sulle orme del monsignore
95/96,Provincia di Roma,Nel lago di Bracciano la piroga preistorica
95/96,Provincia di Roma,"Trevignano, al mercato del baratto"
96/97,Roma,Tempo libero. I templi della notte quartiere per quartiere
96/97,Roma,Paolo Bonolis una star del sorriso
96/97,Roma,Nasce il primo museo dei bambini
96/97,Roma,Una donna del Settecento che diventò maestra di cappella
96/97,Roma,"La provincia verde. Macchiagrande, le testuggini fra le orchidee"
96/97,Roma,Una mappa per i turisti fra le suggestioni della capitale
96/97,Roma,Dagli alberghi ai conventi: le cifre dell'ospitalità
96/97,Frosinone,Tempo libero. Dalle sagre al teatro il piacere di incontrarsi
96/97,Frosinone,Gli anni d'oro di Cassino ai tempi dell'impero
96/97,Frosinone,"L'abbazia, più forte delle guerre"
96/97,Frosinone,La provincia verde. Il lago con l'isola che galleggia
96/97,Frosinone,La Typha amica dell'acqua
96/97,Frosinone,"itinerari per il week-end. In Ciociaria, da Sora a Ferentino"
96/97,Frosinone,"Frosinone, risate d'autore"
