annata,fascicolo,provincia,citta,indicizzata
81/82,Roma,Roma,Roma,sì
81/82,Provincia di Roma,Roma,Albano Laziale,sì
81/82,Provincia di Roma,Roma,Civitavecchia,sì
81/82,Provincia di Roma,Roma,Frascati,sì
81/82,Provincia di Roma,Roma,Pomezia,sì
81/82,Provincia di Roma,Roma,Tivoli,sì
81/82,Provincia di Roma,Roma,Velletri,sì
81/82,Rieti - Orvieto - Viterbo,Rieti,Rieti,sì
81/82,Rieti - Orvieto - Viterbo,Viterbo,Viterbo,sì
81/82,Rieti - Orvieto - Viterbo,Terni,Orvieto,sì
82/83,Roma,Roma,Roma,sì
83/84,Roma,Roma,Roma,sì
83/84,Rieti - Viterbo,Rieti,Rieti,sì
83/84,Rieti - Viterbo,Viterbo,Viterbo,sì
84/85,Roma,Roma,Roma,sì
85/86,Roma,Roma,Roma,sì
86/87,Roma,Roma,Roma,sì
86/87,Provincia di Roma,Roma,Albano Laziale,sì
86/87,Provincia di Roma,Roma,Civitavecchia,sì
86/87,Provincia di Roma,Roma,Frascati,sì
86/87,Provincia di Roma,Roma,Marino,sì
86/87,Provincia di Roma,Roma,Pomezia,sì
86/87,Provincia di Roma,Roma,Tivoli,sì
86/87,Provincia di Roma,Roma,Velletri,sì
86/87,Provincia di Roma,Roma,Genzano di Roma,no
86/87,Provincia di Roma,Roma,Anzio,no
86/87,Provincia di Roma,Roma,Nettuno,no
86/87,Frosinone - Latina,Frosinone,Frosinone,sì
86/87,Frosinone - Latina,Frosinone,Cassino,sì
86/87,Frosinone - Latina,Frosinone,Fiuggi,sì
86/87,Frosinone - Latina,Latina,Latina,sì
86/87,Frosinone - Latina,Latina,Fondi,sì
86/87,Frosinone - Latina,Latina,Formia,sì
86/87,Frosinone - Latina,Latina,Gaeta,sì
86/87,Frosinone - Latina,Latina,Terracina,sì
86/87,Rieti - Viterbo,Rieti,Rieti,sì
86/87,Rieti - Viterbo,Viterbo,Viterbo,sì
87/88,Roma,Roma,Roma,sì
87/88,Provincia di Roma,Roma,Albano Laziale,sì
87/88,Provincia di Roma,Roma,Civitavecchia,sì
87/88,Provincia di Roma,Roma,Frascati,sì
87/88,Provincia di Roma,Roma,Marino,sì
87/88,Provincia di Roma,Roma,Pomezia,sì
87/88,Provincia di Roma,Roma,Tivoli,sì
87/88,Provincia di Roma,Roma,Velletri,sì
87/88,Provincia di Roma,Roma,Genzano di Roma,no
87/88,Provincia di Roma,Roma,Anzio,no
87/88,Provincia di Roma,Roma,Nettuno,no
87/88,Frosinone - Latina,Frosinone,Frosinone,sì
87/88,Frosinone - Latina,Frosinone,Cassino,sì
87/88,Frosinone - Latina,Frosinone,Fiuggi,sì
87/88,Frosinone - Latina,Latina,Latina,sì
87/88,Frosinone - Latina,Latina,Fondi,sì
87/88,Frosinone - Latina,Latina,Formia,sì
87/88,Frosinone - Latina,Latina,Gaeta,sì
87/88,Frosinone - Latina,Latina,Terracina,sì
87/88,Rieti - Viterbo,Rieti,Rieti,sì
87/88,Rieti - Viterbo,Viterbo,Viterbo,sì
88/89,Roma,Roma,Roma,sì
88/89,Provincia di Roma,Roma,Albano Laziale,sì
88/89,Provincia di Roma,Roma,Civitavecchia,sì
88/89,Provincia di Roma,Roma,Frascati,sì
88/89,Provincia di Roma,Roma,Marino,sì
88/89,Provincia di Roma,Roma,Pomezia,sì
88/89,Provincia di Roma,Roma,Tivoli,sì
88/89,Provincia di Roma,Roma,Velletri,sì
88/89,Provincia di Roma,Roma,Anzio,no
88/89,Provincia di Roma,Latina,Aprilia,no
88/89,Provincia di Roma,Roma,Genzano di Roma,no
88/89,Provincia di Roma,Viterbo,Tarquinia,no
88/89,Provincia di Roma,Roma,Palestrina,no
88/89,Provincia di Roma,Roma,Nettuno,no
88/89,Frosinone - Latina,Frosinone,Frosinone,sì
88/89,Frosinone - Latina,Frosinone,Cassino,sì
88/89,Frosinone - Latina,Frosinone,Fiuggi,sì
88/89,Frosinone - Latina,Latina,Latina,sì
88/89,Frosinone - Latina,Latina,Fondi,sì
88/89,Frosinone - Latina,Latina,Formia,sì
88/89,Frosinone - Latina,Latina,Gaeta,sì
88/89,Frosinone - Latina,Latina,Terracina,sì
88/89,Rieti - Viterbo,Rieti,Rieti,sì
88/89,Rieti - Viterbo,Viterbo,Viterbo,sì
89/90,Roma,Roma,Roma,sì
89/90,Frosinone,Frosinone,Frosinone,sì
89/90,Frosinone,Frosinone,Cassino,sì
89/90,Frosinone,Frosinone,Fiuggi,sì
89/90,Latina,Latina,Latina,sì
89/90,Latina,Latina,Fondi,sì
89/90,Latina,Latina,Formia,sì
89/90,Latina,Latina,Gaeta,sì
89/90,Latina,Latina,Terracina,sì
89/90,Rieti - Viterbo,Rieti,Rieti,sì
89/90,Rieti - Viterbo,Viterbo,Viterbo,sì
90/91,Roma,Roma,Roma,sì
90/91,Provincia di Roma,Roma,Albano Laziale,sì
