annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Roma,Roma 82,82,Copertina 82 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,232,,agosto 1981,nota dell'editore,Roma8182.jpg,True,accertata
81/82,Provincia di Roma,Provincia di Roma 82,82,Copertina 82 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,,settembre 1981,nota dell'editore,PROVROMA82.jpg,True,accertata
81/82,Frosinone - Latina,Frosinone - Latina 82,82,Copertina 82 verde,246 x 280 mm,grossa,TuttoCittà '80 con foto,32,,ottobre 1981,nota dell'editore,Ricercato1.jpg,False,accertata
81/82,Rieti - Orvieto - Viterbo,Rieti - Orvieto - Viterbo 82,82,Copertina 82 verde,246 x 280 mm,grossa,TuttoCittà '80 con foto,32,,ottobre 1981,nota dell'editore,RIVT82.jpg,True,accertata
82/83,Roma,Roma 83,83,Copertina 83 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,240,,agosto 1982,,Roma8283.jpg,True,accertata
82/83,Provincia di Roma,Provincia di Roma 83,83,Copertina 83 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,,Ricercato1.jpg,False,accertata
82/83,Frosinone - Latina,Frosinone - Latina 83,83,Copertina 83 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,,Ricercato1.jpg,False,accertata
82/83,Rieti - Orvieto - Viterbo,Rieti - Orvieto - Viterbo 83,83,Copertina 83 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,,Ricercato1.jpg,False,accertata
83/84,Roma,Roma 84,84,Copertina 84 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,240,,agosto 1983,,Roma8384.jpg,True,accertata
83/84,Provincia di Roma,Provincia di Roma 84,84,Copertina 84 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,,Ricercato1.jpg,False,accertata
83/84,Frosinone - Latina,Frosinone - Latina 84,84,Copertina 84 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,,ottobre 1983,,Ricercato1.jpg,False,accertata
83/84,Rieti - Viterbo,Rieti - Viterbo 84,84,Copertina 84 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,,ottobre 1983,,RIVT84.jpg,True,accertata
84/85,Roma,Roma 85,85,Copertina 85 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,240,,agosto 1984,Inserto Costituzione,Roma8485.jpg,True,accertata
84/85,Provincia di Roma,Provincia di Roma 85,85,Copertina 85 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Inserto Costituzione,Ricercato1.jpg,False,accertata
