annata,fascicolo,provincia,citta,indicizzata
81/82,Imperia - Savona,Imperia,Imperia,sì
81/82,Imperia - Savona,Imperia,Sanremo,sì
81/82,Imperia - Savona,Imperia,Ventimiglia,sì
81/82,Imperia - Savona,Savona,Savona,sì
81/82,Imperia - Savona,Savona,Alassio,sì
81/82,Imperia - Savona,Savona,Albenga,sì
81/82,Imperia - Savona,Savona,Finale Ligure,sì
81/82,Imperia - Savona,Savona,Loano,sì
82/83,Genova,Genova,Genova,sì
82/83,Genova,Genova,Chiavari,sì
82/83,Genova,Genova,Rapallo,sì
82/83,Genova,Genova,Recco,sì
82/83,Genova,Genova,Santa Margherita Ligure,sì
82/83,Genova,Genova,Sestri Levante,no
83/84,Genova,Genova,Genova,sì
83/84,Genova,Genova,Chiavari,sì
83/84,Genova,Genova,Rapallo,sì
83/84,Genova,Genova,Recco,sì
83/84,Genova,Genova,Santa Margherita Ligure,sì
83/84,Imperia - Savona,Imperia,Imperia,sì
83/84,Imperia - Savona,Imperia,Sanremo,sì
83/84,Imperia - Savona,Imperia,Ventimiglia,sì
83/84,Imperia - Savona,Savona,Savona,sì
83/84,Imperia - Savona,Savona,Alassio,sì
83/84,Imperia - Savona,Savona,Albenga,sì
83/84,Imperia - Savona,Savona,Finale Ligure,sì
83/84,Imperia - Savona,Savona,Loano,sì
84/85,Genova,Genova,Genova,sì
84/85,Genova,Genova,Chiavari,sì
84/85,Genova,Genova,Rapallo,sì
84/85,Genova,Genova,Recco,sì
84/85,Genova,Genova,Santa Margherita Ligure,sì
84/85,Imperia,Imperia,Imperia,sì
84/85,Imperia,Imperia,Sanremo,sì
84/85,Imperia,Imperia,Ventimiglia,sì
84/85,Imperia,Imperia,Bordighera,no
84/85,Savona,Savona,Savona,sì
84/85,Savona,Savona,Alassio,sì
84/85,Savona,Savona,Albenga,sì
84/85,Savona,Savona,Finale Ligure,sì
84/85,Savona,Savona,Loano,sì
84/85,Savona,Savona,Varazze,no
85/86,Genova,Genova,Genova,sì
85/86,Genova,Genova,Chiavari,sì
85/86,Genova,Genova,Rapallo,sì
85/86,Genova,Genova,Recco,sì
85/86,Genova,Genova,Santa Margherita Ligure,sì
85/86,Genova,Genova,Camogli,no
85/86,Imperia,Imperia,Imperia,sì
85/86,Imperia,Imperia,Sanremo,sì
85/86,Imperia,Imperia,Ventimiglia,sì
85/86,Imperia,Imperia,Bordighera,no
85/86,Savona,Savona,Savona,sì
85/86,Savona,Savona,Alassio,sì
85/86,Savona,Savona,Albenga,sì
85/86,Savona,Savona,Finale Ligure,sì
85/86,Savona,Savona,Loano,sì
85/86,Savona,Savona,Varazze,no
86/87,Genova,Genova,Genova,sì
86/87,Genova,Genova,Chiavari,sì
86/87,Genova,Genova,Rapallo,sì
86/87,Genova,Genova,Recco,sì
86/87,Genova,Genova,Santa Margherita Ligure,sì
86/87,Genova,Genova,Busalla,no
86/87,Imperia,Imperia,Imperia,sì
86/87,Imperia,Imperia,Sanremo,sì
86/87,Imperia,Imperia,Ventimiglia,sì
86/87,Imperia,Imperia,Bordighera,no
86/87,La Spezia,La Spezia,La Spezia,sì
