annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Genova,Genova 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,,nota dell'editore,Ricercato1.jpg,False,accertata
81/82,La Spezia,La Spezia 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,,nota dell'editore,Ricercato1.jpg,False,accertata
81/82,Imperia - Savona,Imperia - Savona 81,81,Copertina 81 verde,246 x 280 mm,grossa,TuttoCittà '80 con foto,40,,giugno 1981,nota dell'editore,IMSV81.jpg,True,accertata
82/83,Genova,Genova 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,112,,aprile 1982,,GE82.jpg,True,accertata
82/83,La Spezia,La Spezia 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,,Ricercato1.jpg,False,accertata
82/83,Imperia - Savona,Imperia - Savona 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,,Ricercato1.jpg,False,accertata
83/84,Genova,Genova 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,120,,marzo 1983,,GE83.jpg,True,accertata
83/84,La Spezia,La Spezia 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,,,,,,Ricercato1.jpg,False,accertata
83/84,Imperia - Savona,Imperia - Savona 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,maggio 1983,,IMSV83.jpg,True,accertata
84/85,Genova,Genova 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,120,,marzo 1984,Inserto Costituzione,GE84.jpg,True,accertata
84/85,La Spezia,La Spezia 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Inserto Costituzione,Ricercato1.jpg,False,accertata
84/85,Imperia,Imperia 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,maggio 1984,Inserto Costituzione,IM84.jpg,True,accertata
84/85,Savona,Savona 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,25,maggio 1984,Inserto Costituzione,SV84.jpg,True,accertata
85/86,Genova,Genova 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,120,,marzo 1985,,GE85.jpg,True,accertata
85/86,La Spezia,La Spezia 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,,Ricercato1.jpg,False,accertata
85/86,Imperia,Imperia 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,maggio 1985,,IM85.jpg,True,accertata
85/86,Savona,Savona 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,24,25,maggio 1985,,SV85.jpg,True,accertata
86/87,Genova,Genova 86,86,Copertina 86 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,112,,marzo 1986,,GE86.jpg,True,accertata
86/87,La Spezia,La Spezia 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,maggio 1986,,SP86.jpg,True,accertata
86/87,Imperia,Imperia 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,maggio 1986,,IM86.jpg,True,accertata
86/87,Savona,Savona 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,25,maggio 1986,,SV86.jpg,True,accertata
87/88,Genova,Genova 87,87,Copertina 87 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,,,,,Ricercato1.jpg,False,accertata
87/88,La Spezia,La Spezia 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,,Ricercato1.jpg,False,accertata
87/88,Imperia,Imperia 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,,Ricercato1.jpg,False,accertata
87/88,Savona,Savona 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,25,maggio 1987,,SV87.jpg,True,accertata
88/89,Genova,Genova 88,88,Copertina 88 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,112,,marzo 1988,,GE88.jpg,True,accertata
88/89,La Spezia,La Spezia 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,maggio 1988,,SP88.jpg,True,accertata
88/89,Imperia,Imperia 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,maggio 1988,,IM88.jpg,True,accertata
88/89,Savona,Savona 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,24,25,maggio 1988,,SV88.jpg,True,accertata
89/90,Genova,Genova 89,89,Copertina 89 edifici,246 x 280 mm,grossa,TuttoCittà '80 edifici,112,,marzo 1989,,GE89.jpg,True,accertata
89/90,La Spezia,La Spezia 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,maggio 1989,,SP89.jpg,True,accertata
89/90,Imperia,Imperia 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,,maggio 1989,,IM89.jpg,True,accertata
89/90,Savona,Savona 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,24,25,maggio 1989,,SV89.jpg,True,accertata
90/91,Genova,Genova 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,96,,aprile 1990,nota dell'editore,GE9091.jpg,True,accertata
90/91,La Spezia,La Spezia 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,maggio 1990,nota dell'editore,SP9091.jpg,True,accertata
90/91,Imperia,Imperia 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,16,,maggio 1990,nota dell'editore,IM9091.jpg,True,accertata
90/91,Savona,Savona 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,maggio 1990,nota dell'editore,SV9091.jpg,True,accertata
91/92,Genova,Genova 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,96,,marzo 1991,,GE91.jpg,True,accertata
91/92,La Spezia,La Spezia 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,maggio 1991,,SP91.jpg,True,accertata
91/92,Imperia,Imperia 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,,maggio 1991,,IM91.jpg,True,accertata
91/92,Savona,Savona 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,,maggio 1991,,SV91.jpg,True,accertata
92/93,Genova,Genova 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,104,,aprile 1992,,GE92.jpg,True,accertata
92/93,La Spezia,La Spezia 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,,giugno 1992,,SP92.jpg,True,accertata
92/93,Imperia,Imperia 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,,giugno 1992,,IM92.jpg,True,accertata
92/93,Savona,Savona 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,,giugno 1992,,SV92.jpg,True,accertata
93/94,Genova,Genova 93,93,Copertina 93 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,96,,aprile 1993,,GE93.jpg,True,accertata
93/94,La Spezia,La Spezia 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,giugno 1993,,SP93.jpg,True,accertata
93/94,Imperia,Imperia 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,giugno 1993,,IM93.jpg,True,accertata
93/94,Savona,Savona 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,giugno 1993,,SV93.jpg,True,accertata
94/95,Genova,Genova 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,94,,aprile 1994,,GE94.jpg,True,accertata
94/95,La Spezia,La Spezia 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
94/95,Imperia,Imperia 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
94/95,Savona,Savona 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,maggio 1994,,SV94.jpg,True,accertata
95/96,Genova,Genova 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,94,,aprile 1995,,GE95.jpg,True,accertata
95/96,La Spezia,La Spezia 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,maggio 1995,,SP95.jpg,True,accertata
95/96,Imperia,Imperia 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,,maggio 1995,,IM95.jpg,True,accertata
95/96,Savona,Savona 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,,maggio 1995,,SV95.jpg,True,accertata
96/97,Genova,Genova 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,94,,aprile 1996,,GE96.jpg,True,accertata
96/97,La Spezia,La Spezia 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,,,Ricercato1.jpg,False,accertata
