annata,fascicolo,provincia,citta,indicizzata
81/82,Ancona - Pesaro - Urbino,Ancona,Ancona,sì
81/82,Ancona - Pesaro - Urbino,Pesaro,Pesaro,sì
81/82,Ancona - Pesaro - Urbino,Pesaro,URBINO,sì
81/82,Ascoli Piceno - Macerata,Ascoli Piceno,Ascoli Piceno,sì
81/82,Ascoli Piceno - Macerata,Ascoli Piceno,San Benedetto del Tronto,sì
81/82,Ascoli Piceno - Macerata,Macerata,Macerata,sì
82/83,Ancona - Pesaro - Urbino,Ancona,Ancona,sì
82/83,Ancona - Pesaro - Urbino,Ancona,Fabriano,sì
82/83,Ancona - Pesaro - Urbino,Ancona,Jesi,sì
82/83,Ancona - Pesaro - Urbino,Pesaro,Pesaro,sì
82/83,Ancona - Pesaro - Urbino,Pesaro,URBINO,sì
82/83,Ancona - Pesaro - Urbino,Pesaro,Fano,sì
82/83,Ascoli Piceno - Macerata,Ascoli Piceno,Ascoli Piceno,sì
82/83,Ascoli Piceno - Macerata,Ascoli Piceno,San Benedetto del Tronto,sì
82/83,Ascoli Piceno - Macerata,Macerata,Macerata,sì
83/84,Ancona - Pesaro - Urbino,Ancona,Ancona,sì
83/84,Ancona - Pesaro - Urbino,Ancona,Fabriano,sì
83/84,Ancona - Pesaro - Urbino,Ancona,Jesi,sì
83/84,Ancona - Pesaro - Urbino,Pesaro,Pesaro,sì
83/84,Ancona - Pesaro - Urbino,Pesaro,URBINO,sì
83/84,Ancona - Pesaro - Urbino,Pesaro,Fano,sì
84/85,Ascoli Piceno - Macerata,Ascoli Piceno,Ascoli Piceno,sì
84/85,Ascoli Piceno - Macerata,Ascoli Piceno,San Benedetto del Tronto,sì
84/85,Ascoli Piceno - Macerata,Macerata,Macerata,sì
85/86,Pesaro - Urbino,Pesaro,Pesaro,sì
85/86,Pesaro - Urbino,Pesaro,URBINO,sì
85/86,Pesaro - Urbino,Pesaro,Fano,sì
86/87,Ancona,Ancona,Ancona,sì
86/87,Ancona,Ancona,Fabriano,sì
86/87,Ancona,Ancona,Jesi,sì
86/87,Ancona,Ancona,Senigallia,sì
86/87,Ascoli Piceno - Macerata,Ascoli Piceno,Ascoli Piceno,sì
86/87,Ascoli Piceno - Macerata,Ascoli Piceno,San Benedetto del Tronto,sì
86/87,Ascoli Piceno - Macerata,Macerata,Macerata,sì
86/87,Pesaro - Urbino,Pesaro,Pesaro,sì
86/87,Pesaro - Urbino,Pesaro,URBINO,sì
86/87,Pesaro - Urbino,Pesaro,Fano,sì
87/88,Ancona,Ancona,Ancona,sì
87/88,Ancona,Ancona,Fabriano,sì
87/88,Ancona,Ancona,Jesi,sì
87/88,Ancona,Ancona,Senigallia,sì
87/88,Ascoli Piceno - Macerata,Ascoli Piceno,Ascoli Piceno,sì
87/88,Ascoli Piceno - Macerata,Ascoli Piceno,San Benedetto del Tronto,sì
87/88,Ascoli Piceno - Macerata,Macerata,Macerata,sì
88/89,Ascoli Piceno - Macerata,Ascoli Piceno,Ascoli Piceno,sì
88/89,Ascoli Piceno - Macerata,Ascoli Piceno,San Benedetto del Tronto,sì
88/89,Ascoli Piceno - Macerata,Macerata,Macerata,sì
88/89,Ascoli Piceno - Macerata,Macerata,Civitanova Marche,no
88/89,Pesaro - Urbino,Pesaro,Pesaro,sì
88/89,Pesaro - Urbino,Pesaro,URBINO,sì
88/89,Pesaro - Urbino,Pesaro,Fano,sì
89/90,Ancona,Ancona,Ancona,sì
89/90,Ancona,Ancona,Fabriano,sì
89/90,Ancona,Ancona,Jesi,sì
89/90,Ancona,Ancona,Osimo,sì
89/90,Ancona,Ancona,Senigallia,sì
89/90,Ascoli Piceno,Ascoli Piceno,Ascoli Piceno,sì
89/90,Ascoli Piceno,Ascoli Piceno,Fermo,sì
