annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Ancona - Pesaro - Urbino,Ancona - Pesaro - Urbino 81,81,Copertina 81 verde,246 x 280 mm,grossa,Stradario SEAT,40,maggio 1981,Nota dell'editore,ANPS81.jpg,True,accertata
81/82,Ascoli Piceno - Macerata,Ascoli Piceno - Macerata 81,81,Copertina 81 verde,246 x 280 mm,grossa,TuttoCittà '80 con foto,32,maggio 1981,Nota dell'editore,APMC81.jpg,True,accertata
82/83,Ancona - Pesaro - Urbino,Ancona - Pesaro - Urbino 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,48,giugno 1982,,ANPS82.jpg,True,accertata
82/83,Ascoli Piceno - Macerata,Ascoli Piceno - Macerata 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,32,giugno 1982,,APMC82.jpg,True,accertata
83/84,Ancona - Pesaro - Urbino,Ancona - Pesaro - Urbino 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,48,maggio 1983,,ANPS83.jpg,True,accertata
83/84,Ascoli Piceno - Macerata,Ascoli Piceno - Macerata 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
84/85,Ancona,Ancona 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,Inserto Costituzione,Ricercato1.jpg,False,accertata
84/85,Pesaro - Urbino,Pesaro - Urbino 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,Inserto Costituzione,Ricercato1.jpg,False,accertata
84/85,Ascoli Piceno - Macerata,Ascoli Piceno - Macerata 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,32,maggio 1984,Inserto Costituzione,APMC84.jpg,True,accertata
85/86,Ancona,Ancona 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False,accertata
