annata,fascicolo,provincia,citta,indicizzata
84/85,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
84/85,Campobasso - Isernia,Isernia,ISERNIA,sì
84/85,Campobasso - Isernia,Campobasso,Larino,no
84/85,Campobasso - Isernia,Campobasso,Termoli,no
84/85,Campobasso - Isernia,Isernia,Venafro,no
86/87,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
86/87,Campobasso - Isernia,Isernia,ISERNIA,sì
86/87,Campobasso - Isernia,Campobasso,Larino,no
86/87,Campobasso - Isernia,Campobasso,Termoli,no
86/87,Campobasso - Isernia,Campobasso,Bojano,no
89/90,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
89/90,Campobasso - Isernia,Isernia,ISERNIA,sì
89/90,Campobasso - Isernia,Campobasso,Campomarino,no
89/90,Campobasso - Isernia,Campobasso,Larino,no
89/90,Campobasso - Isernia,Campobasso,Termoli,no
89/90,Campobasso - Isernia,Campobasso,Bojano,no
89/90,Campobasso - Isernia,Isernia,Agnone,no
90/91,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
90/91,Campobasso - Isernia,Campobasso,Bojano,sì
90/91,Campobasso - Isernia,Campobasso,Campomarino Lido,sì
90/91,Campobasso - Isernia,Campobasso,Larino,sì
90/91,Campobasso - Isernia,Campobasso,Termoli,sì
90/91,Campobasso - Isernia,Isernia,ISERNIA,sì
91/92,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
91/92,Campobasso - Isernia,Campobasso,Bojano,sì
91/92,Campobasso - Isernia,Campobasso,Campomarino,sì
91/92,Campobasso - Isernia,Campobasso,Larino,sì
91/92,Campobasso - Isernia,Campobasso,Termoli,sì
91/92,Campobasso - Isernia,Isernia,ISERNIA,sì
92/93,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
92/93,Campobasso - Isernia,Campobasso,Bojano,sì
92/93,Campobasso - Isernia,Campobasso,Campomarino,sì
92/93,Campobasso - Isernia,Campobasso,Larino,sì
92/93,Campobasso - Isernia,Campobasso,Termoli,sì
92/93,Campobasso - Isernia,Isernia,ISERNIA,sì
93/94,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
93/94,Campobasso - Isernia,Campobasso,Bojano,sì
93/94,Campobasso - Isernia,Campobasso,Campomarino,sì
93/94,Campobasso - Isernia,Campobasso,Larino,sì
93/94,Campobasso - Isernia,Campobasso,Termoli,sì
93/94,Campobasso - Isernia,Isernia,ISERNIA,sì
94/95,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
94/95,Campobasso - Isernia,Campobasso,Bojano,sì
94/95,Campobasso - Isernia,Campobasso,Campomarino,sì
94/95,Campobasso - Isernia,Campobasso,Larino,sì
94/95,Campobasso - Isernia,Campobasso,Montenero di Bisaccia,sì
94/95,Campobasso - Isernia,Campobasso,Termoli,sì
94/95,Campobasso - Isernia,Isernia,ISERNIA,sì
95/96,Campobasso - Isernia,Campobasso,CAMPOBASSO,sì
95/96,Campobasso - Isernia,Campobasso,Bojano,sì
95/96,Campobasso - Isernia,Campobasso,Campomarino,sì
95/96,Campobasso - Isernia,Campobasso,Larino,sì
95/96,Campobasso - Isernia,Campobasso,Termoli,sì
95/96,Campobasso - Isernia,Isernia,ISERNIA,sì
