annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta
81/82,Campobasso - Isernia,Campobasso - Isernia 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,Nota dell'editore,Ricercato1.jpg,False
82/83,Campobasso - Isernia,Campobasso - Isernia 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False
83/84,Campobasso - Isernia,Campobasso - Isernia 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False
84/85,Campobasso - Isernia,Campobasso - Isernia 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,giugno 1984,Inserto Costituzione,CBIS84.jpg,True
85/86,Campobasso - Isernia,Campobasso - Isernia 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False
86/87,Campobasso - Isernia,Campobasso - Isernia 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,maggio 1986,,CBIS86.jpg,True
87/88,Campobasso - Isernia,Campobasso - Isernia 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False
88/89,Campobasso - Isernia,Campobasso - Isernia 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Ricercato1.jpg,False
89/90,Campobasso - Isernia,Campobasso - Isernia 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,giugno 1989,,CBIS89.jpg,True
90/91,Campobasso - Isernia,Campobasso - Isernia 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,giugno 1990,nota dell'editore,CBIS9091.jpg,True
91/92,Campobasso - Isernia,Campobasso - Isernia 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,24,giugno 1991,,CBIS91.jpg,True
92/93,Campobasso - Isernia,Campobasso - Isernia 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,giugno 1992,,CBIS92.jpg,True
93/94,Campobasso - Isernia,Campobasso - Isernia 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,giugno 1993,,CBIS93.jpg,True
94/95,Campobasso - Isernia,Campobasso - Isernia 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,30,giugno 1994,,CBIS94.jpg,True
95/96,Campobasso - Isernia,Campobasso - Isernia 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,giugno 1995,,CBIS95.jpg,True
96/97,Campobasso - Isernia,Campobasso - Isernia 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False
97/98,Campobasso - Isernia,Campobasso - Isernia 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,,,Cambio formato,Ricercato1.jpg,False
