annata,provincia,titolo
89/90,Bari,Anni 90. I robot all'avanguardia
89/90,Bari,Identikit di una provincia
89/90,Bari,Una Fiera per l'Europa
89/90,Bari,"Tecnopolis, dove si alleva il futuro"
89/90,Bari,"I puntigli di Laterza e i ""visti"" di Croce"
89/90,Bari,I nomi delle vie raccontano la storia
89/90,Bari,La Belle Epoque degli Antonelli
89/90,Bari,La chiesa costruita con i rubli
89/90,Bari,"Fra torri e castelli, un viaggio nel tempo"
89/90,Bari,"De Nittis, un barlettano a Parigi"
89/90,Bari,"Putignano, città delle spose"
89/90,Bari,Il dialetto a tavola
89/90,Brindisi,Anni 90. Energia per il futuro
89/90,Brindisi,Identikit di una provincia
89/90,Brindisi,Un porto verso l'Oriente
89/90,Brindisi,La Valigia delle Indie e Phileas Fogg
89/90,Brindisi,Nomi e cognomi. Il signor Sconosciuto abita solo qui
89/90,Brindisi,Date storiche
89/90,Brindisi,Sfila il Cavallo parato
89/90,Brindisi,I nemici dei Templari
89/90,Brindisi,Le bianche case di Ostuni raccontano
89/90,Brindisi,La ricetta della nonna
89/90,Brindisi,Il monumento al Marinaio
89/90,Foggia,Anni 90. La terza università della Puglia
89/90,Foggia,Identikit di una provincia
89/90,Foggia,Nomi e cognomi. Amleto e Ofelia abitano qui
89/90,Foggia,Date storiche
89/90,Foggia,Il barocco in Capitanata
89/90,Foggia,Fra i tesori di Zingarelli
89/90,Foggia,Anno 1900. La visita del ministro
89/90,Foggia,L'industria del Gargano
89/90,Foggia,Con la zampogna a Monte Sant'Angelo
89/90,Foggia,"Margherita di Savoia, il paesaggio del sale"
89/90,Foggia,Le fosse del grano di Cerignola
89/90,Foggia,La ricetta della nonna
89/90,Lecce,Anni 90. Protagonista l'università
89/90,Lecce,Identikit di una provincia
89/90,Lecce,Nomi e cognomi. Il mistero di Otranto
89/90,Lecce,Date storiche
89/90,Lecce,Dietro l'oro del barocco
89/90,Lecce,Il bel canto di Tito Schipa
89/90,Lecce,Anno 1900. Lecce degli spiriti
89/90,Lecce,Incolla l'arte. La fortuna dei cartapestai
89/90,Lecce,Leverano. L'orgoglio dei gladioli
89/90,Lecce,Le botti del Negro amaro
89/90,Lecce,La ricetta della nonna
89/90,Taranto,Anni 90. Il rilancio sul mare
89/90,Taranto,Le tre anime di una città
89/90,Taranto,Un secolo sul ponte girevole
89/90,Taranto,Le ariette di Paisiello e la disputa nuziale
89/90,Taranto,Lo sceicco di Castellaneta
89/90,Taranto,"Grottaglie. L'arte del ""cucco"""
89/90,Taranto,La ricetta della nonna
90/91,Bari,Verso il '92. Un'economia sana per la città di domani
90/91,Bari,Tornano gli emigrati
90/91,Bari,Attendendo il Difensore civico
90/91,Bari,Come eravamo. Il despota Ferdinando
90/91,Bari,Nomi e cognomi. Amleto fra Vito e Michael
90/91,Bari,San Nicola.Il pellegrino dietro il paravento
90/91,Bari,"Via Sparano, salotto della città"
90/91,Bari,Tommaso Fiore e il popolo di formiche
90/91,Bari,"La ""Gazzetta"" centenaria"
90/91,Bari,"Trani, la cattedrale sul mare"
90/91,Bari,La freccia Mennea
90/91,Bari,Vini e gastronomia. Sapori di terra e di mare
90/91,Bari,La ricetta della nonna
90/91,Brindisi,Verso il '92. Agricoltura europea
90/91,Brindisi,Il porto… trainante
90/91,Brindisi,Come eravamo. Capitale per sei mesi
90/91,Brindisi,Antiche chiese rurali
90/91,Brindisi,"I ""tre cuori"" della cultura salentina"
90/91,Brindisi,"Vini e gastronomia. Mare e Grecia, i padrini"
90/91,Lecce,Verso il '92. Un centro di ricerca nel futuro della città
90/91,Lecce,Qualità della vita e diritto alla storia
90/91,Lecce,"La stampa locale. ""Quotidiano"" d'assalto per l'informazione leccese"
90/91,Lecce,Santi naïf sulla Serra di Sant'Eleuterio
90/91,Lecce,Come eravamo. La balbuzie di Libertini
90/91,Lecce,Una strage sotto la spada dell'Islam
90/91,Lecce,Giulietta e Romeo in terra di Puglia
90/91,Lecce,"Accademie, che pasione!"
90/91,Lecce,Le masserie di Nardò contro pirati e invasori
90/91,Lecce,Religiosità marinara a Gallipoli
90/91,Lecce,Vini e gastronomia. Il cappello del gendarme
90/91,Lecce,Fette di puccia per il digiuno
90/91,Lecce,La danza di Franco
90/91,Lecce,Coste leccesi: novità per il turismo intelligente
90/91,Lecce,Squinzano. Il Museo del Salento
90/91,Lecce,Dall'agnello ai dolci la tradizione della cucina pasquale
90/91,Taranto,Verso il '92. Il futuro è il terziario
90/91,Taranto,Diminuiscono i disoccupati
90/91,Taranto,Come eravamo. Le corazzate di Riboty
90/91,Taranto,Nomi e cognomi. San Cataldo patrono coraggioso
90/91,Taranto,"Taranto, ricca ed elegante figlia di Sparta"
90/91,Taranto,La stampa locale. Nella città dei tre quotidiani
90/91,Taranto,Martina Franca. L'albo dei morelli
90/91,Taranto,L'epopea de quarto centro siderurgico
90/91,Taranto,Un canonico appassionato di storia patria
90/91,Taranto,"Incunaboli, Cinquecentine e manoscritti a Manduria"
90/91,Taranto,Vini e gastronomia. I grandi piatti del mar Piccolo
90/91,Taranto,Quelle paricelle bionde e gentili
90/91,Taranto,"Taranto calcio, profumo d'avventura"
91/92,Bari,Per vivere meglio. Voglia di rinnovamento nella città-regione
91/92,Bari,"Nella ""città prussiana"" la passione per i libri"
91/92,Bari,San Nicola va per mare
91/92,Bari,Da via Sparano all'antica città marinara
91/92,Bari,Salvemini e la questione meridionale
91/92,Bari,Branzini e gamberetti la ricchezza di Molfetta
91/92,Bari,"Monopoli, gli affreschi sulla roccia"
91/92,Bari,Altamura e il genio musicale di Mercadante
91/92,Bari,"Il ""grand-tour"" dell'abate Saint-Non tra i pugliesi curiosi e divertiti"
91/92,Bari,Galletti battono aquilotti nel referendum tra tifosi
91/92,Bari,"Vini e gastronomia. Il fasciolo delle orecchiette ""strascinate"" sulla tavola"
91/92,Brindisi,Per vivere meglio. La chimica rilancia e si punta sul turismo
91/92,Brindisi,Due voci per la città
91/92,Brindisi,Mimmo continua a volare nel blu
91/92,Brindisi,Un viaggio faticoso di Orazio e Virgilio
91/92,Brindisi,La grotta dei bizantini
91/92,Brindisi,1900: la paura della peste
91/92,Brindisi,Itinerari per il week-end. Nelle Murge da Ostuni a Fasano
91/92,Brindisi,In tavola sapori d'Oriente
91/92,Foggia,"Per vivere meglio. Foggia, un futuro per i giovani"
91/92,Foggia,Due quotidiani a confronto
91/92,Foggia,Quelli del bar Càvour. Le radici di Arbore
91/92,Foggia,Un monumento alla musica
91/92,Foggia,"Strusci, ninnenanne, laudi: canta la Capitanata"
91/92,Foggia,"San Leonardo, la meraviglia del solstizio"
91/92,Foggia,"Quando Lucera era ""Saracenorum"""
91/92,Foggia,Nal Museo di Monte Sant'Angelo le immagini della cultura popolare
91/92,Foggia,"Manfredonia, l'impegno per lo sviluppo"
91/92,Foggia,I guerrieri valdesi nel borgo di Faìtë
91/92,Foggia,"Foggia e il ""suo"" Zeman"
91/92,Foggia,Viaggiatori antichi. In carrozza nella terra fiorita del principe Manfredi
91/92,Foggia,"Itinerari per il week-end. Alla scoperta del Gargano tra oliveti, grotte e baie"
91/92,Foggia,Vini e gastronomia. Il trionfo delle verdure
91/92,Foggia,"Una cucina ""peristorica"
91/92,Lecce,Per vivere meglio. Lecce investe sulla sua cultura
91/92,Lecce,Ora la provincia vuole l'industria
91/92,Lecce,"Pisanelli, un ministro da Trecase"
91/92,Lecce,Quando Gallipoli divenne un'isola
91/92,Lecce,"Dialetti e nomi. Calimera, un buon augurio"
91/92,Lecce,L'arte fantastica con la pietra di Lecce
91/92,Lecce,I mosaici bizantini di Casaranello
91/92,Lecce,Gioacchino Torna il grande pittore intimista
91/92,Lecce,Dolmen e menhir a Maglie
91/92,Lecce,Viaggiatori antichi. Una scrittrice inglese sulle tracce di Manfredi
91/92,Lecce,"Vini e gastronomia. Una pasta ""archeologica"""
91/92,Taranto,Per vivere meglio. Giovani e anziani per il futuro della città
91/92,Taranto,"Taranto, la Gibiterra di Napoleone"
91/92,Taranto,Tarantella fra due mari
91/92,Taranto,"Pirro e la carica dei ""buoi di Lucania"""
91/92,Taranto,Una città di grotte nelle gravine di Massafra
91/92,Taranto,A Grottaglie nel quartiere delle fornaci
91/92,Taranto,Viaggiatori antichi. Una scrittrice fra i pescatori
91/92,Taranto,"Vini e gastronomia. Ostriche e cozze con l'aglio, le due signore del mare"
92/93,Bari,Italia domani. Bari leader nel Meridione
92/93,Bari,La Caravella riparte verso nuovi mondi
92/93,Bari,Anno 1900: il principe inaugura le Mostre
92/93,Bari,Dialetto e nomi. Il misterioso Cuzzocrea e la coppia Zito e Zita
92/93,Bari,Bisceglie orfana della duchessa
92/93,Bari,Un pittore devoto per la sindone di Bitonto
92/93,Bari,Stefano da Putignano scultore del fantastico
92/93,Bari,Il carnevale più lungo d'Italia
92/93,Bari,"Arte in tavola. Le fave, segreto di Ercole"
92/93,Bari,"Bari, voglia di teatro dalla prosa ai concerti"
92/93,Brindisi,Italia domani. Turismo e agricoltura di nuovo protagonisti
92/93,Brindisi,Viaggiatori antichi. Un francese davanti al porto insabbiato nella Brindisi di metà Settecento
92/93,Brindisi,La fontana del principe Tancredi
92/93,Brindisi,Gli antichi romani a Villa Castelli
92/93,Brindisi,Dialetto e nomi. Guadalupi e Sances arrivano dalla Spagna
92/93,Brindisi,Gli archi di Ostuni e le dune di Torre Guaceto
92/93,Brindisi,Da Mesagne a Francavilla tra castelli e santuari
92/93,Brindisi,I piatti brindisini anche per l'Ultima Cena
92/93,Brindisi,Alle terme di Torre Canne
92/93,Foggia,Italia domani. Foggia punta sulla sviluppo che rispetta il territorio
92/93,Foggia,Con gli impianti della Fiat riparte l'occupazione
92/93,Foggia,"Manfredonia, sfide a passo di danza"
92/93,Foggia,Così parlò l'arcangelo Michele
92/93,Foggia,"Nel parco del Gargano un tesoro sotto i ""colossi"""
92/93,Taranto,Italia domani. Una nuova coscienza civile per la città dei due mari
92/93,Taranto,Taranto e gli anziani le prime risposte
92/93,Taranto,"Stella Maris, patrona dei pescatori"
92/93,Taranto,Nei giardini incantati dei mitili e delle ostriche
92/93,Taranto,Il mare in laboratorio
92/93,Taranto,"Le date della città, da Sparta al regno d'Italia"
92/93,Taranto,Un baluardo sul porto contro la minaccia turca
92/93,Taranto,Dialetto e nomi. Il podere del ragazzo Carosino
92/93,Taranto,"Al suono della troccola incedono ""le perdùne"""
92/93,Taranto,Nasce a Manduria il parco archeologico
92/93,Taranto,"Martina Franca, l'arte dei ferri battuti"
92/93,Taranto,Il fasto barocco del palazzo Ducale
92/93,Taranto,Vini e gastronomia. Zuppa di pesci e molluschi con un calice di Martina
93/94,Bari,Il nuovo che emerge. Il mondo della solidarietà apre le porte all'Europa
93/94,Bari,Nasce a Putignano la scuola per economisti
93/94,Bari,"Il monumento da salvare. San Nicola, quartiere-scrigno può tornare a risplendere"
93/94,Bari,"Dal romanico al neoclassico, gli stili di Bari"
93/94,Bari,Le donne di Piccinni maestro dell'opera comica
93/94,Bari,"I nomi di pietra. L'""apostolato"" di Bovio a fianco degli oppressi"
93/94,Bari,Appunti di storia
93/94,Bari,"Miti, leggende. L'oro di san Nicola e il pianto del colosso"
93/94,Bari,Dal rock al blues la musica emergente
93/94,Bari,"Barletta, la pinacoteca in convento"
93/94,Bari,Per la cattedrale di Canosa il restauro non può fermarsi
93/94,Bari,Andria ricorda Federico il primo re moderno
93/94,Bari,"Il miracolo di Attolico, portiere per caso"
93/94,Bari,La provincia verde. Fiorisce l'asfodelo dell'Orto del re
93/94,Bari,"Le virtù della ""palma a ventaglio"""
93/94,Bari,"Antiche ricette. Il pane, croccante piacere da riscoprire"
93/94,Brindisi,"Il nuovo che emerge. Brindisi, le botteghe delle idee"
93/94,Brindisi,"Il monumento da salvare. Sotto il Portico, il mistero dei Templari"
93/94,Brindisi,I nomi di pietra. Imperatori e poeti latini nel cuore della città
93/94,Brindisi,Fisica e informatica sui banchi del liceo
93/94,Brindisi,Miti e leggende. L'orco buono e la bella Margherita
93/94,Brindisi,"Gli estremisti del rock escono dal ""sottosuolo"""
93/94,Brindisi,L'ultimo match del grande Zurlo
93/94,Brindisi,Antiche ricette. Il rituale dei polpi sott'aceto
93/94,Brindisi,La provincia verde. Le dune di Torre Guaceto
93/94,Brindisi,Dal pino d'Aleppo la resina migliore
93/94,Foggia,Il nuovo che emerge. La fattoria dei ragazzi dove nasce la speranza
93/94,Foggia,Gli studenti in fabbrica per una scuola diversa
93/94,Foggia,Il monumento da salvare. L'epitaffio dei pastori alla fine del tratturo
93/94,Foggia,Miti e leggende. Sulle tracce di uomini e draghi
93/94,Foggia,Napoli e gli States nella musica tra Arbore e Raf
93/94,Foggia,La provincia verde. Nell'Amazzonia pugliese fra orchidee e ornielli
93/94,Foggia,La quercia dalle ghiande amare
93/94,Foggia,Successo a filo di spada
93/94,Foggia,Arte in tavola. Cultura e gastronomia capolavori dimenticati
93/94,Lecce,Il nuovo che emerge. Un rifugio per chi non ha casa
93/94,Lecce,Informatica e linguistica nei corsi sperimentali
93/94,Lecce,Il monumento da salvare. L'anfiteatro voluto da Adriano
93/94,Lecce,Buona musica in fermento al ritmo delle posse
93/94,Lecce,La provincia verde. Gli aironi del Pantano di Cesine
93/94,Lecce,La quercia coperta di spine
93/94,Lecce,"Fefé, il piccolo gigante della pallavolo"
93/94,Lecce,Antiche ricette. Pasta e carne a braccetto
93/94,Lecce,"Galatina, oro e argento nella chiesa restaurata"
93/94,Taranto,Il nuovo che emerge. Un'isola della fantasia nel cuore del centro storico
93/94,Taranto,Informatica al liceo per imparare le lingue
93/94,Taranto,"Il monumento da salvare. Città Vecchia, capolavoro in pericolo"
93/94,Taranto,I nomi di pietra. Le strade dei ministri e dei poeti
93/94,Taranto,Dalle cripte bizantine di Massafra al rococò di Martina Franca
93/94,Taranto,Il mare nel parco tecnologico
93/94,Taranto,"Miti, leggende. La sirena triste salvata dalle fate"
