annata,fascicolo,provincia,citta,indicizzata
81/82,Bari,Bari,Bari,sì
81/82,Bari,Bari,Andria,sì
81/82,Bari,Bari,Barletta,sì
81/82,Bari,Bari,Molfetta,sì
81/82,Bari,Bari,Monopoli,sì
81/82,Bari,Bari,Trani,sì
82/83,Bari,Bari,Bari,sì
82/83,Bari,Bari,Andria,sì
82/83,Bari,Bari,Barletta,sì
82/83,Bari,Bari,Bitonto,sì
82/83,Bari,Bari,Molfetta,sì
82/83,Bari,Bari,Monopoli,sì
82/83,Bari,Bari,Trani,sì
82/83,Taranto,Taranto,Taranto,sì
82/83,Taranto,Taranto,Grottaglie,sì
82/83,Taranto,Taranto,Manduria,sì
82/83,Taranto,Taranto,Martina Franca,sì
82/83,Taranto,Taranto,Massafra,sì
83/84,Bari,Bari,Bari,sì
83/84,Bari,Bari,Andria,sì
83/84,Bari,Bari,Barletta,sì
83/84,Bari,Bari,Bitonto,sì
83/84,Bari,Bari,Molfetta,sì
83/84,Bari,Bari,Monopoli,sì
83/84,Bari,Bari,Trani,sì
83/84,Bari,Bari,Castellana Grotte,no
83/84,Foggia,Foggia,Foggia,sì
83/84,Foggia,Foggia,Cerignola,sì
83/84,Foggia,Foggia,Lucera,sì
83/84,Foggia,Foggia,Manfredonia,sì
83/84,Foggia,Foggia,San Severo,sì
83/84,Taranto,Taranto,Taranto,sì
83/84,Taranto,Taranto,Grottaglie,sì
83/84,Taranto,Taranto,Manduria,sì
83/84,Taranto,Taranto,Martina Franca,sì
83/84,Taranto,Taranto,Massafra,sì
84/85,Bari,Bari,Bari,sì
84/85,Bari,Bari,Andria,sì
84/85,Bari,Bari,Barletta,sì
84/85,Bari,Bari,Bitonto,sì
84/85,Bari,Bari,Molfetta,sì
84/85,Bari,Bari,Monopoli,sì
84/85,Bari,Bari,Trani,sì
84/85,Bari,Bari,Castellana Grotte,no
85/86,Bari,Bari,Bari,sì
85/86,Bari,Bari,Andria,sì
85/86,Bari,Bari,Barletta,sì
85/86,Bari,Bari,Bitonto,sì
85/86,Bari,Bari,Molfetta,sì
85/86,Bari,Bari,Monopoli,sì
85/86,Bari,Bari,Trani,sì
85/86,Bari,Bari,Castellana Grotte,no
86/87,Bari,Bari,Bari,sì
86/87,Bari,Bari,Andria,sì
86/87,Bari,Bari,Barletta,sì
86/87,Bari,Bari,Bitonto,sì
86/87,Bari,Bari,Molfetta,sì
86/87,Bari,Bari,Monopoli,sì
86/87,Bari,Bari,Trani,sì
86/87,Bari,Bari,Castellana Grotte,no
86/87,Brindisi - Lecce,Brindisi,Brindisi,sì
86/87,Brindisi - Lecce,Brindisi,Fasano,sì
86/87,Brindisi - Lecce,Brindisi,Francavilla Fontana,sì
86/87,Brindisi - Lecce,Brindisi,Ostuni,sì
86/87,Brindisi - Lecce,Lecce,Lecce,sì
86/87,Brindisi - Lecce,Lecce,Galatina,sì
86/87,Brindisi - Lecce,Lecce,Nardò,sì
86/87,Brindisi - Lecce,Lecce,Casarano,no
86/87,Foggia,Foggia,Foggia,sì
86/87,Foggia,Foggia,Cerignola,sì
86/87,Foggia,Foggia,Lucera,sì
86/87,Foggia,Foggia,Manfredonia,sì
86/87,Foggia,Foggia,San Severo,sì
86/87,Taranto,Taranto,Taranto,sì
86/87,Taranto,Taranto,Grottaglie,sì
86/87,Taranto,Taranto,Manduria,sì
86/87,Taranto,Taranto,Martina Franca,sì
86/87,Taranto,Taranto,Massafra,sì
87/88,Bari,Bari,Bari,sì
87/88,Bari,Bari,Andria,sì
87/88,Bari,Bari,Barletta,sì
87/88,Bari,Bari,Bitonto,sì
87/88,Bari,Bari,Molfetta,sì
87/88,Bari,Bari,Monopoli,sì
87/88,Bari,Bari,Trani,sì
87/88,Bari,Bari,Castellana Grotte,no
87/88,Brindisi - Lecce,Brindisi,Brindisi,sì
87/88,Brindisi - Lecce,Brindisi,Fasano,sì
87/88,Brindisi - Lecce,Brindisi,Francavilla Fontana,sì
87/88,Brindisi - Lecce,Brindisi,Ostuni,sì
87/88,Brindisi - Lecce,Lecce,Lecce,sì
87/88,Brindisi - Lecce,Lecce,Galatina,sì
87/88,Brindisi - Lecce,Lecce,Nardò,sì
87/88,Brindisi - Lecce,Lecce,Casarano,no
87/88,Foggia,Foggia,Foggia,sì
87/88,Foggia,Foggia,Cerignola,sì
87/88,Foggia,Foggia,Lucera,sì
87/88,Foggia,Foggia,Manfredonia,sì
87/88,Foggia,Foggia,San Severo,sì
87/88,Taranto,Taranto,Taranto,sì
87/88,Taranto,Taranto,Grottaglie,sì
87/88,Taranto,Taranto,Manduria,sì
87/88,Taranto,Taranto,Martina Franca,sì
87/88,Taranto,Taranto,Massafra,sì
88/89,Bari,Bari,Bari,sì
88/89,Bari,Bari,Andria,sì
88/89,Bari,Bari,Barletta,sì
88/89,Bari,Bari,Bitonto,sì
88/89,Bari,Bari,Molfetta,sì
88/89,Bari,Bari,Monopoli,sì
88/89,Bari,Bari,Trani,sì
88/89,Bari,Bari,Castellana Grotte,no
88/89,Brindisi,Brindisi,Brindisi,sì
88/89,Brindisi,Brindisi,Fasano,sì
88/89,Brindisi,Brindisi,Francavilla Fontana,sì
88/89,Brindisi,Brindisi,Ostuni,sì
88/89,Brindisi,Brindisi,Mesagne,no
88/89,Brindisi,Brindisi,Ceglie Messapica,no
88/89,Brindisi,Brindisi,Oria,no
88/89,Lecce,Lecce,Lecce,sì
88/89,Lecce,Lecce,Galatina,sì
88/89,Lecce,Lecce,Nardò,sì
88/89,Lecce,Lecce,Casarano,no
88/89,Lecce,Lecce,Gallipoli,no
88/89,Lecce,Lecce,Maglie,no
88/89,Foggia,Foggia,Foggia,sì
88/89,Foggia,Foggia,Cerignola,sì
88/89,Foggia,Foggia,Lucera,sì
88/89,Foggia,Foggia,Manfredonia,sì
88/89,Foggia,Foggia,San Severo,sì
88/89,Taranto,Taranto,Taranto,sì
88/89,Taranto,Taranto,Grottaglie,sì
88/89,Taranto,Taranto,Manduria,sì
88/89,Taranto,Taranto,Martina Franca,sì
88/89,Taranto,Taranto,Massafra,sì
