annata,anno_copertina,tavole,quadro_immagine,orientamento_quadro,sfondo_mappe,colore_sfondo,modifiche_cartografiche,note
81/82,82,42,Roma8182T,orizzontale,Arancione,#FF9900,Cartografia ripresa dallo stradario SEAT incluso nelle Pagine Gialle degli anni precedenti,
82/83,83,42,Roma8283T,orizzontale,Arancione,#FF9900,"Tavole con modifiche: 25, 32, 33, 35, 36, 37, 38, 39, 41",
83/84,84,42,Roma8384T,orizzontale,Arancione,#FF9900,"Aumento della superficie cartografata | Tavole con modifiche: 19, 20, 23, 25, 27, 31, 34, 35, 36, 37, 38, 41",
84/85,85,42,Roma8485T,orizzontale,Arancione,#FF9900,"Tavole con modifiche: 15, 18, 21, 23, 25, 26, 28, 31, 32, 33, 35, 38",
85/86,86,60,Roma8586T,orizzontale,Arancione,#FF9900,Riarrangiamento completo delle tavole topografiche | Aumento della superficie cartografata,Cartografia completamente rinnovata | Mappe fuori tavole: Torre Angela
86/87,87,60,Roma8687T,orizzontale,Arancione,#FF9900,"Tavole con modifiche: 2, 7, 13, 15, 19, 21, 41, 42, 43, 49, 55, 56","Mappe fuori tavole: Torre Angela e Tor Bella Monaca, Borghesiana-Finocchio"
87/88,88,60,Roma8788T,orizzontale,Arancione,#FF9900,"Tavole con modifiche: 1, 4, 6, 7, 38, 40, 41, 42, 43, 56, 57","Mappe fuori tavole: Torre Angela e Tor Bella Monaca, Borghesiana-Finocchio"
88/89,89,64,Roma8889T,orizzontale,Arancione,#FF9900,"Aumento della superficie cartografata | Nuove tavole: 42, 43, 56, 57 | Tavole con modifiche: 6, 8, 13, 15, 19, 38, 40, 53, 59, 60, 61","I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 42 del fascicolo 88 diventa la tavola 44 e la tavola 54 del fascicolo 88 diventa la tavola 58 | Torre Angela e Tor Bella Monaca, Borghesiana - Finocchio incorporate nella cartografia nelle tavole 42 e 43"
89/90,90,64,Roma8990T,orizzontale,Arancione,#FF9900,"Tavole con modifiche: 2, 3, 8, 9, 10, 13, 14, 15, 18, 19, 38, 39, 40, 41, 42, 43, 44, 45, 49, 50, 51, 53, 54, 55, 56, 57, 60, 61, 62, 63",
90/91,91,66,Roma9091T,orizzontale,Grigio,#B7B7B7,"Aumento della superficie cartografata | Nuove tavole: 56, 57 | Tavole con modifiche: 2, 19, 39, 41, 44, 55","I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 65 del fascicolo 90 diventa la tavola 58 | La tavola 40 del fascicolo 90 diventa la tavola 39 e la tavola 39 del fascicolo 90 diventa la tavola 40 | Le tavole 39 (ex 40) e 41 modificano leggermente l'area cartografata"
91/92,92,68,Roma9192T,orizzontale,Grigio,#B7B7B7,"Aumento della superficie cartografata | Nuove tavole: 2, 3 | Tavole con modifiche: 5, 9, 15, 16, 17, 46, 52, 53, 57, 58, 59, 60, 61, 62, 63, 64","I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 2 del fascicolo 91 diventa la tavola 4"
92/93,93,68,Roma9293T,orizzontale,Grigio,#B7B7B7,"Tavole con modifiche: 16, 17, 46, 52, 53, 59, 60, 61, 62, 66",
93/94,94,68,Roma9394T,orizzontale,Grigio,#B7B7B7,"Tavole con modifiche: 5, 16, 17, 20, 36, 50, 51, 54, 55, 58",
94/95,95,66,Roma9495T,orizzontale,Grigio,#B7B7B7,"Tavole con modifiche: 20, 21, 46, 53, 55, 65, Fiumicino (ex tavola 63) | Nuovo comune cartografato: Ciampino","Mappe fuori tavole: Grottarossa | Fiumicino (ex tavola 63) e Fregene (ex tavola 68) sono comuni autonomi | I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 64 del fascicolo 94 diventa la tavola 63"
95/96,96,68,Roma9596T,orizzontale,Grigio,#B7B7B7,"Aumento della superficie cartografata | Nuove tavole: 2, 3 | Tavole con modifiche: 1, 4, 5, 6, 8, 9, 18, 54, 55, 63, 65, 66","I riferimenti alle tavole modificate seguono la nuova numerazione, per cui la tavola 2 del fascicolo 95 diventa la tavola 4 | Grottarossa incorporata nella cartografia nelle tavole 2 e 3"
96/97,97,68,Roma9697T,orizzontale,Grigio,#B7B7B7,"Tavole con modifiche: 1, 2, 6, 7, 11, 12, 14, 16, 18, 19, 20, 22, 23, 29, 30, 31, 35, 36, 42, 43, 45, 46, 47, 48, 51, 52, 54, 55, 57, 59, 60, 61, 62, 64, 65, 66, 68",Leggere modifiche allo stile della cartografia
97/98,(98),68,Roma9798T,orizzontale,Grigio,#B7B7B7,"Tavole con modifiche: 3, 17, 63, 65, 66",
