annata,anno_copertina,colore_copertina,copertina_immagine,formato,layout,pagine_totali,note
81/82,82,#92D050,Roma8182,246 x 280 mm | Copertina grossa,TuttoCittà '80 classico,232,Nota dell'editore
82/83,83,#FF0000,Roma8283,246 x 280 mm | Copertina grossa,TuttoCittà '80 classico,240,
83/84,84,#00B0F0,Roma8384,246 x 280 mm | Copertina grossa,TuttoCittà '80 classico,240,
84/85,85,#92D050,Roma8485,246 x 280 mm | Copertina grossa,TuttoCittà '80 classico,240,Costituzione della Repubblica Italiana
85/86,86,#CCCCCC,Roma8586,246 x 280 mm | Copertina grossa,TuttoCittà '80 edifici,224,Riforma cartografica
86/87,87,#B8D8F4,Roma8687,246 x 280 mm | Copertina grossa,TuttoCittà '80 edifici,216,
87/88,88,#FFD472,Roma8788,246 x 280 mm | Copertina grossa,TuttoCittà '80 edifici,216,
88/89,89,#D6E3BC,Roma8889,246 x 280 mm | Copertina grossa,TuttoCittà '80 edifici,216,
89/90,90,#8AEBFF,Roma8990,246 x 280 mm | Copertina grossa,TuttoCittà '80 edifici,216,
90/91,91,#002060,Roma9091,246 x 280 mm | Copertina grossa,TuttoCittà '90 classico iniziale,216,Nota dell'editore
91/92,92,#002671,Roma9192,246 x 280 mm | Copertina grossa,TuttoCittà '90 classico iniziale,208,
92/93,93,#DDD9C3,Roma9293,246 x 280 mm | Copertina grossa,TuttoCittà '90 classico,208,
93/94,94,#C4BC96,Roma9394,246 x 280 mm | Copertina sottile,TuttoCittà '90 classico,198,
94/95,95,#C4BC96,Roma9495,246 x 280 mm | Copertina sottile,TuttoCittà '90 classico,198,
95/96,96,#C4BC96,Roma9596,246 x 280 mm | Copertina sottile,TuttoCittà '90 classico,198,
96/97,97,#C4BC96,Roma9697,226 x 274 mm | Copertina sottile,TuttoCittà '90 classico,198,Cambio formato
97/98,(98),#999999,Roma9798,226 x 274 mm | Copertina sottile,TuttoCittà '90 riformato,190,"""novembre 1997 - ottobre 1998"""
98/99,(99),#999999,Roma9899,226 x 274 mm | Copertina sottile,TuttoCittà '90 riformato,190,"""Da utilizzare fino a Dicembre 1999"""
99/00,99/00,#FFD966,Roma9900,226 x 274 mm | Copertina sottile,TuttoCittà nuovo millennio bis,182,
00/01,00/01,#FFD966,Roma0001,226 x 274 mm | Copertina sottile,TuttoCittà nuovo millennio ter,182,
01/02,01/02,#FFD966,Roma0102,226 x 274 mm | Copertina sottile,TuttoCittà nuovo millennio ter,174 (175),
02/03,02/03,#FFD966,Roma0203,226 x 274 mm | Copertina sottile,TuttoCittà nuovo millennio ter,182,
03/04,03/04,#FFD966,Roma0304,226 x 274 mm | Copertina sottile,TuttoCittà nuovo millennio ter,174,
04/05,04,#E69138,Roma0405,226 x 274 mm | Copertina sottile,TuttoCittà metà duemila,174,
05/06,05,#E69138,Roma0506,226 x 274 mm | Copertina sottile,TuttoCittà metà duemila,182,
06/07,06,#F6B26B,Roma0607,226 x 274 mm | Copertina grossa,TuttoCittà fine duemila,184,
07/08,07,#F6B26B,Roma0708,226 x 274 mm | Copertina grossa,TuttoCittà fine duemila,176,
08/09,08/09,#F6B26B,Roma0809,226 x 274 mm | Copertina grossa,TuttoCittà fine duemila,176,
09/10,09/10,#F9CB9C,Roma0910,140 x 212 mm | Copertina grossa,TuttoCittà anni dieci,248,"Riforma cartografica | Cambio formato | Inserto estraibile ""Agenzia del territorio"", di 32 pagine"
10/11,10/11,#F9CB9C,Roma1011,140 x 212 mm | Copertina grossa,TuttoCittà anni dieci,216,
11/12,11/12,#F9CB9C,Roma1112,140 x 212 mm | Copertina grossa,TuttoCittà anni dieci,208,
12/13,12/13,#F9CB9C,Roma1213,140 x 212 mm | Copertina grossa,TuttoCittà anni dieci,208,
13/14,13/14,#F9CB9C,Roma1314,140 x 212 mm | Copertina grossa,TuttoCittà anni dieci,185,
14/15,14/15,#F9CB9C,Roma1415,140 x 212 mm | Copertina grossa,TuttoCittà anni dieci,192,
