annata,provincia,titolo
90/91,Cagliari,Anni 90. Un grande porto
90/91,Cagliari,Identikit di una provincia
90/91,Cagliari,"Nomi e cognomi. Primo Sanna, secondo Melis"
90/91,Cagliari,I segreti del sottosuolo
90/91,Cagliari,Lapidi e iscrizioni. La storia sui muri
90/91,Cagliari,Carbonia. Le miniere fantasma
90/91,Cagliari,"Vent'anni fa, rombo di tuono"
90/91,Cagliari,La ricetta della nonna
90/91,Nuoro,Anni 90. Sfida ambiente
90/91,Nuoro,Identikit di una provincia
90/91,Nuoro,Barbagia. L'industria dei pastori
90/91,Nuoro,Date storiche
90/91,Nuoro,Nel mondo di Grazia Deledda
90/91,Nuoro,Anno 1900. Un matrimonio campestre
90/91,Nuoro,La ricetta della nonna
90/91,Oristano,Anni 90. Turismo verde
90/91,Oristano,Identikit di una provincia
90/91,Oristano,Date storiche
90/91,Oristano,Il mistero delle origini
90/91,Oristano,"Le ""launeddas"" di Tadasuni"
90/91,Oristano,"Il ""palatu"" di Gramsci"
90/91,Oristano,Anno 1900. Un'istantanea della città
90/91,Oristano,Quando la spada insegue una stella
90/91,Sassari,Anni 90. La Gallura nel futuro
90/91,Sassari,Identikit di una provincia
90/91,Sassari,Il liceo dei Presidenti
90/91,Sassari,L'avventura del Museo Sanna
90/91,Sassari,Porto Torres. La storia nella basilica
90/91,Sassari,Alghero. I bastioni sul golfo
91/92,Cagliari,Verso il '92. La grande Cagliari
91/92,Cagliari,Il Sulcis emergente chiede di diventare Provincia
91/92,Cagliari,Santa Gilla e Molentargius due stagni da salvare
91/92,Cagliari,"Come eravamo. Ai tempi dei Savoia, tra riforme e congiure"
91/92,Cagliari,Brindisi e danze al suono di launeddas
91/92,Cagliari,"La stampa locale. ""L'Unione Sarda"", specchio dell'isola"
91/92,Cagliari,Il campus universitario sulle colline di Monserrato
91/92,Cagliari,Il Novecento dei maestri sardi
91/92,Cagliari,Il Caffè di Quasimodo
91/92,Cagliari,Il decollo di Elmas
91/92,Cagliari,Gli antichi portali di Quartucciu
91/92,Cagliari,"Iglesias, le mura raccontano un secolo di assedi"
91/92,Cagliari,Nei progetti di Villasimius un'oasi in fondo al mare
91/92,Cagliari,Vini e gastronomia. Antica cucina pastorale
91/92,Cagliari,Trionfi di zucchero e mandorle
