annata,fascicolo,provincia,citta
81/82,Cagliari - Nuoro - Oristano - Sassari,Cagliari,Cagliari
81/82,Cagliari - Nuoro - Oristano - Sassari,Cagliari,Quartu Sant'Elena
81/82,Cagliari - Nuoro - Oristano - Sassari,Nuoro,Nuoro
81/82,Cagliari - Nuoro - Oristano - Sassari,Oristano,Oristano
81/82,Cagliari - Nuoro - Oristano - Sassari,Sassari,Sassari
81/82,Cagliari - Nuoro - Oristano - Sassari,Sassari,Alghero
81/82,Cagliari - Nuoro - Oristano - Sassari,Sassari,Olbia
82/83,Cagliari - Nuoro - Oristano - Sassari,Cagliari,Cagliari
82/83,Cagliari - Nuoro - Oristano - Sassari,Cagliari,Carbonia
82/83,Cagliari - Nuoro - Oristano - Sassari,Cagliari,Quartu Sant'Elena
82/83,Cagliari - Nuoro - Oristano - Sassari,Nuoro,Nuoro
82/83,Cagliari - Nuoro - Oristano - Sassari,Oristano,Oristano
82/83,Cagliari - Nuoro - Oristano - Sassari,Sassari,Sassari
82/83,Cagliari - Nuoro - Oristano - Sassari,Sassari,Alghero
82/83,Cagliari - Nuoro - Oristano - Sassari,Sassari,Olbia
82/83,Cagliari - Nuoro - Oristano - Sassari,Sassari,Porto Torres
83/84,Cagliari - Nuoro - Oristano - Sassari,Cagliari,Cagliari
83/84,Cagliari - Nuoro - Oristano - Sassari,Cagliari,Carbonia
83/84,Cagliari - Nuoro - Oristano - Sassari,Cagliari,Quartu Sant'Elena
83/84,Cagliari - Nuoro - Oristano - Sassari,Nuoro,Nuoro
83/84,Cagliari - Nuoro - Oristano - Sassari,Oristano,Oristano
83/84,Cagliari - Nuoro - Oristano - Sassari,Sassari,Sassari
83/84,Cagliari - Nuoro - Oristano - Sassari,Sassari,Alghero
83/84,Cagliari - Nuoro - Oristano - Sassari,Sassari,Olbia
83/84,Cagliari - Nuoro - Oristano - Sassari,Sassari,Porto Torres
84/85,Cagliari - Oristano,Cagliari,Cagliari
84/85,Cagliari - Oristano,Cagliari,Carbonia
84/85,Cagliari - Oristano,Cagliari,Iglesias
84/85,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
84/85,Cagliari - Oristano,Oristano,Oristano
84/85,Nuoro - Sassari,Nuoro,Nuoro
84/85,Nuoro - Sassari,Sassari,Sassari
84/85,Nuoro - Sassari,Sassari,Alghero
84/85,Nuoro - Sassari,Sassari,Olbia
84/85,Nuoro - Sassari,Sassari,Porto Torres
85/86,Cagliari - Oristano,Cagliari,Cagliari
85/86,Cagliari - Oristano,Cagliari,Carbonia
85/86,Cagliari - Oristano,Cagliari,Iglesias
85/86,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
85/86,Cagliari - Oristano,Oristano,Oristano
85/86,Nuoro - Sassari,Nuoro,Nuoro
85/86,Nuoro - Sassari,Sassari,Sassari
85/86,Nuoro - Sassari,Sassari,Alghero
85/86,Nuoro - Sassari,Sassari,Olbia
85/86,Nuoro - Sassari,Sassari,Porto Torres
86/87,Cagliari - Oristano,Cagliari,Cagliari
86/87,Cagliari - Oristano,Cagliari,Carbonia
86/87,Cagliari - Oristano,Cagliari,Iglesias
86/87,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
86/87,Cagliari - Oristano,Oristano,Oristano
86/87,Nuoro - Sassari,Nuoro,Nuoro
86/87,Nuoro - Sassari,Sassari,Sassari
86/87,Nuoro - Sassari,Sassari,Alghero
86/87,Nuoro - Sassari,Sassari,Olbia
86/87,Nuoro - Sassari,Sassari,Porto Torres
87/88,Cagliari - Oristano,Cagliari,Cagliari
87/88,Cagliari - Oristano,Cagliari,Carbonia
87/88,Cagliari - Oristano,Cagliari,Iglesias
87/88,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
87/88,Cagliari - Oristano,Oristano,Oristano
87/88,Nuoro - Sassari,Nuoro,Nuoro
87/88,Nuoro - Sassari,Sassari,Sassari
87/88,Nuoro - Sassari,Sassari,Alghero
87/88,Nuoro - Sassari,Sassari,Olbia
87/88,Nuoro - Sassari,Sassari,Porto Torres
88/89,Cagliari - Oristano,Cagliari,Cagliari
88/89,Cagliari - Oristano,Cagliari,Carbonia
88/89,Cagliari - Oristano,Cagliari,Iglesias
88/89,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
88/89,Cagliari - Oristano,Oristano,Oristano
88/89,Nuoro - Sassari,Nuoro,Nuoro
88/89,Nuoro - Sassari,Sassari,Sassari
88/89,Nuoro - Sassari,Sassari,Alghero
88/89,Nuoro - Sassari,Sassari,Olbia
88/89,Nuoro - Sassari,Sassari,Porto Torres
89/90,Cagliari - Oristano,Cagliari,Cagliari
89/90,Cagliari - Oristano,Cagliari,Carbonia
89/90,Cagliari - Oristano,Cagliari,Iglesias
89/90,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
89/90,Cagliari - Oristano,Oristano,Oristano
89/90,Nuoro - Sassari,Nuoro,Nuoro
89/90,Nuoro - Sassari,Sassari,Sassari
89/90,Nuoro - Sassari,Sassari,Alghero
89/90,Nuoro - Sassari,Sassari,Olbia
89/90,Nuoro - Sassari,Sassari,Porto Torres
90/91,Cagliari - Oristano,Cagliari,Cagliari
90/91,Cagliari - Oristano,Cagliari,Carbonia
90/91,Cagliari - Oristano,Cagliari,Guspini
90/91,Cagliari - Oristano,Cagliari,Iglesias
90/91,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
90/91,Cagliari - Oristano,Oristano,Oristano
90/91,Nuoro - Sassari,Nuoro,Nuoro
90/91,Nuoro - Sassari,Sassari,Sassari
90/91,Nuoro - Sassari,Sassari,Alghero
90/91,Nuoro - Sassari,Sassari,Olbia
90/91,Nuoro - Sassari,Sassari,Porto Torres
90/91,Nuoro - Sassari,Sassari,Tempio Pausania
91/92,Cagliari - Oristano,Cagliari,Cagliari
91/92,Cagliari - Oristano,Cagliari,Assemini
91/92,Cagliari - Oristano,Cagliari,Carbonia
91/92,Cagliari - Oristano,Cagliari,Elmas
91/92,Cagliari - Oristano,Cagliari,Guspini
91/92,Cagliari - Oristano,Cagliari,Iglesias
91/92,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
91/92,Cagliari - Oristano,Oristano,Oristano
91/92,Nuoro - Sassari,Nuoro,Nuoro
91/92,Nuoro - Sassari,Sassari,Sassari
91/92,Nuoro - Sassari,Sassari,Alghero
91/92,Nuoro - Sassari,Sassari,Olbia
91/92,Nuoro - Sassari,Sassari,Porto Torres
91/92,Nuoro - Sassari,Sassari,Tempio Pausania
92/93,Cagliari - Oristano,Cagliari,Cagliari
92/93,Cagliari - Oristano,Cagliari,Assemini
92/93,Cagliari - Oristano,Cagliari,Carbonia
92/93,Cagliari - Oristano,Cagliari,Elmas
92/93,Cagliari - Oristano,Cagliari,Guspini
92/93,Cagliari - Oristano,Cagliari,Iglesias
92/93,Cagliari - Oristano,Cagliari,Pula
92/93,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
92/93,Cagliari - Oristano,Oristano,Oristano
92/93,Nuoro - Sassari,Nuoro,Nuoro
92/93,Nuoro - Sassari,Nuoro,Macomer
92/93,Nuoro - Sassari,Sassari,Sassari
92/93,Nuoro - Sassari,Sassari,Alghero
92/93,Nuoro - Sassari,Sassari,Olbia
92/93,Nuoro - Sassari,Sassari,Porto Torres
92/93,Nuoro - Sassari,Sassari,Tempio Pausania
93/94,Cagliari - Oristano,Cagliari,Cagliari
93/94,Cagliari - Oristano,Cagliari,Assemini
93/94,Cagliari - Oristano,Cagliari,Carbonia
93/94,Cagliari - Oristano,Cagliari,Elmas
93/94,Cagliari - Oristano,Cagliari,Guspini
93/94,Cagliari - Oristano,Cagliari,Iglesias
93/94,Cagliari - Oristano,Cagliari,Pula
93/94,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
93/94,Cagliari - Oristano,Oristano,Oristano
93/94,Nuoro - Sassari,Nuoro,Nuoro
93/94,Nuoro - Sassari,Nuoro,Macomer
93/94,Nuoro - Sassari,Sassari,Sassari
93/94,Nuoro - Sassari,Sassari,Alghero
93/94,Nuoro - Sassari,Sassari,Olbia
93/94,Nuoro - Sassari,Sassari,Porto Torres
93/94,Nuoro - Sassari,Sassari,Tempio Pausania
94/95,Cagliari - Oristano,Cagliari,Cagliari
94/95,Cagliari - Oristano,Cagliari,Assemini
94/95,Cagliari - Oristano,Cagliari,Carbonia
94/95,Cagliari - Oristano,Cagliari,Elmas
94/95,Cagliari - Oristano,Cagliari,Guspini
94/95,Cagliari - Oristano,Cagliari,Iglesias
94/95,Cagliari - Oristano,Cagliari,Pula
94/95,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
94/95,Cagliari - Oristano,Oristano,Oristano
94/95,Nuoro - Sassari,Nuoro,Nuoro
94/95,Nuoro - Sassari,Nuoro,Macomer
94/95,Nuoro - Sassari,Sassari,Sassari
94/95,Nuoro - Sassari,Sassari,Alghero
94/95,Nuoro - Sassari,Sassari,Olbia
94/95,Nuoro - Sassari,Sassari,Porto Torres
94/95,Nuoro - Sassari,Sassari,Tempio Pausania
95/96,Cagliari - Oristano,Cagliari,Cagliari
95/96,Cagliari - Oristano,Cagliari,Assemini
95/96,Cagliari - Oristano,Cagliari,Carbonia
95/96,Cagliari - Oristano,Cagliari,Elmas
95/96,Cagliari - Oristano,Cagliari,Guspini
95/96,Cagliari - Oristano,Cagliari,Iglesias
95/96,Cagliari - Oristano,Cagliari,Monserrato
95/96,Cagliari - Oristano,Cagliari,Pula
95/96,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
95/96,Cagliari - Oristano,Oristano,Oristano
95/96,Nuoro - Sassari,Nuoro,Nuoro
95/96,Nuoro - Sassari,Nuoro,Macomer
95/96,Nuoro - Sassari,Sassari,Sassari
95/96,Nuoro - Sassari,Sassari,Alghero
95/96,Nuoro - Sassari,Sassari,La Maddalena
95/96,Nuoro - Sassari,Sassari,Olbia
95/96,Nuoro - Sassari,Sassari,Porto Torres
95/96,Nuoro - Sassari,Sassari,Tempio Pausania
96/97,Cagliari - Oristano,Cagliari,Cagliari
96/97,Cagliari - Oristano,Cagliari,Assemini
96/97,Cagliari - Oristano,Cagliari,Carbonia
96/97,Cagliari - Oristano,Cagliari,Elmas
96/97,Cagliari - Oristano,Cagliari,Guspini
96/97,Cagliari - Oristano,Cagliari,Iglesias
96/97,Cagliari - Oristano,Cagliari,Monserrato
96/97,Cagliari - Oristano,Cagliari,Pula
96/97,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
96/97,Cagliari - Oristano,Oristano,Oristano
96/97,Nuoro - Sassari,Nuoro,Nuoro
96/97,Nuoro - Sassari,Nuoro,Macomer
96/97,Nuoro - Sassari,Sassari,Sassari
96/97,Nuoro - Sassari,Sassari,Alghero
96/97,Nuoro - Sassari,Sassari,La Maddalena
96/97,Nuoro - Sassari,Sassari,Olbia
96/97,Nuoro - Sassari,Sassari,Porto Torres
96/97,Nuoro - Sassari,Sassari,Tempio Pausania
97/98,Cagliari - Oristano,Cagliari,Cagliari
97/98,Cagliari - Oristano,Cagliari,Assemini
97/98,Cagliari - Oristano,Cagliari,Carbonia
97/98,Cagliari - Oristano,Cagliari,Elmas
97/98,Cagliari - Oristano,Cagliari,Guspini
97/98,Cagliari - Oristano,Cagliari,Iglesias
97/98,Cagliari - Oristano,Cagliari,Monserrato
97/98,Cagliari - Oristano,Cagliari,Pula
97/98,Cagliari - Oristano,Cagliari,Quartu Sant'Elena
97/98,Cagliari - Oristano,Oristano,Oristano
97/98,Nuoro - Sassari,Nuoro,Nuoro
97/98,Nuoro - Sassari,Nuoro,Macomer
97/98,Nuoro - Sassari,Sassari,Sassari
97/98,Nuoro - Sassari,Sassari,Alghero
97/98,Nuoro - Sassari,Sassari,La Maddalena
97/98,Nuoro - Sassari,Sassari,Olbia
97/98,Nuoro - Sassari,Sassari,Porto Torres
97/98,Nuoro - Sassari,Sassari,Tempio Pausania
98/99,Cagliari,Cagliari,Cagliari
