annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Cagliari - Nuoro - Oristano - Sassari,Cagliari - Nuoro - Oristano - Sassari 81,81,Copertina 81 verde,246 x 280 mm,grossa,Stradario SEAT,56,,marzo 1981,nota dell'editore,CANUORSS81.jpg,True,accertata
82/83,Cagliari - Nuoro - Oristano - Sassari,Cagliari - Nuoro - Oristano - Sassari 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,64,,marzo 1982,,CANUORSS82.jpg,True,accertata
83/84,Cagliari - Nuoro - Oristano - Sassari,Cagliari - Nuoro - Oristano - Sassari 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,64,,marzo 1983,,CANUORSS83.jpg,True,accertata
84/85,Cagliari - Oristano,Cagliari - Oristano 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,marzo 1984,Inserto Costituzione,CAOR84.jpg,True,accertata
84/85,Nuoro - Sassari,Nuoro - Sassari 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,marzo 1984,Inserto Costituzione,NUSS84.jpg,True,accertata
85/86,Cagliari - Oristano,Cagliari - Oristano 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,marzo 1985,,CAOR85.jpg,True,accertata
85/86,Nuoro - Sassari,Nuoro - Sassari 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,marzo 1985,,NUSS85.jpg,True,accertata
86/87,Cagliari - Oristano,Cagliari - Oristano 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,marzo 1986,,CAOR86.jpg,True,accertata
86/87,Nuoro - Sassari,Nuoro - Sassari 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,marzo 1986,,NUSS86.jpg,True,accertata
87/88,Cagliari - Oristano,Cagliari - Oristano 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,marzo 1987,,CAOR87.jpg,True,accertata
87/88,Nuoro - Sassari,Nuoro - Sassari 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,marzo 1987,,NUSS87.jpg,True,accertata
88/89,Cagliari - Oristano,Cagliari - Oristano 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,marzo 1988,,CAOR88.jpg,True,accertata
88/89,Nuoro - Sassari,Nuoro - Sassari 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,marzo 1988,,NUSS88.jpg,True,accertata
89/90,Cagliari - Oristano,Cagliari - Oristano 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,marzo 1989,,CAOR89.jpg,True,accertata
89/90,Nuoro - Sassari,Nuoro - Sassari 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,marzo 1989,,NUSS89.jpg,True,accertata
90/91,Cagliari - Oristano,Cagliari - Oristano 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,48,,marzo 1990,nota dell'editore,CAOR9091.jpg,True,accertata
90/91,Nuoro - Sassari,Nuoro - Sassari 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,40,,marzo 1990,nota dell'editore,NUSS9091.jpg,True,accertata
91/92,Cagliari - Oristano,Cagliari - Oristano 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,64,,marzo 1991,,CAOR91.jpg,True,accertata
91/92,Nuoro - Sassari,Nuoro - Sassari 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,48,,marzo 1991,,NUSS91.jpg,True,accertata
92/93,Cagliari - Oristano,Cagliari - Oristano 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,64,,marzo 1992,,CAOR92.jpg,True,accertata
92/93,Nuoro - Sassari,Nuoro - Sassari 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,48,,marzo 1992,,NUSS92.jpg,True,accertata
93/94,Cagliari - Oristano,Cagliari - Oristano 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,64,,aprile 1993,,CAOR93.jpg,True,accertata
93/94,Nuoro - Sassari,Nuoro - Sassari 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,48,,aprile 1993,,NUSS93.jpg,True,accertata
94/95,Cagliari - Oristano,Cagliari - Oristano 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,62,,aprile 1994,,CAOR94.jpg,True,accertata
94/95,Nuoro - Sassari,Nuoro - Sassari 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,,aprile 1994,,NUSS94.jpg,True,accertata
95/96,Cagliari - Oristano,Cagliari - Oristano 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,62,,aprile 1995,,CAOR95.jpg,True,accertata
95/96,Nuoro - Sassari,Nuoro - Sassari 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,,aprile 1995,,NUSS95.jpg,True,accertata
96/97,Cagliari - Oristano,Cagliari - Oristano 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,62,,aprile 1996,,CAOR96.jpg,True,accertata
96/97,Nuoro - Sassari,Nuoro - Sassari 96,96,Copertina 96 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,46,,aprile 1996,,NUSS96.jpg,True,accertata
97/98,Cagliari - Oristano,Cagliari - Oristano 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,54,,aprile 1997,Cambio formato,CAOR97.jpg,True,accertata
97/98,Nuoro - Sassari,Nuoro - Sassari 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,38,39,aprile 1997,Cambio formato,NUSS97.jpg,True,accertata
98/99,Cagliari,Cagliari (98),98,Copertina grigia,226 x 274 mm,sottile,TuttoCittà '90 riformato,46,,aprile 1998,"""da utilizzare fino a Luglio 1999""",CA98.jpg,True,accertata
99/00,Cagliari,Cagliari 1999/2000,99/00,Copertina 1999/2000 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio,54,,aprile 1999,,CA99.jpg,True,accertata
00/01,Cagliari,Cagliari 2000/2001,00/01,Copertina 2000/2001 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio bis,68,69,aprile 2000,,CA00.jpg,True,accertata
01/02,Cagliari,Cagliari 2001/2002,01/02,Copertina 2001/2002 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,82,,aprile 2001,,CA01.jpg,True,accertata
02/03,Cagliari,Cagliari 2002/2003,02/03,Copertina 2002/2003 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,70,,maggio 2002,,CA02.jpg,True,accertata
03/04,Cagliari,Cagliari 2003/2004,03/04,Copertina 2003/2004 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,78,,giugno 2003,,CA03.jpg,True,accertata
04/05,Cagliari,Cagliari 2004,04,Copertina 2004 gialla,226 x 274 mm,sottile,TuttoCittà nuovo millennio ter,70,,giugno 2004,,CA04.jpg,True,accertata
05/06,Cagliari,Cagliari 2005,05,Copertina 2005 arancione,226 x 274 mm,sottile,TuttoCittà metà duemila,70,,giugno 2005,,CA05.jpg,True,accertata
06/07,Cagliari,Cagliari 2006,06,Copertina 2006 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,80,,giugno 2006,,CA06.jpg,True,accertata
07/08,Cagliari,Cagliari 2007,07,Copertina 2007 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,88,,giugno 2007,,CA07.jpg,True,accertata
08/09,Cagliari,Cagliari 2008/2009,08/09,Copertina 2008/2009 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,56,,giugno 2008,,CA08.jpg,True,accertata
09/10,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari - Carbonia Iglesias - Medio Campidano 2009/2010,09/10,Copertina 2009/2010 arancione/bianca,226 x 274 mm,grossa,TuttoCittà fine duemila,48,,giugno 2009,,CA09.jpg,True,accertata
10/11,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari - Carbonia Iglesias - Medio Campidano 2010/2011,10/11,Copertina 2010/2011 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,48,,giugno 2010,riforma cartografica; nuovo formato,CA10.jpg,True,accertata
11/12,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari - Carbonia Iglesias - Medio Campidano 2011/2012,11/12,Copertina 2011/2012 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,56,,giugno 2011,inserto Agenzia del Territorio,CA11.jpg,True,accertata
12/13,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari - Carbonia Iglesias - Medio Campidano 2012/2013,12/13,Copertina 2012/2013 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,48,,maggio 2012,,CA12.jpg,True,accertata
13/14,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari - Carbonia Iglesias - Medio Campidano 2013/2014,13/14,Copertina 2013/2014 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,64,,maggio 2013,,CA13.jpg,True,accertata
14/15,Cagliari - Carbonia Iglesias - Medio Campidano,Cagliari - Carbonia Iglesias - Medio Campidano 2014/2015,14/15,Copertina 2014/2015 arancione/bianca formato ridotto,140 x 212 mm,grossa,TuttoCittà anni dieci,56,,maggio 2014,,CA14.jpg,True,accertata
