annata,fascicolo,citta,pagina,tavole,pagine_tavola,elenco_vie,illustrazioni,nota,cambiamenti
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Cagliari,14,6,6,sezione dedicata,,"6 tavole, 6 pagine",
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Quartu Sant'Elena,20,1,1,pagina a fronte,,"1 tavola, 1 pagina; elenco delle vie con foto della città",
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Nuoro,29,1,1,sezione dedicata,,"1 tavola, 1 pagina",
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Oristano,37,1,1,sezione dedicata,,"1 tavola, 1 pagina",
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Sassari,49,3,3,sezione dedicata,,"3 tavole, 3 pagine",
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Alghero,52,1,1,pagina a fronte,,"1 tavola, 1 pagina; elenco delle vie con foto della città",
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Olbia,54,1,1,pagina a fronte,,"1 tavola, 1 pagina; elenco delle vie",
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Cagliari,16,6,6,sezione dedicata,,"6 tavole, 6 pagine",
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Carbonia,22,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Nuovo comune cartografato
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Quartu Sant'Elena,24,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Aumento della superficie cartografata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Nuoro,32,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Aumento della superficie cartografata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Oristano,40,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Aumento della superficie cartografata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Sassari,55,3,3,sezione dedicata,,"3 tavole, 3 pagine",
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Alghero,58,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Aumento della superficie cartografata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Olbia,60,1,2,margini,,"1 tavola, 2 pagine; elenco delle vie ai margini",Aumento della superficie cartografata
82/83,Cagliari - Nuoro - Oristano - Sassari 82,Porto Torres,62,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Nuovo comune cartografato
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Cagliari,16,6,6,sezione dedicata,,"6 tavole, 6 pagine",
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Carbonia,22,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Quartu Sant'Elena,24,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Nuoro,32,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Oristano,40,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Sassari,55,3,3,sezione dedicata,,"3 tavole, 3 pagine",
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Alghero,58,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Olbia,60,1,2,margini,,"1 tavola, 2 pagine; elenco delle vie ai margini",
83/84,Cagliari - Nuoro - Oristano - Sassari 83,Porto Torres,62,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
84/85,Cagliari - Oristano 84,Cagliari,16,7,7,sezione dedicata,,"7 tavole, 7 pagine",Aumento della superficie cartografata; Aggiornamenti nella cartografia (Monserrato)
84/85,Cagliari - Oristano 84,Carbonia,26,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",
84/85,Cagliari - Oristano 84,Iglesias,28,1,2,margini,monumenti,"1 tavola, 2 pagine; elenco delle vie ai margini; illustrazioni di monumenti",Nuovo comune cartografato
