foglio,fascicolo,denominazione,anno_copertina,annata,nome_censimento,linea,pagine_totali,layout,dimensioni,copertina,sfondo_cartografia,colore,copertina_immagine,nome_in_copertina,mese_aggiornamento,note
CA NU OR SS 81,Cagliari - Nuoro - Oristano - Sassari 81,Cagliari - Nuoro - Oristano - Sassari,81,81/82,Cagliari - Nuoro - Oristano - Sassari,entrambe,56,Stradario SEAT,246 x 280 mm,Grossa,Arancione,#92D050,CANUORSS81.jpg,Cagliari - Nuoro - Oristano - Sassari 81,marzo 1981,Nota dell'editore
CA NU OR SS 82,Cagliari - Nuoro - Oristano - Sassari 82,Cagliari - Nuoro - Oristano - Sassari,82,82/83,Cagliari - Nuoro - Oristano - Sassari,entrambe,64,TuttoCittà '80 con foto,246 x 280 mm,Grossa,Arancione,#FF0000,CANUORSS82.jpg,Cagliari - Nuoro - Oristano - Sassari 82,marzo 1982,
CA NU OR SS 83,Cagliari - Nuoro - Oristano - Sassari 83,Cagliari - Nuoro - Oristano - Sassari,83,83/84,Cagliari - Nuoro - Oristano - Sassari,entrambe,64,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#00B0F0,CANUORSS83.jpg,Cagliari - Nuoro - Oristano - Sassari 83,marzo 1983,
CA OR 84,Cagliari - Oristano 84,Cagliari - Oristano,84,84/85,Cagliari - Oristano,Cagliari,40,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#92D050,CAOR84.jpg,Cagliari - Oristano 84,marzo 1984,Inserto Costituzione
NU SS 84,Nuoro - Sassari 84,Nuoro - Sassari,84,84/85,Nuoro - Sassari,Nuoro - Sassari,32,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#92D050,NUSS84.jpg,Nuoro - Sassari 84,marzo 1984,Inserto Costituzione
CA OR 85,Cagliari - Oristano 85,Cagliari - Oristano,85,85/86,Cagliari - Oristano,Cagliari,40,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#FF0000,CAOR85.jpg,Cagliari - Oristano 85,marzo 1985,
NU SS 85,Nuoro - Sassari 85,Nuoro - Sassari,85,85/86,Nuoro - Sassari,Nuoro - Sassari,32,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#FF0000,NUSS85.jpg,Nuoro - Sassari 85,marzo 1985,
CA OR 86,Cagliari - Oristano 86,Cagliari - Oristano,86,86/87,Cagliari - Oristano,Cagliari,40,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#00B0F0,CAOR86.jpg,Cagliari - Oristano 86,marzo 1986,
NU SS 86,Nuoro - Sassari 86,Nuoro - Sassari,86,86/87,Nuoro - Sassari,Nuoro - Sassari,32,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#00B0F0,NUSS86.jpg,Nuoro - Sassari 86,marzo 1986,
CA OR 87,Cagliari - Oristano 87,Cagliari - Oristano,87,87/88,Cagliari - Oristano,Cagliari,40,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#92D050,CAOR87.jpg,Cagliari - Oristano 87,marzo 1987,
NU SS 87,Nuoro - Sassari 87,Nuoro - Sassari,87,87/88,Nuoro - Sassari,Nuoro - Sassari,32,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#92D050,NUSS87.jpg,Nuoro - Sassari 87,marzo 1987,
CA OR 88,Cagliari - Oristano 88,Cagliari - Oristano,88,88/89,Cagliari - Oristano,Cagliari,40,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#FF0000,CAOR88.jpg,Cagliari - Oristano 88,marzo 1988,
NU SS 88,Nuoro - Sassari 88,Nuoro - Sassari,88,88/89,Nuoro - Sassari,Nuoro - Sassari,32,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#FF0000,NUSS88.jpg,Nuoro - Sassari 88,marzo 1988,
CA OR 89,Cagliari - Oristano 89,Cagliari - Oristano,89,89/90,Cagliari - Oristano,Cagliari,40,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#00B0F0,CAOR89.jpg,Cagliari - Oristano 89,marzo 1989,
NU SS 89,Nuoro - Sassari 89,Nuoro - Sassari,89,89/90,Nuoro - Sassari,Nuoro - Sassari,32,TuttoCittà '80 classico,246 x 280 mm,Grossa,Arancione,#00B0F0,NUSS89.jpg,Nuoro - Sassari 89,marzo 1989,
