annata,fascicolo,sezione,nome_normalizzato,tipo,relazione,pagina,collocazione,riferimento,note,origine
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Cagliari - Sommario e Nota dell'editore,Cagliari - Sommario,,,1,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Conosci la tua città?,Conosci la tua città?,,,2,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Trasporti,Trasporti,,,3,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Sanità,Sanità,,,4,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Istruzione e Sport,Istruzione e Sport,,,6,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Cosa e dove,Cosa e dove,,,7,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Comuni della Provincia di Cagliari,Comuni della Provincia di Cagliari,,,9,,,Notizie di pubblico interesse e indirizzi utili,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,La Provincia di Cagliari,La Provincia di Cagliari,cartografia,,10,,,Carta stradale della provincia,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Le vie di accesso a Cagliari,Le vie di accesso a Cagliari,,,11,,,Mappa,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Elenco delle vie,Elenco vie,,,12,,,"2 pagine, cornice gialla, con foto della città",rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Tavole topografiche,Tavole topografiche,cartografia,,14,,,"6 tavole, 6 pagine",rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Elenco delle vie,Elenco vie,,,20,pagina a fronte,Quartu Sant'Elena,,dedotta dalla nota della tavola
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Nuoro - Sommario,Nuoro - Sommario,,,22,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Conosci la tua città?,Conosci la tua città?,,,23,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Trasporti,Trasporti,,,23,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Sanità,Sanità,,,23,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Istruzione e Sport,Istruzione e Sport,,,24,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Cosa e dove,Cosa e dove,,,25,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,La Provincia di Nuoro,La Provincia di Nuoro,cartografia,,26,,,Carta stradale della provincia,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Le vie di accesso a Nuoro,Le vie di accesso a Nuoro,,,27,,,Mappa,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Elenco delle vie,Elenco vie,,,28,,,"1 pagina, cornice gialla, con foto della città",rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Tavole topografiche,Tavole topografiche,cartografia,,29,,,"1 tavola, 1 pagina",rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Oristano - Sommario,Oristano - Sommario,,,30,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Conosci la tua città?,Conosci la tua città?,,,31,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Trasporti,Trasporti,,,31,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Sanità,Sanità,,,32,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Istruzione e Sport,Istruzione e Sport,,,32,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Cosa e dove,Cosa e dove,,,33,,,,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,La Provincia di Oristano,La Provincia di Oristano,cartografia,,34,,,Carta stradale della provincia,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Le vie di accesso a Oristano,Le vie di accesso a Oristano,,,35,,,Mappa,rilevata
81/82,Cagliari - Nuoro - Oristano - Sassari 81,Elenco delle vie,Elenco vie,,,36,,,"1 pagina, cornice gialla, con foto della città",rilevata
