annata,fascicolo,provincia,citta,indicizzata
81/82,Enna - Ragusa - Siracusa,Enna,Enna,sì
81/82,Enna - Ragusa - Siracusa,Ragusa,Ragusa,sì
81/82,Enna - Ragusa - Siracusa,Siracusa,Siracusa,sì
81/82,Enna - Ragusa - Siracusa,Siracusa,Augusta,no
81/82,Messina,Messina,Messina,sì
81/82,Messina,Messina,Barcellona Pozzo di Gotto,sì
81/82,Messina,Messina,Milazzo,sì
81/82,Messina,Messina,Taormina,sì
81/82,Palermo,Palermo,Palermo,sì
81/82,Palermo,Palermo,Bagheria,sì
81/82,Palermo,Palermo,Cefalù,sì
81/82,Palermo,Palermo,Termini Imerese,sì
82/83,Agrigento - Caltanissetta - Trapani,Agrigento,Agrigento,sì
82/83,Agrigento - Caltanissetta - Trapani,Caltanissetta,Caltanissetta,sì
82/83,Agrigento - Caltanissetta - Trapani,Trapani,Trapani,sì
82/83,Agrigento - Caltanissetta - Trapani,Trapani,Marsala,no
82/83,Enna - Ragusa - Siracusa,Enna,Enna,sì
82/83,Enna - Ragusa - Siracusa,Ragusa,Ragusa,sì
82/83,Enna - Ragusa - Siracusa,Siracusa,Siracusa,sì
82/83,Enna - Ragusa - Siracusa,Siracusa,Augusta,no
82/83,Palermo,Palermo,Palermo,sì
82/83,Palermo,Palermo,Bagheria,sì
82/83,Palermo,Palermo,Cefalù,sì
82/83,Palermo,Palermo,Termini Imerese,sì
83/84,Enna - Ragusa - Siracusa,Enna,Enna,sì
83/84,Enna - Ragusa - Siracusa,Ragusa,Ragusa,sì
83/84,Enna - Ragusa - Siracusa,Siracusa,Siracusa,sì
83/84,Enna - Ragusa - Siracusa,Siracusa,Augusta,no
83/84,Messina,Messina,Messina,sì
83/84,Messina,Messina,Barcellona Pozzo di Gotto,sì
83/84,Messina,Messina,Milazzo,sì
83/84,Messina,Messina,Taormina,sì
84/85,Enna - Ragusa - Siracusa,Enna,Enna,sì
84/85,Enna - Ragusa - Siracusa,Ragusa,Ragusa,sì
84/85,Enna - Ragusa - Siracusa,Siracusa,Siracusa,sì
84/85,Enna - Ragusa - Siracusa,Siracusa,Augusta,no
84/85,Palermo,Palermo,Palermo,sì
84/85,Palermo,Palermo,Bagheria,sì
84/85,Palermo,Palermo,Cefalù,sì
84/85,Palermo,Palermo,Termini Imerese,sì
85/86,Catania,Catania,Catania,sì
85/86,Catania,Catania,Acireale,sì
85/86,Catania,Catania,Giarre,sì
85/86,Catania,Catania,Paternò,no
85/86,Enna - Ragusa - Siracusa,Enna,Enna,sì
85/86,Enna - Ragusa - Siracusa,Ragusa,Ragusa,sì
85/86,Enna - Ragusa - Siracusa,Siracusa,Siracusa,sì
85/86,Enna - Ragusa - Siracusa,Ragusa,Marina di Ragusa,no
85/86,Enna - Ragusa - Siracusa,Siracusa,Augusta,no
85/86,Messina,Messina,Messina,sì
85/86,Messina,Messina,Barcellona Pozzo di Gotto,sì
85/86,Messina,Messina,Milazzo,sì
85/86,Messina,Messina,Taormina,sì
85/86,Messina,Messina,Rocca di Caprileone,no
85/86,Messina,Messina,Capo d'Orlando,no
85/86,Messina,Messina,Castell'Umberto,no
85/86,Palermo,Palermo,Palermo,sì
85/86,Palermo,Palermo,Bagheria,sì
85/86,Palermo,Palermo,Cefalù,sì
85/86,Palermo,Palermo,Termini Imerese,sì
85/86,Trapani,Trapani,Trapani,sì
85/86,Trapani,Trapani,Marsala,no
86/87,Agrigento - Caltanissetta,Agrigento,Agrigento,sì
86/87,Agrigento - Caltanissetta,Caltanissetta,Caltanissetta,sì
86/87,Agrigento - Caltanissetta,Agrigento,Canicattì,no
86/87,Catania,Catania,Catania,sì
86/87,Catania,Catania,Acireale,sì
86/87,Catania,Catania,Giarre,sì
86/87,Catania,Catania,Paternò,no
86/87,Enna - Ragusa - Siracusa,Enna,Enna,sì
86/87,Enna - Ragusa - Siracusa,Ragusa,Ragusa,sì
86/87,Enna - Ragusa - Siracusa,Siracusa,Siracusa,sì
86/87,Enna - Ragusa - Siracusa,Ragusa,Marina di Ragusa,no
86/87,Messina,Messina,Messina,sì
86/87,Messina,Messina,Barcellona Pozzo di Gotto,sì
86/87,Messina,Messina,Milazzo,sì
86/87,Messina,Messina,Taormina,sì
86/87,Palermo,Palermo,Palermo,sì
86/87,Palermo,Palermo,Bagheria,sì
86/87,Palermo,Palermo,Cefalù,sì
86/87,Palermo,Palermo,Termini Imerese,sì
86/87,Trapani,Trapani,Trapani,sì
86/87,Trapani,Trapani,Marsala,no
87/88,Agrigento - Caltanissetta,Agrigento,Agrigento,sì
87/88,Agrigento - Caltanissetta,Caltanissetta,Caltanissetta,sì
87/88,Agrigento - Caltanissetta,Agrigento,Canicattì,no
87/88,Catania,Catania,Catania,sì
87/88,Catania,Catania,Acireale,sì
87/88,Catania,Catania,Giarre,sì
87/88,Catania,Catania,Paternò,no
87/88,Enna - Ragusa - Siracusa,Enna,Enna,sì
