annata,fascicolo,provincia,citta,indicizzata
81/82,Firenze,Firenze,Firenze,sì
81/82,Firenze,Firenze,Empoli,sì
81/82,Firenze,Firenze,Prato,sì
81/82,Arezzo - Siena,Arezzo,Arezzo,sì
81/82,Arezzo - Siena,Siena,Siena,sì
81/82,Arezzo - Siena,Siena,Poggibonsi,sì
82/83,Firenze,Firenze,Firenze,sì
82/83,Firenze,Firenze,Empoli,sì
82/83,Firenze,Firenze,Prato,sì
82/83,Arezzo - Siena,Arezzo,Arezzo,sì
82/83,Arezzo - Siena,Siena,Siena,sì
82/83,Arezzo - Siena,Siena,Poggibonsi,sì
83/84,Firenze,Firenze,Firenze,sì
83/84,Firenze,Firenze,Empoli,sì
83/84,Firenze,Firenze,Prato,sì
83/84,Firenze,Firenze,Sesto Fiorentino,sì
83/84,Arezzo - Siena,Arezzo,Arezzo,sì
83/84,Arezzo - Siena,Siena,Siena,sì
83/84,Arezzo - Siena,Siena,Poggibonsi,sì
83/84,Livorno - Pisa,Livorno,Livorno,sì
83/84,Livorno - Pisa,Livorno,Isola d'Elba,sì
83/84,Livorno - Pisa,Pisa,Pisa,sì
83/84,Livorno - Pisa,Pisa,Pontedera,sì
84/85,Firenze e comuni limitrofi,Firenze,Firenze,sì
84/85,Firenze e comuni limitrofi,Firenze,Scandicci,sì
84/85,Firenze e comuni limitrofi,Firenze,Sesto Fiorentino,sì
84/85,Arezzo - Siena,Arezzo,Arezzo,sì
84/85,Arezzo - Siena,Siena,Siena,sì
84/85,Arezzo - Siena,Siena,Colle di Val d'Elsa,sì
84/85,Arezzo - Siena,Siena,Poggibonsi,sì
84/85,Grosseto,Grosseto,Grosseto,sì
84/85,Grosseto,Grosseto,Castiglione della Pescaia,sì
84/85,Grosseto,Grosseto,Follonica,sì
84/85,Grosseto,Grosseto,Orbetello,sì
84/85,Grosseto,Grosseto,Porto Santo Stefano,no
84/85,Grosseto,Grosseto,Porto Ercole,no
84/85,Livorno - Pisa,Livorno,Livorno,sì
84/85,Livorno - Pisa,Livorno,Isola d'Elba,sì
84/85,Livorno - Pisa,Pisa,Pisa,sì
84/85,Livorno - Pisa,Pisa,Pontedera,sì
84/85,Lucca - Massa - Carrara,Lucca,Lucca,sì
84/85,Lucca - Massa - Carrara,Lucca,Viareggio,sì
84/85,Lucca - Massa - Carrara,Massa,Massa,sì
84/85,Lucca - Massa - Carrara,Massa,CARRARA,sì
85/86,Firenze e comuni limitrofi,Firenze,Firenze,sì
85/86,Firenze e comuni limitrofi,Firenze,Scandicci,sì
85/86,Firenze e comuni limitrofi,Firenze,Sesto Fiorentino,sì
85/86,Provincia di Firenze,Firenze,Borgo San Lorenzo,sì
85/86,Provincia di Firenze,Firenze,Calenzano,sì
85/86,Provincia di Firenze,Firenze,Campi Bisenzio,sì
85/86,Provincia di Firenze,Firenze,Empoli,sì
85/86,Provincia di Firenze,Firenze,Greve in Chianti,sì
85/86,Provincia di Firenze,Firenze,Lastra a Signa,sì
85/86,Provincia di Firenze,Firenze,Pontassieve,sì
85/86,Provincia di Firenze,Firenze,Prato,sì
85/86,Provincia di Firenze,Firenze,Signa,sì
85/86,Provincia di Firenze,Pistoia,Agliana,sì
85/86,Arezzo - Siena,Arezzo,Arezzo,sì
85/86,Arezzo - Siena,Siena,Siena,sì
85/86,Arezzo - Siena,Siena,Colle di Val d'Elsa,sì
85/86,Arezzo - Siena,Siena,Poggibonsi,sì
85/86,Arezzo - Siena,Siena,San Gimignano,sì
85/86,Grosseto,Grosseto,Grosseto,sì
85/86,Grosseto,Grosseto,Castiglione della Pescaia,sì
85/86,Grosseto,Grosseto,Follonica,sì
85/86,Grosseto,Grosseto,Orbetello,sì
85/86,Grosseto,Grosseto,Porto Santo Stefano,no
85/86,Grosseto,Grosseto,Porto Ercole,no
85/86,Livorno - Pisa,Livorno,Livorno,sì
85/86,Livorno - Pisa,Livorno,Isola d'Elba,sì
85/86,Livorno - Pisa,Pisa,Pisa,sì
85/86,Livorno - Pisa,Pisa,Pontedera,sì
85/86,Livorno - Pisa,Livorno,Cecina,no
85/86,Livorno - Pisa,Livorno,Castiglioncello,no
85/86,Livorno - Pisa,Livorno,Rosignano Solvay,no
85/86,Lucca - Massa - Carrara,Lucca,Lucca,sì
85/86,Lucca - Massa - Carrara,Lucca,Viareggio,sì
85/86,Lucca - Massa - Carrara,Massa,Massa,sì
85/86,Lucca - Massa - Carrara,Massa,CARRARA,sì
85/86,Lucca - Massa - Carrara,Lucca,Forte dei Marmi,no
85/86,Lucca - Massa - Carrara,Lucca,Altopascio,no
86/87,Firenze,Firenze,Firenze,sì
86/87,Firenze,Firenze,Scandicci,sì
86/87,Firenze,Firenze,Sesto Fiorentino,sì
86/87,Provincia di Firenze,Firenze,Borgo San Lorenzo,sì
86/87,Provincia di Firenze,Firenze,Calenzano,sì
86/87,Provincia di Firenze,Firenze,Campi Bisenzio,sì
86/87,Provincia di Firenze,Firenze,Castelfiorentino,sì
86/87,Provincia di Firenze,Firenze,Empoli,sì
86/87,Provincia di Firenze,Firenze,Greve in Chianti,sì
86/87,Provincia di Firenze,Firenze,Lastra a Signa,sì
86/87,Provincia di Firenze,Firenze,Poggio a Caiano,sì
86/87,Provincia di Firenze,Firenze,Pontassieve,sì
86/87,Provincia di Firenze,Firenze,Prato,sì
86/87,Provincia di Firenze,Firenze,San Casciano in Val di Pesa,sì
86/87,Provincia di Firenze,Firenze,Scarperia,sì
86/87,Provincia di Firenze,Pistoia,Agliana,sì
86/87,Provincia di Firenze,Firenze,Località San Francesco (Pelago),no
86/87,Arezzo - Siena,Arezzo,Arezzo,sì
86/87,Arezzo - Siena,Siena,Siena,sì
86/87,Arezzo - Siena,Siena,Colle di Val d'Elsa,sì
86/87,Arezzo - Siena,Siena,Poggibonsi,sì
86/87,Arezzo - Siena,Siena,San Gimignano,sì
86/87,Arezzo - Siena,Siena,Chiusi,no
86/87,Arezzo - Siena,Siena,Chianciano Terme,no
86/87,Grosseto,Grosseto,Grosseto,sì
86/87,Grosseto,Grosseto,Castiglione della Pescaia,sì
86/87,Grosseto,Grosseto,Follonica,sì
86/87,Grosseto,Grosseto,Orbetello,sì
86/87,Grosseto,Grosseto,Massa Marittima,no
86/87,Grosseto,Grosseto,Porto Santo Stefano,no
86/87,Grosseto,Grosseto,Porto Ercole,no
86/87,Livorno - Pisa,Livorno,Livorno,sì
86/87,Livorno - Pisa,Livorno,Isola d'Elba,sì
86/87,Livorno - Pisa,Pisa,Pisa,sì
86/87,Livorno - Pisa,Pisa,Pontedera,sì
86/87,Livorno - Pisa,Livorno,Piombino,no
86/87,Livorno - Pisa,Livorno,Cecina,no
86/87,Livorno - Pisa,Livorno,Castiglioncello,no
86/87,Livorno - Pisa,Livorno,Rosignano Solvay,no
86/87,Lucca - Massa - Carrara,Lucca,Lucca,sì
86/87,Lucca - Massa - Carrara,Lucca,Viareggio,sì
86/87,Lucca - Massa - Carrara,Massa,Massa,sì
