annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,pagine_comprese_copertine,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Firenze,Firenze 81,81,Copertina 81 verde,246 x 280 mm,grossa,Stradario SEAT,80,,marzo 1981,nota dell'editore,FI81.jpg,True,accertata
81/82,Arezzo - Siena,Arezzo - Siena 81,81,Copertina 81 verde,246 x 280 mm,grossa,Stradario SEAT,32,,maggio 1981,nota dell'editore,ARSI81.jpg,True,accertata
81/82,Grosseto,Grosseto 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,,nota dell'editore,Ricercato1.jpg,False,accertata
81/82,Livorno - Pisa,Livorno - Pisa 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,,nota dell'editore,Ricercato1.jpg,False,accertata
81/82,Lucca - Massa - Carrara - Pistoia,Lucca - Massa - Carrara - Pistoia 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,,nota dell'editore,Ricercato1.jpg,False,accertata
82/83,Firenze,Firenze 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 con foto,96,,febbraio 1982,,FI82.jpg,True,accertata
82/83,Arezzo - Siena,Arezzo - Siena 82,82,Copertina 82 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,maggio 1982,,ARSI82.jpg,True,accertata
82/83,Grosseto,Grosseto 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,,Ricercato1.jpg,False,accertata
82/83,Livorno - Pisa,Livorno - Pisa 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,,Ricercato1.jpg,False,accertata
82/83,Lucca - Massa - Carrara - Pistoia,Lucca - Massa - Carrara - Pistoia 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,,Ricercato1.jpg,False,accertata
83/84,Firenze,Firenze 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,96,,febbraio 1983,,FI83.jpg,True,accertata
83/84,Arezzo - Siena,Arezzo - Siena 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,maggio 1983,,ARSI83.jpg,True,accertata
83/84,Grosseto,Grosseto 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,,,,,,Ricercato1.jpg,False,accertata
83/84,Livorno - Pisa,Livorno - Pisa 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,maggio 1983,,LIPI83.jpg,True,accertata
83/84,Lucca - Massa - Carrara - Pistoia,Lucca - Massa - Carrara - Pistoia 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,,,,,,Ricercato1.jpg,False,accertata
84/85,Firenze e comuni limitrofi,Firenze e comuni limitrofi 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,88,,febbraio 1984,Inserto Costituzione,FI84.jpg,True,accertata
84/85,Provincia di Firenze,Provincia di Firenze 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,,,,Inserto Costituzione,Ricercato1.jpg,False,accertata
84/85,Arezzo - Siena,Arezzo - Siena 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,aprile 1984,Inserto Costituzione,ARSI84.jpg,True,accertata
84/85,Grosseto,Grosseto 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,17,aprile 1984,Inserto Costituzione,GR84.jpg,True,accertata
84/85,Livorno - Pisa,Livorno - Pisa 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,40,,aprile 1984,Inserto Costituzione,LIPI84.jpg,True,accertata
84/85,Lucca - Massa - Carrara,Lucca - Massa - Carrara 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,32,,aprile 1984,Inserto Costituzione,LUMS84.jpg,True,accertata
