annata,totale_stimato_fonte_copertine,accertati_in_matrice,probabili_non_confermati,note
81/82,64,64,0,
82/83,64,64,0,
83/84,64,64,0,
84/85,76,76,0,"Articoli Costituzione | (tutta l'annata tranne il fascicolo ""Milano e comuni limitrofi 84"", che li include nel fascicolo 85 a copertina rossa)"
85/86,77,77,0,Fascicoli che saltano da 84 a 86 in copertina: | Matera - Potenza | Avellino - Salerno | Benevento - Caserta | Napoli e comuni limitrofi | Provincia di Napoli | Riforma cartografica città maggiori - serie edifici
86/87,77,77,0,
87/88,78,78,0,
88/89,83,83,0,
89/90,87,87,0,
90/91,87,87,0,
91/92,87,87,0,
92/93,87,87,0,
93/94,87,87,0,
94/95,87,87,0,
95/96,87,87,0,
96/97,87,87,0,In alcuni fascicoli 96 si introduce il riquadro sommario presente poi anche nei fascicoli 97 | Dai fascicoli 97 cambia il formato
97/98,87,87,0,Ultima annata completa per tutte le province
98/99,43?,43,11,Per molte province il fascicolo non viene più pubblicato
99/00,42,40,10,
00/01,35?,35,0,
01/02,35?,35,0,
02/03,35,35,0,
03/04,35,35,0,
04/05,35,35,0,
05/06,35,35,0,
06/07,35,35,0,
07/08,35,35,0,
08/09,35,35,0,
09/10,36,36,0,Riforma cartografica dalla serie in formato ridotto | Torino ha due edizioni: una regolare 2010/2011 e una speciale 2010 per l'ostensione della Sindone
10/11,39,39,0,150° Unità d'Italia
11/12,39,39,0,150° Unità d'Italia
12/13,39,39,0,
13/14,39,39,0,
14/15,39,39,0,
