annata,provincia,titolo
89/90,Perugia,Anni 90. Le prospettive del turismo
89/90,Perugia,Identikit di una provincia
89/90,Perugia,"Nomi e cognomi. Francesco, i Fioretti e i Fioroni"
89/90,Perugia,Da 108 nazioni all'Università degli Stranieri
89/90,Perugia,Assisi. Il romanzo dei restauri
89/90,Perugia,Torgiano. La storia del vino
89/90,Perugia,"La notte, il cane, il tartufo"
89/90,Perugia,Quando il vino va bevuto giovane
89/90,Perugia,La ricetta della nonna
89/90,Terni,Anni 90. All'avanguardia con il titanio
89/90,Terni,Identikit di una provincia
89/90,Terni,Nomi e cognomi. Il mistero del Tacito scomparso
89/90,Terni,Il grande maglio
89/90,Terni,"Velino e Nera, l'avventura dell'acqua"
89/90,Terni,Una fortuna in oro liquido
89/90,Terni,Orvieto. La Commedia di Signorelli
89/90,Terni,Carsulae. I riti della vita e della morte
89/90,Terni,La ricetta della nonna
90/91,Perugia,Verso il '92. L'Università europea
90/91,Perugia,Il futuro è nel terziario
90/91,Perugia,Come eravamo. Dalle stragi del 1859 alla conquista della libertà
90/91,Perugia,"La stampa locale. Il successo del ""Corriere"""
90/91,Perugia,"Fontana Maggiore, enciclopedia della cultura medioevale"
90/91,Perugia,Le stigmate di San Francesco
90/91,Perugia,Alberto Burri. La materia e la coscienza
90/91,Perugia,Nel monastero di Todi il Purgatorio di San Patrizio
90/91,Perugia,"Cantare il dolore, che passione!"
90/91,Perugia,Un'idea per il fantasport: Antognoni nel Perugia
90/91,Perugia,Vini e gastronomia: Santi e buongustai
90/91,Perugia,Una cucina per ogni stagione
90/91,Terni,Cerso il '92. Terni in Europa: competitività e aria buona
90/91,Terni,Non solo acciaio
90/91,Terni,Stornelli e lotta di classe
90/91,Terni,Date storiche
90/91,Terni,Il vecchio 91 è nato qui
90/91,Terni,Da Amelia il primo vescovo per il Nuovo Mondo
90/91,Terni,Narni: così un ragazzo divenne condottiero
90/91,Terni,Lo Speco di San Francesco e l'elmo del miracolo
90/91,Terni,Un'agenzia al servizio dei giovani
90/91,Terni,"Stringozze, palombacci e festive dolcezze"
91/92,Perugia,Per vivere meglio. Perugia e Cambridge per le lingue d'Europa
91/92,Perugia,Dialetto e nomi. L'incendio di Picciafoco e la zanzara di Ciarapica
91/92,Perugia,Quando l'ospedale non aveva il telefono
91/92,Perugia,"Oddi e Baglioni, una strage fra parenti nel 1500"
91/92,Perugia,"Assisi, il sogno evangelico della Pro Civitate"
91/92,Perugia,Nel palazzo di Gubbio il più antico dizionario
91/92,Perugia,Itinerari per il week-end. Un viaggio dentro la storia
91/92,Perugia,Vini e gastronomia. Una spirale di mele
91/92,Terni,"Per vivere meglio. Terni, nel futuro non solo l'acciaio"
91/92,Terni,La città modello dell'imperatore Tacito
91/92,Terni,Dialetto e nomi. Nei registri dell'anagrafe anche gambe e prosciutti
91/92,Terni,"L'Italia in ""Vespa"" tifaca Liberati"
91/92,Terni,Itinerari per il week-end. Da Marmore a San Gemini fra i tesori del Medioevo
91/92,Terni,Il lago di Piediluco e la sua eco
91/92,Terni,I doc del colli Amerini
91/92,Terni,Vini e gastronomia. Che feste con l'Orvieto!
92/93,Perugia,Italia domani. Perugia resiste alla crisi rilanciando i servizi
92/93,Perugia,Le ceramiche di Deruta per la Madonna dei Bagni
92/93,Perugia,Il mistero di Bosono da Gubbio
92/93,Perugia,La fiaba medioevale nel cuore di Corciano
92/93,Perugia,Arte in tavola. L'anguilla con gli occhi di caffè
92/93,Terni,"Italia domani. Terni, la sfida ""post-industriale"""
92/93,Terni,"""Acciaio"", un amore pulsa tra gli ingranaggi"
92/93,Terni,Gli stornelli del lavoro e il gioco della scantafavola
92/93,Terni,Quando Alterocca inventò la cartolina
93/94,Perugia,Il nuovo che emerge. Perugia investe sull'informatica
93/94,Perugia,"Lingua, musica e computer per una scuola nuova"
93/94,Perugia,Quei baci di cioccolata
93/94,Perugia,"Stornelli a ""vatocco"", elogi del buon vino"
93/94,Perugia,Dal centro etrusco all'Università
93/94,Perugia,"Nel pianeta della musica fra jazz, etnica e rock"
