annata,fascicolo,provincia,citta,indicizzata
82/83,Perugia - Terni,Perugia,Perugia,sì
82/83,Perugia - Terni,Perugia,Assisi,sì
82/83,Perugia - Terni,Perugia,Città di Castello,sì
82/83,Perugia - Terni,Perugia,Foligno,sì
82/83,Perugia - Terni,Perugia,Spoleto,sì
82/83,Perugia - Terni,Terni,Terni,sì
82/83,Perugia - Terni,Terni,Orvieto,sì
83/84,Perugia - Terni,Perugia,Perugia,sì
83/84,Perugia - Terni,Perugia,Assisi,sì
83/84,Perugia - Terni,Perugia,Città di Castello,sì
83/84,Perugia - Terni,Perugia,Foligno,sì
83/84,Perugia - Terni,Perugia,Spoleto,sì
83/84,Perugia - Terni,Terni,Terni,sì
83/84,Perugia - Terni,Terni,Orvieto,sì
84/85,Perugia - Terni,Perugia,Perugia,sì
84/85,Perugia - Terni,Perugia,Assisi,sì
84/85,Perugia - Terni,Perugia,Città di Castello,sì
84/85,Perugia - Terni,Perugia,Foligno,sì
84/85,Perugia - Terni,Perugia,Spoleto,sì
84/85,Perugia - Terni,Terni,Terni,sì
84/85,Perugia - Terni,Terni,Orvieto,sì
86/87,Perugia - Terni,Perugia,Perugia,sì
86/87,Perugia - Terni,Perugia,Assisi,sì
86/87,Perugia - Terni,Perugia,Città di Castello,sì
86/87,Perugia - Terni,Perugia,Foligno,sì
86/87,Perugia - Terni,Perugia,Gubbio,sì
86/87,Perugia - Terni,Perugia,Spoleto,sì
86/87,Perugia - Terni,Terni,Terni,sì
86/87,Perugia - Terni,Terni,Orvieto,sì
87/88,Terni,Terni,Terni,sì
87/88,Terni,Terni,Orvieto,sì
88/89,Perugia,Perugia,Perugia,sì
88/89,Perugia,Perugia,Assisi,sì
88/89,Perugia,Perugia,Città di Castello,sì
88/89,Perugia,Perugia,Foligno,sì
88/89,Perugia,Perugia,Gubbio,sì
88/89,Perugia,Perugia,Spoleto,sì
88/89,Perugia,Perugia,Umbertide,no
88/89,Perugia,Perugia,Todi,no
88/89,Terni,Terni,Terni,sì
88/89,Terni,Terni,Orvieto,sì
88/89,Terni,Terni,Amelia,no
88/89,Terni,Terni,Narni,no
89/90,Perugia,Perugia,Perugia,sì
89/90,Perugia,Perugia,Assisi,sì
89/90,Perugia,Perugia,Città di Castello,sì
89/90,Perugia,Perugia,Foligno,sì
89/90,Perugia,Perugia,Gubbio,sì
89/90,Perugia,Perugia,Spoleto,sì
89/90,Perugia,Perugia,Todi,sì
89/90,Perugia,Perugia,Umbertide,sì
89/90,Terni,Terni,Terni,sì
89/90,Terni,Terni,Amelia,sì
89/90,Terni,Terni,Narni,sì
89/90,Terni,Terni,Orvieto,sì
90/91,Perugia,Perugia,Perugia,sì
90/91,Perugia,Perugia,Assisi,sì
90/91,Perugia,Perugia,Bastia Umbra,sì
90/91,Perugia,Perugia,Città di Castello,sì
90/91,Perugia,Perugia,Deruta,sì
90/91,Perugia,Perugia,Foligno,sì
90/91,Perugia,Perugia,Gualdo Tadino,sì
90/91,Perugia,Perugia,Gubbio,sì
90/91,Perugia,Perugia,Spoleto,sì
90/91,Perugia,Perugia,Todi,sì
90/91,Perugia,Perugia,Umbertide,sì
90/91,Terni,Terni,Terni,sì
90/91,Terni,Terni,Amelia,sì
90/91,Terni,Terni,Narni,sì
90/91,Terni,Terni,Orvieto,sì
91/92,Perugia,Perugia,Perugia,sì
91/92,Perugia,Perugia,Assisi,sì
91/92,Perugia,Perugia,Bastia Umbra,sì
91/92,Perugia,Perugia,Città di Castello,sì
91/92,Perugia,Perugia,Deruta,sì
91/92,Perugia,Perugia,Foligno,sì
91/92,Perugia,Perugia,Gualdo Tadino,sì
91/92,Perugia,Perugia,Gubbio,sì
91/92,Perugia,Perugia,Marsciano,sì
91/92,Perugia,Perugia,Norcia,sì
91/92,Perugia,Perugia,Ponte San Giovanni,sì
91/92,Perugia,Perugia,Spoleto,sì
91/92,Perugia,Perugia,Todi,sì
91/92,Perugia,Perugia,Umbertide,sì
91/92,Terni,Terni,Terni,sì
91/92,Terni,Terni,Amelia,sì
91/92,Terni,Terni,Narni,sì
91/92,Terni,Terni,Orvieto,sì
92/93,Perugia,Perugia,Perugia,sì
92/93,Perugia,Perugia,Assisi,sì
92/93,Perugia,Perugia,Bastia Umbra,sì
92/93,Perugia,Perugia,Città di Castello,sì
92/93,Perugia,Perugia,Deruta,sì
92/93,Perugia,Perugia,Foligno,sì
92/93,Perugia,Perugia,Gualdo Tadino,sì
92/93,Perugia,Perugia,Gubbio,sì
92/93,Perugia,Perugia,Marsciano,sì
92/93,Perugia,Perugia,Norcia,sì
92/93,Perugia,Perugia,Ponte San Giovanni,sì
92/93,Perugia,Perugia,Spoleto,sì
92/93,Perugia,Perugia,Todi,sì
92/93,Perugia,Perugia,Umbertide,sì
92/93,Terni,Terni,Terni,sì
92/93,Terni,Terni,Amelia,sì
92/93,Terni,Terni,Narni,sì
92/93,Terni,Terni,Orvieto,sì
93/94,Perugia,Perugia,Perugia,sì
93/94,Perugia,Perugia,Assisi,sì
93/94,Perugia,Perugia,Bastia Umbra,sì
93/94,Perugia,Perugia,Città di Castello,sì
93/94,Perugia,Perugia,Deruta,sì
93/94,Perugia,Perugia,Foligno,sì
93/94,Perugia,Perugia,Gualdo Tadino,sì
93/94,Perugia,Perugia,Gubbio,sì
93/94,Perugia,Perugia,Marsciano,sì
93/94,Perugia,Perugia,Norcia,sì
93/94,Perugia,Perugia,Ponte San Giovanni,sì
93/94,Perugia,Perugia,Spoleto,sì
93/94,Perugia,Perugia,Todi,sì
93/94,Perugia,Perugia,Umbertide,sì
93/94,Terni,Terni,Terni,sì
93/94,Terni,Terni,Amelia,sì
93/94,Terni,Terni,Narni,sì
93/94,Terni,Terni,Orvieto,sì
94/95,Terni,Terni,Terni,sì
94/95,Terni,Terni,Amelia,sì
94/95,Terni,Terni,Narni,sì
94/95,Terni,Terni,Orvieto,sì
96/97,Perugia,Perugia,Perugia,sì
96/97,Perugia,Perugia,Assisi,sì
96/97,Perugia,Perugia,Bastia Umbra,sì
96/97,Perugia,Perugia,Città di Castello,sì
96/97,Perugia,Perugia,Deruta,sì
96/97,Perugia,Perugia,Foligno,sì
96/97,Perugia,Perugia,Gualdo Tadino,sì
96/97,Perugia,Perugia,Gubbio,sì
96/97,Perugia,Perugia,Marsciano,sì
96/97,Perugia,Perugia,Norcia,sì
96/97,Perugia,Perugia,Ponte San Giovanni,sì
96/97,Perugia,Perugia,Spoleto,sì
96/97,Perugia,Perugia,Todi,sì
96/97,Perugia,Perugia,Umbertide,sì
96/97,Terni,Terni,Terni,sì
96/97,Terni,Terni,Amelia,sì
96/97,Terni,Terni,Narni,sì
96/97,Terni,Terni,Orvieto,sì
