annata,provincia,lingua,titolo
90/91,Aosta,IT,Anni 90. Un sogno: le Olimpiadi
90/91,Aosta,IT,Identikit della regione
90/91,Aosta,IT,Gli eredi dei Salassi
90/91,Aosta,IT,Cogne. Settant'anni di acciaio
90/91,Aosta,IT,Federico Chabod. La storia e la libertà
90/91,Aosta,IT,Date storiche
90/91,Aosta,IT,La leggenda di una fiera
90/91,Aosta,IT,"Le meridiane, il tempo, l'amore"
90/91,Aosta,IT,I tempi di Patience
90/91,Aosta,IT,Il mito di Carrel
90/91,Aosta,IT,Quanti segreti nella fontina!
90/91,Aosta,IT,Un trofeo per la regina
90/91,Aosta,IT,La ricetta della nonna
90/91,Aosta,FR,Le années 1900. Un rêve: les Olympiades
90/91,Aosta,FR,Portrait-robot de la Région
90/91,Aosta,FR,L'héritage des Salasses
90/91,Aosta,FR,Cogne. Soixante-dix ans d'acier
90/91,Aosta,FR,Federico Chabod. Histoire et Liberté
90/91,Aosta,FR,Dates historiques
90/91,Aosta,FR,La légende d'une foire
90/91,Aosta,FR,"Les cadrans solaires, le temps, l'amour"
90/91,Aosta,FR,Les temps de Patience
90/91,Aosta,FR,Le mythe de Carrel
90/91,Aosta,FR,Combien de secrets autour de la fontine!
90/91,Aosta,FR,Un trophée pour la reine
90/91,Aosta,FR,La recette de Bonne-Maman
92/93,Aosta,IT,Il futuro possibile. L'arte di saper vivere nell'isola felice
92/93,Aosta,IT,Voci della cronaca
92/93,Aosta,IT,Traffico da domare per la città del Duemila
92/93,Aosta,IT,Quei castelli difesero l'Italia
92/93,Aosta,IT,L'amore si canta in patois
92/93,Aosta,FR,Le futur possible. L'art de savoir vivredans l'île heureuse
92/93,Aosta,FR,Les faits divers à la tv et dans les journaux
92/93,Aosta,FR,Circulation à daupter pour l'an 2000
92/93,Aosta,FR,Ces chateâux défendirent l'Italie
92/93,Aosta,FR,L'amour se chante en patois
93/94,Aosta,IT,"Italia domani. Aosta, voglia di altruismo"
93/94,Aosta,IT,"Arte in tavola. Scrittoti, poeti e carbonada"
93/94,Aosta,FR,"Italie du futur. Aoste, une envie d'altruisme"
93/94,Aosta,FR,"L'art à table. Les écrivains, les poètes et la carbonada"
95/96,Aosta,IT,Progetti giovani. Gli sportelli per chi ha buona idee
95/96,Aosta,IT,"Le radici della Vallée lungo l'antica ""consolare"""
95/96,Aosta,IT,"Con i Santinumi, dietro le quinte del rock"
95/96,Aosta,FR,Projets jeunes. Voilà les guichets aux bonnes idées
95/96,Aosta,FR,"Les racines de la Vallée le long de la ""consulaire"""
95/96,Aosta,FR,"Avec les Santinumi, derrière les coulisses du rock"
96/97,Aosta,IT,Tempo libero. Musica e teatro dopo lo sci
96/97,Aosta,IT,Al servizio dei turisti
96/97,Aosta,IT,"Camoscio e tomini, un pranzo da re"
96/97,Aosta,FR,Loisirs. Musique et téâtre après le ski
96/97,Aosta,FR,Au service des touristes
96/97,Aosta,FR,Chamois et tommes fraîches: un dîner de roi
97/98,Aosta,IT,I mille giochi di Mastro Ciliegia
97/98,Aosta,IT,San Grato contro gli insetti e il mistero di Sant'Orso
97/98,Aosta,IT,Riaperta l'antica strada delle Gallie
97/98,Aosta,FR,Les mille jeux de Maître Chose
97/98,Aosta,FR,Saint Grat contre les insectes et le mystère de Saint Ours
97/98,Aosta,FR,Rouverture de l'ancienne voie des Gaules
