annata,fascicolo,provincia,citta
84/85,Aosta,Aosta,Aosta
84/85,Aosta,Aosta,Châtillon
84/85,Aosta,Aosta,Courmayeur
84/85,Aosta,Aosta,Saint-Vincent
85/86,Aosta,Aosta,Aosta
85/86,Aosta,Aosta,Châtillon
85/86,Aosta,Aosta,Saint-Vincent
86/87,Aosta,Aosta,Aosta
86/87,Aosta,Aosta,Châtillon
86/87,Aosta,Aosta,Saint-Vincent
87/88,Aosta,Aosta,Aosta
87/88,Aosta,Aosta,Châtillon
87/88,Aosta,Aosta,Saint-Vincent
88/89,Aosta,Aosta,Aosta
88/89,Aosta,Aosta,Châtillon
88/89,Aosta,Aosta,Saint-Vincent
89/90,Aosta,Aosta,Aosta
89/90,Aosta,Aosta,Châtillon
89/90,Aosta,Aosta,Saint-Vincent
90/91,Valle d'Aosta,Aosta,Aosta
90/91,Valle d'Aosta,Aosta,Châtillon
90/91,Valle d'Aosta,Aosta,Courmayeur
90/91,Valle d'Aosta,Aosta,Saint-Vincent
92/93,Valle d'Aosta,Aosta,Aosta
92/93,Valle d'Aosta,Aosta,Châtillon
92/93,Valle d'Aosta,Aosta,Courmayeur
92/93,Valle d'Aosta,Aosta,Pont-Saint-Martin
92/93,Valle d'Aosta,Aosta,Saint-Vincent
93/94,Valle d'Aosta,Aosta,Aosta
93/94,Valle d'Aosta,Aosta,Châtillon
93/94,Valle d'Aosta,Aosta,Courmayeur
93/94,Valle d'Aosta,Aosta,Pont-Saint-Martin
93/94,Valle d'Aosta,Aosta,Saint-Vincent
95/96,Valle d'Aosta,Aosta,Aosta
95/96,Valle d'Aosta,Aosta,Châtillon
95/96,Valle d'Aosta,Aosta,Courmayeur
95/96,Valle d'Aosta,Aosta,Pont-Saint-Martin
95/96,Valle d'Aosta,Aosta,Saint-Vincent
96/97,Valle d'Aosta,Aosta,Aosta
96/97,Valle d'Aosta,Aosta,Châtillon
96/97,Valle d'Aosta,Aosta,Courmayeur
96/97,Valle d'Aosta,Aosta,Pont-Saint-Martin
96/97,Valle d'Aosta,Aosta,Saint-Vincent
97/98,Valle d'Aosta,Aosta,Aosta
97/98,Valle d'Aosta,Aosta,Châtillon
97/98,Valle d'Aosta,Aosta,Courmayeur
97/98,Valle d'Aosta,Aosta,Pont-Saint-Martin
97/98,Valle d'Aosta,Aosta,Saint-Vincent
