annata,fascicolo,nome_in_copertina,anno_copertina,tipo_copertina,dimensioni,copertina,layout,pagine_totali,mese_aggiornamento,note,copertina_immagine,in_raccolta,esistenza
81/82,Aosta,Aosta 81,81,Copertina 81 verde,246 x 280 mm,grossa,,,,Nota dell'editore,Ricercato1.jpg,False,accertata
82/83,Aosta,Aosta 82,82,Copertina 82 rossa,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False,accertata
83/84,Aosta,Aosta 83,83,Copertina 83 azzurra,246 x 280 mm,grossa,,,,,Ricercato1.jpg,False,accertata
84/85,Aosta,Aosta 84,84,Copertina 84 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,24,maggio 1984,Inserto Costituzione,AO84.jpg,True,accertata
85/86,Aosta,Aosta 85,85,Copertina 85 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,maggio 1985,,AO85.jpg,True,accertata
86/87,Aosta,Aosta 86,86,Copertina 86 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,maggio 1986,,AO86.jpg,True,accertata
87/88,Aosta,Aosta 87,87,Copertina 87 verde,246 x 280 mm,grossa,TuttoCittà '80 classico,16,maggio 1987,,AO87.jpg,True,accertata
88/89,Aosta,Aosta 88,88,Copertina 88 rossa,246 x 280 mm,grossa,TuttoCittà '80 classico,16,maggio 1988,,AO88.jpg,True,accertata
89/90,Aosta,Aosta 89,89,Copertina 89 azzurra,246 x 280 mm,grossa,TuttoCittà '80 classico,16,maggio 1989,,AO89.jpg,True,accertata
90/91,Valle d'Aosta,Valle d'Aosta 90/91,90/91,Copertina 90/91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,32,maggio 1990,nota dell'editore,AO9091.jpg,True,accertata
91/92,Valle d'Aosta,Valle d'Aosta 91,91,Copertina 91 blu,246 x 280 mm,grossa,TuttoCittà '90 classico iniziale,,,,Ricercato1.jpg,False,accertata
92/93,Valle d'Aosta,Valle d'Aosta 92,92,Copertina 92 beige,246 x 280 mm,grossa,TuttoCittà '90 classico,24,giugno 1992,,AO92.jpg,True,accertata
93/94,Valle d'Aosta,Valle d'Aosta 93,93,Copertina 93 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,giugno 1993,,AO93.jpg,True,accertata
94/95,Valle d'Aosta,Valle d'Aosta 94,94,Copertina 94 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,,,,Ricercato1.jpg,False,accertata
95/96,Valle d'Aosta,Valle d'Aosta 95,95,Copertina 95 beige,246 x 280 mm,sottile,TuttoCittà '90 classico,22,maggio 1995,,AO95.jpg,True,accertata
96/97,Valle d'Aosta,Valle d'Aosta 96,96,Copertina 96 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,22,maggio 1996,,AO96.jpg,True,accertata
97/98,Valle d'Aosta,Valle d'Aosta 97,97,Copertina 97 beige,226 x 274 mm,sottile,TuttoCittà '90 classico,22,maggio 1997,Cambio formato,AO97.jpg,True,accertata
